N	3gram	Tiupa_Anal	TeoriaLi
1	в том что	12	10
2	по отношению к	9	10
3	в то же	7	8
4	я в мире	7	8
5	то же время	7	8
6	присутствия я в	5	7
7	кадров внутреннего зрения	3	7
8	в отличие от	5	7
9	в конечном счете	5	6
10	присутствия в мире	5	6
11	состоит в том	2	6
12	с другой стороны	7	6
13	того или иного	5	6
14	так и не	5	5
15	так или иначе	5	5
16	в данном случае	11	5
17	роли в миропорядке	5	5
18	не может быть	2	5
19	во второй строфе	4	4
20	и того же	4	4
21	факторов художественного впечатления	4	4
22	одного и того	4	4
23	в первой строфе	4	4
24	тот или иной	3	3
25	с точки зрения	2	3
26	с одной стороны	3	3
27	а всего лишь	4	3
28	тем не менее	3	3
29	подобно тому как	3	3
30	и а а	3	3
31	взглянула на меня	2	3
32	той или иной	6	3
33	в своем составе	3	3
34	висит на волоске	2	3
35	можно сказать что	2	3
36	в равной степени	2	3
37	всех без исключения	3	3
38	внимательно взглянула на	2	3
39	в свою очередь	7	3
40	так и его	2	2
41	в слове о	2	2
42	внутренней и внешней	2	2
43	относительно своей роли	2	2
44	в русской поэзии	2	2
45	внутренняя граница личности	2	2
46	в русской литературе	5	2
47	не только не	3	2
48	при этом что	2	2
49	либо в сторону	2	2
50	однако в строке	2	2
51	тем или иным	2	2
52	в противном случае	2	2
53	до известной степени	3	2
54	в известном смысле	2	2
55	в этой системе	2	2
56	позволяет говорить о	2	2
57	в имени тебе	3	2
58	в сочетании с	4	2
59	и в форме	2	2
60	о полку игореве	3	2
61	у о о	2	2
62	стих звучит ритмическим	2	2
63	в таком случае	2	2
64	его эстетической доминантой	2	2
65	сказания или анекдота	2	2
66	войне и мире	2	2
67	в пределах строки	2	2
68	стихотворении пушкина что	2	2
69	тогда как в	3	2
70	как к содержанию	2	2
71	своей роли в	2	2
72	в значительной степени	3	2
73	как уже говорилось	2	2
74	а и а	2	2
75	и его внешней	2	2
76	том что он	2	2
77	мы имеем дело	4	2
78	в соответствии с	2	2
79	и тем самым	2	2
80	со стороны адресата	2	2
81	в единое целое	2	2
82	не в самом	2	2
83	кто говорит и	2	2
84	включает в себя	2	2
85	в войне и	2	2
86	я с его	2	2
87	слове о полку	2	2
88	милой гостьи с	2	2
89	отношения к сообщаемому	2	2
90	организации феноменов ментального	2	2
91	о у о	2	2
92	в рамках одного	2	2
93	как и в	6	2
94	феноменов ментального внутреннего	2	2
95	однако при этом	2	2
96	что в имени	3	2
97	сама по себе	3	2
98	в тарасе бульбе	3	2
99	рамках одного текста	2	2
100	индивидуального речевого замысла	2	2
101	в основе своей	2	2
102	о о и	2	2
103	гостьи с дудочкой	2	2
104	пушкина что в	3	2
