N	2gram	Savitsky_P	Marksizm
1	точки зрения	3	69
2	может быть	5	64
3	и в	14	63
4	и не	12	55
5	как бы	4	53
6	не может	4	47
7	с точки	3	46
8	и пр	5	42
9	в этом	10	39
10	в пределах	8	31
11	не только	17	29
12	в нем	3	28
13	то же	9	28
14	но и	6	27
15	прежде всего	3	24
16	только в	7	23
17	в том	9	22
18	то что	4	22
19	а не	2	22
20	том что	4	19
21	не в	5	19
22	в его	2	19
23	если бы	4	19
24	но в	9	18
25	в ее	2	18
26	в то	7	16
27	и как	3	16
28	во всех	2	15
29	отнюдь не	2	15
30	в русском	2	15
31	же время	7	15
32	хотя бы	8	14
33	в смысле	6	14
34	мы не	3	13
35	было бы	6	13
36	что в	4	13
37	а в	4	12
38	для того	3	12
39	между тем	3	12
40	в ней	6	11
41	не столько	2	11
42	и потому	4	10
43	одна из	2	10
44	в своем	4	10
45	с другой	5	10
46	именно в	2	10
47	в себе	3	9
48	это не	3	9
49	и это	2	9
50	отношении к	5	9
51	в отношении	10	8
52	с этим	2	8
53	и с	2	8
54	столь же	3	8
55	не было	2	8
56	сводится к	3	8
57	того что	2	7
58	по себе	4	7
59	могут быть	3	7
60	с ними	3	7
61	в качестве	9	7
62	в начале	2	7
63	в котором	4	7
64	как раз	2	7
65	мы должны	4	6
66	является в	2	6
67	одной стороны	3	6
68	все это	2	6
69	тот же	3	6
70	из важнейших	2	6
71	же в	4	6
72	с одной	3	6
73	не к	2	6
74	и тем	2	5
75	и вот	2	5
76	xix века	6	5
77	не менее	2	5
78	хотя и	3	5
79	да и	2	5
80	тем более	2	5
81	должно быть	2	5
82	но не	3	5
83	еще более	2	5
84	как на	2	5
85	слова но	2	4
86	в области	11	4
87	и к	4	4
88	в них	2	4
89	не будем	2	4
90	во всей	2	4
91	стороны и	2	4
92	переход от	2	4
93	но к	2	4
94	из них	2	4
95	не о	2	3
96	в значительной	2	3
97	на пути	4	3
98	в виде	2	3
99	главным образом	2	3
100	с тем	3	3
101	потому что	3	3
102	том числе	2	3
103	и о	5	3
104	в тот	2	3
105	со стороны	2	3
106	в русской	4	3
107	в которых	5	3
108	говорить о	2	3
109	и есть	2	3
110	и других	2	3
111	тем самым	3	2
112	в судьбах	6	2
113	в недрах	2	2
114	сами по	3	2
115	в частности	2	2
116	в общем	2	2
117	между прочим	2	2
118	для них	2	2
119	в гораздо	4	2
120	заключается в	3	2
121	например в	2	2
122	исключительно в	2	2
123	было в	2	2
124	где в	2	2
125	есть в	2	2
126	в жизни	2	2
127	и если	4	2
128	именно как	2	2
129	что мы	3	2
130	друг другу	2	2
131	отношения к	2	2
