N	2gram	Bakhtin_Pr	Sotsiolo
1	все это	11	7
2	в том	22	5
3	в этом	24	5
4	развития литературы	2	4
5	не только	14	3
6	в его	15	3
7	но ведь	3	3
8	не в	10	3
9	и в	83	3
10	литературы и	4	2
11	отношению к	5	2
12	по отношению	6	2
13	еще не	10	2
14	только в	10	2
15	что в	5	2
16	тем более	2	2
17	том что	9	2
18	было бы	6	2
19	таким образом	9	2
20	в смысле	2	2
21	то же	10	2
22	как будто	3	2
23	и что	3	2
24	то что	14	2
25	и заключается	2	2
26	как бы	27	2
27	но и	16	2
28	главным образом	3	2
29	в конце	5	2
30	за пределы	7	2
31	далеко не	4	2
32	может быть	23	2
33	по существу	7	2
34	в результате	2	2
35	ведь это	2	2
