N	3gram	Ircho_Kome	Myshleni
1	в том что	13	133
2	для того чтобы	3	78
3	по отношению к	5	42
4	с одной стороны	5	39
5	с самого начала	2	36
6	то же самое	2	31
7	в этом отношении	3	30
8	можно было бы	3	28
9	с другой стороны	6	26
10	вместе с тем	4	26
11	о том что	6	25
12	на то что	2	25
13	к тому что	3	22
14	в то время	8	22
15	то время как	6	20
16	в отличие от	3	18
17	во всяком случае	4	18
18	в этом смысле	2	18
19	до сих пор	3	17
20	в связи с	3	17
21	друг от друга	2	14
22	в первую очередь	5	14
23	тем не менее	2	12
24	в том числе	4	10
25	не в состоянии	3	10
26	в самом начале	3	10
27	том что он	4	9
28	как и в	2	9
29	что и в	2	8
30	речь идет о	5	8
31	в этой области	2	8
32	в силу этого	3	8
33	независимо от того	3	8
34	что он не	2	8
35	то что он	2	8
36	в обоих случаях	3	6
37	и таким образом	2	6
38	именно потому что	2	6
39	в конце концов	4	5
40	в то же	5	5
41	едва ли не	6	5
42	в той же	2	5
43	представление о том	2	5
44	только потому что	2	5
45	после того как	3	4
46	но и в	2	4
47	таким образом в	2	4
48	на этот раз	5	4
49	бы то ни	4	3
50	и столь же	2	3
51	то ни было	4	3
52	в соответствии с	2	3
53	внешней и внутренней	3	3
54	сделать вывод что	2	3
55	к тому же	12	3
56	то же время	5	3
57	и в силу	2	3
58	у нас в	2	3
59	ли можно сомневаться	2	2
60	едва ли можно	3	2
61	того как в	2	2
62	в одном из	4	2
63	в частности в	2	2
64	в этом же	2	2
65	что у него	3	2
66	до самого конца	3	2
67	в большинстве случаев	2	2
68	сомневаться в том	2	2
69	за то что	4	2
70	на протяжении всего	3	2
71	и тем что	2	2
