N	3gram	Tiupa_Anal	Istorich
1	с другой стороны	2	46
2	в этом случае	4	29
3	с одной стороны	6	28
4	в том что	13	25
5	не может быть	17	24
6	тем не менее	3	23
7	о том что	8	22
8	не только в	3	19
9	в связи с	2	17
10	в данном случае	3	15
11	по отношению к	9	14
12	на то что	2	14
13	но и в	3	12
14	что иное как	6	11
15	не что иное	5	11
16	как и в	2	10
17	более или менее	2	9
18	друг с другом	2	9
19	то же самое	3	8
20	подобно тому как	5	8
21	дело не в	2	7
22	этой точки зрения	2	6
23	с этой точки	2	6
24	к тому же	6	6
25	для того чтобы	3	5
26	в том числе	3	5
27	есть не что	4	5
28	в отличие от	8	5
29	в том чтобы	7	5
30	содержит в себе	3	4
31	в этой связи	2	4
32	состоит в том	6	4
33	с точки зрения	6	4
34	сами по себе	3	4
35	и то же	2	3
36	бы то ни	3	3
37	то ни было	3	3
38	не только не	2	3
39	при встрече с	3	3
40	в соответствии с	2	3
41	и тот же	2	3
42	в обоих случаях	2	3
43	это означает что	2	3
44	в ответ на	2	3
45	к тому что	2	3
46	не в том	3	3
47	и тем самым	2	3
48	а не только	2	2
49	большей или меньшей	4	2
50	в самом деле	3	2
51	не знаю что	2	2
52	имеем дело с	4	2
53	все того же	2	2
54	а не в	3	2
55	а не с	2	2
56	далеко не всегда	2	2
57	не могут быть	2	2
58	и не может	4	2
59	и те же	2	2
60	из того что	3	2
61	том что он	2	2
62	быть не может	3	2
63	и т п	3	2
64	следует понимать как	2	2
65	одно и то	2	2
66	могли бы быть	2	2
67	в частности в	2	2
68	в таком случае	5	2
69	мы имеем дело	7	2
70	в борьбе с	2	2
71	обращает на себя	3	2
