N	2gram	Propp_Russ	EvropaiE
1	и в	59	37
2	в пределах	2	25
3	точки зрения	3	23
4	что в	35	21
5	не только	28	18
6	с точки	3	17
7	в то	3	16
8	то же	6	15
9	в своем	3	14
10	но в	5	14
11	но и	20	14
12	и не	6	14
13	в качестве	5	14
14	в этом	18	12
15	в том	33	11
16	в их	5	11
17	в области	3	11
18	так и	8	10
19	западной европы	3	9
20	т е	41	9
21	так же	7	9
22	не может	6	9
23	отнюдь не	3	9
24	прежде всего	2	9
25	только в	4	9
26	между тем	9	8
27	думать что	3	8
28	было бы	3	8
29	к тому	4	8
30	по своему	2	7
31	а также	6	7
32	как и	19	7
33	так как	25	7
34	между прочим	2	7
35	того что	6	7
36	том что	33	6
37	во всех	6	6
38	то есть	3	6
39	может быть	14	6
40	и на	14	6
41	с этой	2	6
42	того чтобы	6	6
43	для того	6	6
44	на то	2	6
45	то что	10	6
46	как бы	18	6
47	но не	7	5
48	от этого	2	5
49	и по	10	5
50	и потому	3	5
51	в россии	4	5
52	но если	2	5
53	как мы	11	5
54	не в	2	5
55	в виде	10	5
56	в частности	2	5
57	в течение	7	5
58	же как	5	5
59	вопрос о	4	4
60	не имеет	9	4
61	во многих	14	4
62	независимо от	3	4
63	именно в	3	4
64	но даже	2	4
65	мы не	11	4
66	в ней	3	4
67	для нас	12	4
68	несмотря на	4	4
69	к ней	4	4
70	не на	2	4
71	как это	11	4
72	западной европе	2	4
73	чем в	4	4
74	свой народ	2	3
75	с тем	14	3
76	и от	2	3
77	и для	3	3
78	о том	14	3
79	очевидно что	2	3
80	к ним	4	3
81	в данном	7	3
82	в которых	8	3
83	когда он	3	3
84	можно было	3	3
85	в свою	3	3
86	до г	2	3
87	и к	3	3
88	мы можем	2	3
89	народ и	2	3
90	от них	4	3
91	из них	12	3
92	в них	10	3
93	место в	2	3
94	на себя	4	3
95	мы видели	3	3
96	что и	8	3
97	и некоторые	3	3
98	там где	3	3
99	тем что	7	3
100	говорит о	3	3
101	не является	2	3
102	не более	2	3
103	потому что	15	3
104	она в	4	3
105	в таком	5	3
106	представляет собой	5	3
107	как в	10	3
108	в стороне	2	3
109	связано с	3	3
110	как на	2	3
111	в прошлом	2	3
112	большинстве случаев	2	3
113	ее в	7	3
114	есть в	2	2
115	данном случае	8	2
116	представление о	5	2
117	на этот	3	2
118	если в	3	2
119	в его	3	2
120	начиная с	4	2
121	что это	4	2
122	в эту	3	2
123	и то	2	2
124	совершенно очевидно	2	2
125	что если	2	2
126	к нему	3	2
127	она не	4	2
128	рождества христова	6	2
129	а в	16	2
130	европы в	2	2
131	с этим	4	2
132	мы должны	3	2
133	с другими	3	2
134	в котором	2	2
135	заметить что	3	2
136	далеко не	5	2
137	в своих	3	2
138	с в	12	2
139	и еще	2	2
140	русских и	2	2
141	и поэтому	3	2
142	в большинстве	2	2
143	и с	12	2
144	этот вопрос	4	2
145	что на	5	2
146	могут быть	3	2
147	что все	2	2
148	также в	5	2
149	тогда когда	4	2
150	в одном	4	2
151	на них	4	2
152	и как	2	2
153	не можем	5	2
154	ко всему	2	2
155	которое в	2	2
156	для них	5	2
157	ее от	2	2
158	в этих	3	2
159	в силу	2	2
160	как не	2	2
161	в других	24	2
162	а не	3	2
163	и других	9	2
164	мы видим	2	2
165	и что	8	2
166	нас к	5	2
167	и во	2	2
168	и наконец	2	2
169	свою очередь	2	2
170	же в	5	2
171	и все	4	2
172	влияние на	3	2
173	или в	7	2
174	таким образом	10	2
175	а именно	2	2
176	приводит нас	4	2
177	как будто	6	2
178	такой же	3	2
179	только одно	2	2
180	во всей	2	2
181	главным образом	5	2
182	случаях когда	2	2
183	относятся к	3	2
184	что эти	2	2
185	не к	3	2
186	в этой	4	2
187	в некоторых	11	2
188	не означает	2	2
189	между собой	4	2
190	хотя и	3	2
191	в какой	3	2
192	вместе с	16	2
193	и более	3	2
194	имеет место	3	2
