N	3gram	Propp_Morf	DiskursI
1	в том что	4	28
2	по отношению к	7	17
3	с одной стороны	2	14
4	не может быть	9	12
5	в данном случае	2	12
6	о том что	3	9
7	в этом отношении	2	8
8	состоит в том	3	8
9	как и в	3	7
10	с точки зрения	6	6
11	подобно тому как	5	5
12	с другой стороны	5	5
13	тем не менее	6	4
14	в этом случае	10	4
15	в том случае	3	3
16	более или менее	2	3
17	во всяком случае	2	3
18	на первый взгляд	3	3
19	в обоих случаях	2	3
20	то ни было	2	2
21	бы то ни	3	2
22	в тех случаях	2	2
23	а также и	5	2
24	в большинстве случаев	3	2
25	это еще не	2	2
26	тех случаях когда	2	2
27	том случае если	2	2
28	сказки о животных	4	2
29	которое может быть	2	2
30	в научной литературе	2	2
31	под углом зрения	2	2
