N	3gram	Bakhtin_Pr	Freidism
1	с точки зрения	21	15
2	не может быть	8	14
3	по отношению к	17	11
4	в самом деле	5	10
5	в том что	10	9
6	во всяком случае	3	8
7	как мы видели	3	8
8	в то же	10	6
9	в высшей степени	2	6
10	то же время	10	6
11	в большинстве случаев	3	5
12	можно сказать что	3	5
13	как мы уже	2	5
14	с самого начала	3	5
15	можем сказать что	2	5
16	мы можем сказать	2	5
17	по ту сторону	2	4
18	в этом отношении	7	4
19	это вовсе не	2	4
20	в данном случае	3	4
21	в зависимости от	5	4
22	на самом деле	4	4
23	и до конца	4	4
24	все то что	3	3
25	точку зрения на	4	3
26	а потому и	2	3
27	бы то ни	3	3
28	но в то	5	3
29	о том что	5	3
30	для того чтобы	3	3
31	только то что	2	3
32	и не может	3	3
33	до сих пор	3	3
34	то ни было	2	2
35	точка зрения на	2	2
36	том что он	4	2
37	что он сам	2	2
38	таким образом в	2	2
39	хотя бы и	3	2
40	как раз и	2	2
41	заключается в том	2	2
42	в отличие от	3	2
43	в конце концов	7	2
44	в этом смысле	12	2
45	выходит за пределы	2	2
46	в его целом	8	2
47	он не только	2	2
48	это и есть	3	2
