N	3gram	Losev_Prob	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	4	7
3	с точки зрения	3	6
4	во всяком случае	11	6
5	для того чтобы	9	5
6	по крайней мере	8	5
7	до сих пор	6	5
8	в том числе	2	5
9	более или менее	7	5
10	о том что	16	4
11	том числе и	2	4
12	в конце концов	11	3
13	так же как	2	3
14	точно так же	7	3
15	так или иначе	7	3
16	тем не менее	25	3
17	в том что	7	3
18	в связи с	7	3
19	и в этом	5	2
20	бы то ни	2	2
21	можно сказать что	6	2
22	ничего общего с	9	2
23	на то что	12	2
24	то же самое	9	2
25	то или иное	2	2
26	то что он	3	2
27	в то же	4	2
28	той или иной	5	2
29	может быть и	5	2
30	в значительной мере	2	2
31	с самого начала	2	2
32	в этом отношении	2	2
33	может быть даже	2	2
