N	3gram	Tiupa_Hudo	Dialekti
1	и т д	5	75
2	с точки зрения	5	46
3	в том что	15	25
4	не может быть	5	18
5	тем не менее	6	16
6	то же время	11	15
7	в то же	11	14
8	о том что	14	12
9	на то что	2	11
10	в самом деле	5	10
11	подобно тому как	4	9
12	содержит в себе	2	9
13	и в этом	3	9
14	не только не	3	8
15	та или иная	4	8
16	не в том	2	7
17	в связи с	3	7
18	так или иначе	3	7
19	для того чтобы	2	6
20	ни с какой	2	6
21	с одной стороны	4	6
22	только потому что	2	6
23	и в то	2	6
24	то и другое	2	5
25	до сих пор	3	5
26	к тому что	8	5
27	то же самое	3	4
28	мы уже знаем	2	4
29	так же как	2	4
30	в данном случае	3	4
31	и т п	10	4
32	личности с ее	2	4
33	в этом отношении	4	4
34	можно было бы	5	4
35	связи с этим	2	4
36	же как и	2	3
37	не было ни	2	3
38	но в то	3	3
39	то что я	2	3
40	одних и тех	2	3
41	как и в	5	3
42	речь идет о	2	3
43	не только в	4	3
44	о том как	4	3
45	ту или иную	2	3
46	и тех же	2	3
47	как будто бы	3	3
48	но все же	2	3
49	того или иного	4	3
50	что он не	3	2
51	ни о чем	3	2
52	несет на себе	2	2
53	в это время	2	2
54	друг от друга	2	2
55	том что в	4	2
56	что она не	2	2
57	не зная что	2	2
