N	2gram	Losev_Vesc	Stilisti
1	и в	44	42
2	как бы	19	30
3	не только	48	28
4	прежде всего	17	22
5	хотя бы	9	18
6	то же	12	16
7	но и	19	16
8	и не	57	14
9	не может	44	13
10	может быть	37	13
11	как и	15	12
12	точки зрения	10	11
13	что мы	17	11
14	мы уже	3	11
15	в себе	23	10
16	и как	12	10
17	отнюдь не	8	10
18	мы должны	5	10
19	в этом	17	10
20	как мы	6	10
21	в то	11	9
22	для того	3	9
23	все же	18	9
24	то что	47	9
25	мы не	8	9
26	тем самым	2	8
27	ничего не	12	8
28	так как	17	8
29	и это	17	8
30	с тем	8	8
31	в ней	14	8
32	что же	17	8
33	таким образом	16	8
34	с его	2	8
35	никогда не	5	7
36	другими словами	9	7
37	и от	4	7
38	в которой	5	7
39	мы можем	4	7
40	же время	4	7
41	так и	4	7
42	потому что	25	7
43	только в	23	7
44	а не	34	7
45	и на	2	7
46	того чтобы	4	7
47	было бы	24	7
48	и его	4	7
49	той же	2	7
50	и тем	7	7
51	одно и	6	6
52	когда мы	6	6
53	и так	2	6
54	бы в	9	6
55	во всех	5	6
56	не в	14	6
57	но ведь	2	6
58	в конце	3	6
59	или как	3	6
60	в нем	6	6
61	в свою	5	6
62	в его	5	6
63	слова в	2	6
64	в этой	4	6
65	мы будем	3	6
66	и то	14	5
67	независимо от	5	5
68	и следовательно	20	5
69	то есть	2	5
70	слова и	7	5
71	не является	3	5
72	и их	11	5
73	самом деле	7	5
74	как это	4	5
75	же мы	2	5
76	а с	3	5
77	мы видели	3	5
78	но все	3	5
79	тому что	2	5
80	а в	6	5
81	но в	8	5
82	в самом	13	5
83	и с	11	5
84	уже в	2	5
85	в той	6	5
86	с точки	6	5
87	вместе с	4	5
88	да и	5	4
89	что это	18	4
90	в одном	6	4
91	так же	4	4
92	ту или	3	4
93	общения и	2	4
94	на это	5	4
95	вопроса о	3	4
96	в данной	2	4
97	его в	8	4
98	на него	3	4
99	если бы	8	4
100	то или	5	4
101	что именно	4	4
102	не что	12	4
103	свою очередь	5	4
104	у нас	9	4
105	того что	16	4
106	можно было	6	4
107	один из	5	4
108	и все	6	4
109	к данной	3	4
110	к тому	3	4
111	о том	11	4
112	и пр	10	4
113	что такое	20	4
114	или иную	3	4
115	точка зрения	5	4
116	если мы	12	4
117	уже не	15	4
118	в целом	3	4
119	не существует	4	4
120	не знаем	2	4
121	мы видим	5	4
122	той или	3	4
123	было в	3	4
124	не просто	23	4
125	все это	7	4
126	в качестве	4	4
127	себя в	11	4
128	как только	6	4
129	тех или	6	4
130	можно сказать	8	4
131	не к	3	4
132	в слове	2	4
133	и без	4	4
134	тем же	2	4
135	сказать что	21	3
136	слово и	4	3
137	это не	9	3
138	том что	13	3
139	нуждается в	2	3
140	и эта	4	3
141	но для	2	3
142	перед нами	3	3
143	об этом	5	3
144	и даже	12	3
145	от того	7	3
146	то мы	3	3
147	и здесь	5	3
148	или иных	2	3
149	конце концов	2	3
150	в виду	2	3
151	в том	15	3
152	в частности	3	3
153	у них	2	3
154	еще не	12	3
155	только на	3	3
156	совершенно не	11	3
157	его и	4	3
158	как в	3	3
159	и вот	4	3
160	свое выражение	3	3
161	в разных	6	3
162	для него	8	3
163	не с	8	3
164	то он	2	3
165	не так	2	3
166	и для	13	3
167	нет и	4	3
168	ни на	7	3
169	видели что	3	3
170	что у	5	3
171	в котором	4	3
172	их в	6	3
173	и само	3	3
174	что оно	10	3
175	быть может	3	3
176	выражение в	3	3
177	если не	3	3
178	допустим что	3	3
179	между ними	6	3
180	из которых	3	3
181	не будет	13	3
182	главным образом	3	3
183	но что	9	3
184	из них	7	3
185	если он	3	3
186	для нас	2	3
187	хотя и	5	3
188	несмотря на	6	3
189	жизни и	6	3
190	что и	11	3
191	необходимо чтобы	7	3
192	в ее	8	3
193	и уже	2	3
194	все эти	5	3
195	конечно не	2	3
196	отношения к	3	3
197	что эти	2	3
198	в основе	4	3
199	не мог	3	3
200	что иное	12	2
201	еще и	11	2
202	в каком	6	2
203	в отношении	7	2
204	для этого	5	2
205	и вообще	6	2
206	вопрос о	6	2
207	все то	2	2
208	очевидно что	2	2
209	одном и	2	2
210	и потому	8	2
211	с этим	4	2
212	бытия в	2	2
213	переживания и	2	2
214	относится к	6	2
215	с другими	8	2
216	мы имеем	8	2
217	нет ничего	2	2
218	но как	3	2
219	же такое	4	2
220	человека и	3	2
221	в первой	2	2
222	бы и	9	2
223	но даже	3	2
224	должно быть	8	2
225	и нет	3	2
226	к этому	2	2
227	с ней	2	2
228	жизни мы	2	2
229	и больше	13	2
230	с самим	4	2
231	не нужно	3	2
232	все бытие	2	2
233	за ними	2	2
234	чего же	3	2
235	иное как	12	2
236	отношение к	4	2
237	есть не	17	2
238	должен быть	5	2
239	слово в	2	2
240	же самой	3	2
241	я и	8	2
242	кроме того	5	2
243	но эта	2	2
244	и эту	2	2
245	тем что	7	2
246	этом отношении	2	2
247	находятся в	2	2
248	в их	4	2
249	ее с	5	2
250	что он	7	2
251	что то	3	2
252	по своей	3	2
253	ничем не	4	2
254	и сам	3	2
