N	2gram	Propp_Isto	slovoVRo
1	и в	40	92
2	и т	39	82
3	в нем	8	59
4	может быть	37	59
5	и его	5	59
6	и не	19	51
7	не только	28	44
8	не может	19	41
9	но и	21	39
10	в этом	13	36
11	а не	18	34
12	во всех	3	32
13	так и	13	30
14	могут быть	5	29
15	и др	11	29
16	в пределах	4	29
17	в его	10	27
18	слова в	2	26
19	все это	6	25
20	как бы	6	24
21	то же	21	23
22	и на	6	22
23	не в	11	21
24	в сущности	2	21
25	как в	7	21
26	вовсе не	3	21
27	в то	4	20
28	прежде всего	15	19
29	как мы	3	19
30	как и	5	18
31	себя в	2	18
32	с ним	3	18
33	все же	17	17
34	все эти	6	17
35	в истории	2	17
36	в основе	4	17
37	и даже	4	17
38	в большинстве	4	17
39	таким образом	13	17
40	к своему	3	16
41	отличие от	3	16
42	при этом	6	16
43	в них	2	16
44	но в	13	16
45	там где	5	15
46	и с	5	15
47	в отличие	3	14
48	так сказать	3	14
49	только в	16	14
50	это не	8	13
51	точка зрения	2	13
52	в особенности	3	13
53	и для	5	13
54	с другой	8	13
55	никогда не	25	12
56	и потому	3	12
57	а в	15	12
58	или в	6	12
59	и наконец	5	12
60	еще не	14	12
61	один из	10	11
62	большинстве случаев	4	11
63	на его	2	11
64	с ними	2	11
65	одной стороны	7	11
66	в этих	17	11
67	с одной	8	11
68	для него	2	11
69	в своем	5	10
70	и их	4	10
71	в том	12	10
72	она не	6	10
73	в себе	6	10
74	с другими	2	10
75	всех этих	4	10
76	в него	2	10
77	т д	35	10
78	уже не	3	10
79	его в	15	9
80	и от	2	9
81	одним из	2	9
82	в основном	4	9
83	или менее	5	9
84	к нему	3	9
85	более или	5	9
86	здесь в	4	9
87	в их	6	9
88	в своей	2	9
89	этом случае	3	9
90	сказать что	7	9
91	одна из	4	9
92	так как	20	9
93	с ее	2	9
94	но не	7	9
95	конечно не	2	9
96	он не	10	9
97	не могут	3	8
98	в одной	3	8
99	в зависимости	3	8
100	в ней	10	8
101	не на	2	8
102	с этим	5	8
103	и часто	4	8
104	зависимости от	3	8
105	для нас	17	8
106	перед нами	5	7
107	том что	11	7
108	друг друга	2	7
109	его не	3	7
110	о нем	5	7
111	в целом	3	7
112	связи с	10	7
113	например в	7	7
114	у него	5	7
115	здесь не	5	7
116	но все	9	7
117	также и	3	7
118	связанные с	3	7
119	на своем	2	7
120	не было	3	7
121	кроме того	3	7
122	же и	3	7
123	во всем	3	7
124	мы уже	7	7
125	даже в	5	6
126	ничего не	6	6
127	которые в	3	6
128	роль в	3	6
129	на этом	3	6
130	точку зрения	3	6
131	например у	2	6
132	а также	2	6
133	xix века	2	6
134	что в	19	6
135	ни в	2	6
136	дело с	2	6
137	большей или	2	6
138	или меньшей	2	6
139	в качестве	8	6
140	другой стороны	7	6
141	лежит в	2	6
142	и здесь	15	6
143	хотя бы	5	6
144	связан с	4	6
145	он в	5	6
146	именно в	5	6
147	себя и	2	6
148	по себе	4	6
149	в одном	8	6
150	между тем	2	6
151	не как	3	5
152	а как	2	5
153	героя в	6	5
154	только на	2	5
155	не знает	7	5
156	не менее	7	5
157	но оно	4	5
158	отношению к	6	5
159	а затем	4	5
160	мы не	12	5
161	и по	4	5
162	должен быть	3	5
163	эти формы	3	5
164	в других	3	5
165	для этого	3	5
166	по отношению	6	5
167	в результате	2	5
168	связанных с	2	5
169	его и	6	5
170	должна быть	5	5
171	и более	3	5
172	не с	3	5
173	они не	8	5
174	в дальнейшем	6	5
175	о том	12	5
176	оно может	2	5
177	и этим	3	5
178	уже в	2	5
179	или даже	3	5
180	но он	5	5
181	вместе с	13	5
182	оно и	2	4
183	для всех	2	4
184	так же	18	4
185	но как	2	4
186	образом в	2	4
187	и ее	3	4
188	даже на	2	4
189	в другом	6	4
190	что и	9	4
191	в виду	2	4
192	что он	32	4
193	он должен	3	4
194	не всегда	9	4
195	однако в	2	4
196	в виде	2	4
197	в частности	3	4
198	связано с	2	4
199	того что	6	4
200	может иметь	2	4
201	мы видели	4	4
202	до сих	11	4
203	с другом	3	4
204	на образ	2	4
205	так в	7	4
206	тогда когда	2	4
207	того чтобы	3	4
208	ли он	3	4
209	одним словом	4	4
210	обстоит дело	4	4
211	же как	7	4
212	одной из	6	4
213	но это	8	4
214	его как	2	4
215	всех сторон	4	4
216	дело не	8	4
217	в которой	2	4
218	и как	3	4
219	если бы	8	4
220	сих пор	12	4
221	к тому	6	4
222	друг с	4	4
223	от его	2	4
224	эти слова	3	4
225	он может	2	4
226	в другой	4	4
227	из них	5	4
228	из этого	3	4
229	материал в	3	4
230	с образом	2	4
231	в некоторых	4	4
