N	2gram	Propp_Isto	Stilisti
1	и в	43	42
2	как бы	5	30
3	не только	28	28
4	прежде всего	3	22
5	хотя бы	3	18
6	то же	11	16
7	но и	24	16
8	и не	16	14
9	не может	8	13
10	может быть	22	13
11	как и	9	12
12	точки зрения	3	11
13	что мы	5	11
14	мы уже	9	11
15	в себе	2	10
16	и как	6	10
17	мы должны	9	10
18	в этом	25	10
19	как мы	11	10
20	в то	2	9
21	все же	13	9
22	то что	20	9
23	при этом	4	9
24	мы не	3	9
25	ничего не	12	8
26	так как	13	8
27	и это	5	8
28	с тем	3	8
29	в ней	3	8
30	что же	2	8
31	таким образом	15	8
32	никогда не	9	7
33	другими словами	2	7
34	и от	3	7
35	мы можем	10	7
36	и той	2	7
37	так и	6	7
38	потому что	8	7
39	только в	8	7
40	а не	13	7
41	и на	7	7
42	было бы	5	7
43	и его	10	7
44	той же	3	7
45	и тем	2	7
46	и так	3	6
47	не в	9	6
48	в нем	11	6
49	в свою	5	6
50	на его	5	6
51	в его	7	6
52	в этой	7	6
53	и то	4	5
54	все время	2	5
55	независимо от	3	5
56	связанных с	4	5
57	мы увидим	6	5
58	и их	4	5
59	как это	5	5
60	же мы	2	5
61	мы видели	18	5
62	но все	5	5
63	а в	13	5
64	но в	15	5
65	те же	2	5
66	и с	10	5
67	вместе с	12	5
68	да и	2	4
69	что это	4	4
70	в одном	9	4
71	так же	16	4
72	на это	4	4
73	его в	7	4
74	на него	4	4
75	если бы	7	4
76	не что	6	4
77	у нас	7	4
78	к своему	3	4
79	того что	8	4
80	можно было	3	4
81	один из	7	4
82	с появлением	8	4
83	одной и	2	4
84	и все	4	4
85	к тому	9	4
86	о том	4	4
87	и пр	19	4
88	уже не	11	4
89	и к	4	4
90	в целом	4	4
91	мы видим	15	4
92	не просто	4	4
93	все это	4	4
94	в качестве	4	4
95	себя в	2	4
96	как только	2	4
97	можно сказать	3	4
98	сказать что	5	3
99	на самом	2	3
100	связь и	2	3
101	это не	10	3
102	том что	12	3
103	в начале	2	3
104	в тех	3	3
105	но для	2	3
106	долгое время	2	3
107	перед нами	4	3
108	об этом	8	3
109	и даже	4	3
110	этого слова	3	3
111	от того	3	3
112	то мы	3	3
113	и здесь	8	3
114	целый ряд	3	3
115	роль в	2	3
116	во второй	2	3
117	в виду	2	3
118	в том	13	3
119	он должен	3	3
120	в частности	6	3
121	еще не	15	3
122	только на	2	3
123	совершенно не	2	3
124	его и	6	3
125	как в	6	3
126	и вот	3	3
127	не знает	2	3
128	не с	2	3
129	и для	3	3
130	видели что	8	3
131	что у	4	3
132	в котором	5	3
133	их в	6	3
134	заметить что	2	3
135	должно было	2	3
136	как таковой	3	3
137	если не	2	3
138	главным образом	3	3
139	из них	7	3
140	если он	2	3
141	для нас	6	3
142	хотя и	4	3
143	жизни и	2	3
144	что и	17	3
145	и уже	2	3
146	все эти	8	3
147	конечно не	3	3
148	связи с	9	3
149	что было	3	3
150	уже видели	4	3
151	этом случае	8	3
152	между тем	2	3
153	связь между	2	3
154	не мог	2	3
155	здесь мы	6	3
156	что иное	6	2
157	вопрос о	4	2
158	и потому	2	2
159	с этим	13	2
160	относится к	3	2
161	мы имеем	24	2
162	нет ничего	3	2
163	из этих	5	2
164	но как	2	2
165	к этому	10	2
166	с ней	6	2
167	по отношению	2	2
168	иное как	6	2
169	должны были	4	2
170	или несколько	2	2
171	мы найдем	2	2
172	отношение к	4	2
173	друг друга	6	2
174	есть не	2	2
175	к которому	6	2
176	а на	5	2
177	но эта	2	2
178	тем что	8	2
179	человека в	2	2
180	не всегда	7	2
181	и при	2	2
182	в этих	18	2
183	что он	17	2
184	останавливаться на	2	2
185	в наших	2	2
186	ничем не	2	2
187	к нашей	2	2
188	связано с	4	2
189	отношению к	2	2
190	себе и	2	2
191	к чему	2	2
192	сих пор	7	2
193	его не	3	2
194	в пределах	5	2
195	себе в	2	2
196	только тогда	2	2
197	увидим что	2	2
198	в жизни	3	2
199	но не	10	2
200	и этот	2	2
201	в него	3	2
202	к нему	12	2
203	тому же	4	2
204	видим что	7	2
205	равно как	3	2
206	еще более	3	2
207	только одна	3	2
208	связь с	12	2
209	с собой	4	2
210	ту же	2	2
211	тех случаях	2	2
212	не есть	3	2
213	из трех	3	2
214	этот вопрос	3	2
215	в которых	7	2
216	ни один	2	2
217	представляет собой	6	2
218	теперь к	3	2
219	между собой	2	2
220	и он	2	2
221	от которых	2	2
222	для них	3	2
223	человека с	2	2
224	как нет	2	2
225	не было	2	2
226	смысле этого	3	2
227	как не	2	2
228	между двумя	6	2
229	здесь не	6	2
230	но это	5	2
231	случай когда	4	2
232	в своей	4	2
233	как нечто	3	2
234	или в	14	2
235	в связи	5	2
236	таким же	5	2
237	он не	11	2
238	друг другу	2	2
239	случаях когда	2	2
240	в дальнейшем	8	2
241	перейти к	2	2
242	тот же	2	2
243	вовсе не	3	2
244	ясно что	2	2
