N	2gram	Ircho_Kome	SlovoVZh
1	не может	3	16
2	точки зрения	7	14
3	может быть	16	14
4	и его	17	13
5	как бы	3	13
6	и в	40	12
7	таким образом	13	12
8	в нашем	2	11
9	отношению к	5	11
10	по отношению	5	11
11	и не	19	10
12	так как	6	9
13	если бы	4	9
14	прежде всего	8	8
15	все время	2	6
16	при этом	5	6
17	в том	19	6
18	в нем	8	6
19	только в	6	6
20	в ней	2	6
21	как в	8	5
22	в виду	2	5
23	но в	6	5
24	том что	19	5
25	то же	7	5
26	как и	12	5
27	и следовательно	2	5
28	хотя бы	2	5
29	то что	8	5
30	отнюдь не	2	5
31	в самом	5	4
32	в этом	9	4
33	не только	12	4
34	в литературе	2	4
35	его в	6	4
36	жизни и	4	4
37	не в	8	4
38	ни было	4	4
39	с другой	7	4
40	все же	7	4
41	к нему	5	4
42	за пределы	2	4
43	и к	2	4
44	так и	17	4
45	и на	9	4
46	от того	3	4
47	отношение к	3	4
48	в них	7	3
49	по себе	2	3
50	о том	12	3
51	и для	4	3
52	имеет в	2	3
53	да и	5	3
54	так называемой	3	3
55	не к	2	3
56	из этого	2	3
57	и уже	2	3
58	ни в	9	3
59	в котором	6	3
60	бы то	4	3
61	то ни	4	3
62	так же	4	3
63	в своей	3	3
64	мы не	4	3
65	в себе	3	3
66	нуждается в	2	3
67	еще не	7	3
68	все это	7	3
69	только на	2	3
70	и ее	5	3
71	между тем	9	3
72	и с	8	3
73	точек зрения	2	3
74	не менее	6	3
75	сих пор	3	3
76	до сих	3	3
77	и по	6	3
78	тем не	3	3
79	и более	2	3
80	но и	14	3
81	ясно что	9	3
82	едва ли	16	2
83	и дает	2	2
84	тем как	2	2
85	в его	8	2
86	к его	3	2
87	до конца	3	2
88	и здесь	6	2
89	что в	12	2
90	а к	2	2
91	в отношении	6	2
92	и притом	2	2
93	место в	7	2
94	ничего не	4	2
95	с его	4	2
96	что и	10	2
97	это не	2	2
98	и все	4	2
99	можно найти	2	2
100	содержания и	2	2
101	но все	4	2
102	тому же	14	2
103	в своем	6	2
104	на все	3	2
105	дело с	3	2
106	независимо от	5	2
107	и что	2	2
108	в то	14	2
109	уже в	9	2
110	с этой	3	2
111	в этих	5	2
112	одной стороны	5	2
113	связь с	2	2
114	и другие	3	2
115	но это	2	2
116	он не	5	2
117	в какой	2	2
118	такой же	2	2
119	как на	2	2
120	но не	3	2
121	как это	7	2
122	на это	3	2
123	в себя	3	2
124	мы можем	6	2
125	содержанию и	2	2
126	могут быть	3	2
127	в чем	3	2
128	в форме	2	2
129	с одной	5	2
130	относится к	2	2
131	к этому	8	2
132	же самое	2	2
133	другой стороны	6	2
134	вместе с	8	2
135	на него	4	2
