N	2gram	Nazirov_Tv	Istorich
1	и в	40	181
2	и т	14	160
3	т д	10	142
4	может быть	11	115
5	не только	16	114
6	что он	11	111
7	что в	17	90
8	но и	10	85
9	в этом	11	81
10	так как	6	75
11	то что	9	73
12	таким образом	14	72
13	вместе с	4	71
14	и не	12	67
15	все же	9	65
16	мы видим	3	65
17	в этих	2	64
18	еще не	5	63
19	не может	9	61
20	так же	6	57
21	то же	19	56
22	никогда не	13	56
23	в том	13	53
24	том что	14	53
25	с другой	4	52
26	а в	10	52
27	потому что	10	52
28	что и	3	51
29	и что	2	51
30	и здесь	2	51
31	о том	9	48
32	а не	9	48
33	связь с	3	47
34	его в	2	47
35	не в	3	47
36	другой стороны	2	46
37	превращается в	2	45
38	но в	11	44
39	это не	9	43
40	и его	14	43
41	мы знаем	2	42
42	в нем	4	42
43	показывает что	5	42
44	только в	7	42
45	как в	10	42
46	представление о	9	41
47	или в	2	39
48	в его	19	38
49	тем что	2	38
50	и на	12	38
51	так и	5	37
52	он не	10	37
53	уже не	6	37
54	как и	16	37
55	мы уже	2	37
56	здесь мы	2	35
57	что они	3	35
58	все эти	3	35
59	мы не	3	35
60	во время	2	34
61	но не	7	34
62	связи с	2	34
63	у него	11	34
64	же как	3	33
65	об этом	4	33
66	в качестве	2	32
67	представляет собой	4	31
68	ничего не	3	31
69	прежде всего	10	31
70	один из	5	31
71	то это	2	31
72	при помощи	4	30
73	с этим	2	30
74	в русской	5	30
75	с одной	2	30
76	но это	10	29
77	например в	3	28
78	что она	5	28
79	и другие	4	28
80	и с	9	28
81	так что	4	27
82	в образе	4	27
83	героя в	4	27
84	того что	3	27
85	могут быть	4	27
86	в ней	2	26
87	как это	2	26
88	и др	2	26
89	представляют собой	2	26
90	на него	2	26
91	в дальнейшем	7	25
92	и он	4	25
93	было бы	2	24
94	если бы	4	24
95	в виде	4	24
96	к этому	4	24
97	не менее	8	24
98	все это	14	23
99	когда он	4	23
100	тем не	2	23
101	в частности	4	23
102	точно так	3	23
103	в этой	7	23
104	и это	2	23
105	как бы	26	23
106	представлений о	2	23
107	при этом	14	22
108	и по	5	22
109	с ним	4	22
110	в одном	3	21
111	сказать что	3	21
112	ее в	3	21
113	к тому	2	21
114	в связи	2	21
115	связан с	4	21
116	она не	2	20
117	одна из	5	20
118	в свете	3	20
119	из них	4	20
120	наряду с	6	20
121	так например	3	19
122	а затем	5	19
123	и как	5	19
124	что у	5	19
125	на том	2	19
126	живет в	3	19
127	но он	3	19
128	что этот	2	18
129	не все	2	18
130	в данном	2	18
131	вовсе не	5	18
132	в то	23	18
133	и только	2	17
134	дело не	3	17
135	герой в	3	16
136	связана с	2	16
137	перед нами	3	16
138	и все	6	16
139	в котором	8	16
140	этот вопрос	4	16
141	во всех	2	16
142	данном случае	2	15
143	в целом	7	15
144	на его	4	15
145	в своей	8	15
146	даже в	4	15
147	его и	2	15
148	друг друга	2	15
149	и даже	8	15
150	в которых	3	15
151	как будто	5	15
152	в одной	5	15
153	и тем	2	15
154	от него	2	14
155	у нас	2	14
156	с этой	4	14
157	на смену	2	14
158	в него	2	14
159	должен был	2	14
160	отношению к	3	14
161	и есть	2	14
162	одной из	7	14
163	по отношению	3	14
164	и наконец	3	14
165	на себя	2	14
166	своего рода	7	13
167	на ней	2	13
168	в таких	2	13
169	и от	8	13
170	в руки	2	13
171	тогда как	3	13
172	в книге	3	13
173	в своем	4	13
174	и у	3	13
175	не имеет	2	13
176	и если	3	13
177	в себе	3	13
178	с ними	3	13
179	по себе	2	13
180	у нее	4	12
181	в их	5	12
182	и их	2	12
183	одним из	6	12
184	на землю	2	12
185	хотя бы	5	12
186	в основном	9	12
187	о нем	2	12
188	не знает	2	12
189	что не	5	12
190	к ней	3	12
191	и вот	2	11
192	и более	2	11
193	если он	4	11
194	только с	3	11
195	хотя и	5	11
196	в этот	3	11
197	но уже	2	11
198	уже в	5	11
199	человека в	9	11
200	далеко не	3	11
201	к которому	3	11
202	я не	5	11
203	по мере	2	11
204	такой же	4	11
205	восходит к	2	11
206	приходит к	4	10
207	он видит	3	10
208	в ее	3	10
209	известно что	4	10
210	но если	4	10
211	говорит о	3	10
212	указывает на	2	10
213	вслед за	2	10
214	за собой	4	10
215	если не	4	10
216	как правило	3	10
217	на земле	4	10
218	там же	11	10
219	не мог	3	10
220	однако это	2	10
221	и других	5	10
222	а с	4	10
223	в которой	5	10
224	ни в	2	10
225	его к	2	10
226	не было	3	10
227	себя в	3	10
228	а как	2	9
229	в истории	2	9
230	тот же	3	9
231	в основе	3	9
232	в свою	8	9
233	которой он	2	9
234	в себя	3	9
235	не могут	2	9
236	означает что	2	9
237	а по	3	9
238	это и	4	9
239	здесь нет	2	9
240	но эти	3	9
241	на этот	3	9
242	зависит от	4	9
243	жизни и	3	9
