N	3gram	Propp_Morf	VeschiIm
1	и т д	60	38
2	не может быть	9	24
3	то ни было	2	12
4	не что иное	2	12
5	бы то ни	3	12
6	что иное как	2	12
7	тем не менее	6	11
8	в том что	4	9
9	на то что	3	7
10	с точки зрения	6	6
11	подобно тому как	5	5
12	и тем не	2	5
13	более или менее	2	4
14	то время как	3	4
15	о том как	2	4
16	о том что	3	4
17	в то время	3	4
18	в собственном смысле	3	3
19	можно было бы	2	3
20	с одной стороны	2	3
21	с другой стороны	5	3
22	но если это	2	3
23	во всяком случае	2	2
24	но все же	4	2
25	для того чтобы	3	2
26	в этом отношении	2	2
27	к тому что	4	2
28	в связи с	9	2
29	мы видим что	11	2
30	не может считаться	4	2
31	вопрос о том	2	2
32	и таким образом	2	2
33	в данном случае	2	2
34	в первом случае	3	2
35	если это так	2	2
