N	3gram	Potebnia_M	Morfolog
1	и т д	5	60
2	в этом случае	2	10
3	не может быть	7	9
4	по отношению к	10	7
5	с точки зрения	2	6
6	тем не менее	7	6
7	подобно тому как	3	5
8	с другой стороны	4	5
9	на самом деле	4	4
10	в том что	22	4
11	к тому что	3	4
12	не могут быть	3	4
13	о том что	5	3
14	то время как	3	3
15	в том случае	2	3
16	далеко не все	3	3
17	в то время	7	3
18	как и в	3	3
19	для того чтобы	5	3
20	в большинстве случаев	2	3
21	в первом случае	2	3
22	на то что	3	3
23	в собственном смысле	2	3
24	в таких случаях	2	2
25	во всяком случае	3	2
26	то что в	2	2
27	в данном случае	3	2
28	но так как	2	2
29	более или менее	6	2
30	в этом отношении	2	2
31	вне связи с	2	2
32	тем и другим	2	2
33	отсюда видно что	2	2
34	с одной стороны	4	2
