N	2gram	Trubetskoy	Myshleni
1	в том	31	195
2	в этом	13	167
3	то что	18	166
4	и в	24	162
5	том что	20	161
6	таким образом	34	147
7	точки зрения	14	143
8	что в	9	119
9	не только	10	116
10	того что	7	109
11	в процессе	2	101
12	так же	8	100
13	потому что	9	95
14	того чтобы	8	91
15	может быть	17	89
16	с точки	8	89
17	что он	7	86
18	не может	18	81
19	как и	10	79
20	так как	7	78
21	для того	8	78
22	и не	9	78
23	только в	6	75
24	в целом	5	74
25	как мы	3	72
26	но и	11	70
27	заключается в	3	67
28	в его	5	67
29	как бы	10	64
30	вместе с	7	62
31	и что	9	60
32	было бы	3	60
33	то же	4	58
34	в основе	2	58
35	что мы	4	53
36	в силу	7	53
37	между собой	4	53
38	в самом	8	52
39	в сущности	2	51
40	по сравнению	5	51
41	мы должны	4	50
42	к тому	8	49
43	что они	2	48
44	мы можем	6	48
45	тогда когда	3	47
46	сравнению с	5	46
47	если бы	8	46
48	но не	3	45
49	с другой	6	45
50	по отношению	11	45
51	тем самым	3	43
52	с тем	4	43
53	же как	3	43
54	тому что	2	42
55	отношению к	11	42
56	по своей	7	40
57	одной стороны	2	40
58	о том	7	40
59	так и	10	39
60	никогда не	4	39
61	с одной	3	39
62	в области	4	38
63	мы видели	2	38
64	вопрос о	3	37
65	не в	9	37
66	если мы	4	37
67	в этой	7	37
68	и к	5	37
69	в своем	12	36
70	все эти	19	36
71	и его	2	36
72	того же	9	35
73	друг с	9	35
74	с другом	9	35
75	он не	4	35
76	в которой	5	35
77	в себе	5	35
78	для себя	2	35
79	и т.д	4	35
80	связи с	4	34
81	при этом	9	33
82	прежде всего	3	33
83	что и	7	32
84	именно в	5	32
85	по своему	5	32
86	но в	5	32
87	той же	2	32
88	что оно	3	32
89	и на	6	32
90	и то	4	31
91	из того	4	31
92	все же	15	31
93	на то	9	30
94	между тем	12	29
95	этого слова	2	29
96	от того	3	29
97	как известно	3	29
98	с этим	12	28
99	самом деле	12	28
100	что с	6	28
101	что все	5	27
102	только что	3	27
103	с этой	3	27
104	в результате	9	27
105	в то	6	27
106	этом случае	4	27
107	другой стороны	5	27
108	и с	5	27
109	в их	4	26
110	в частности	2	26
111	что это	5	26
112	для него	2	26
113	все это	13	25
114	еще не	6	25
115	что она	2	25
116	что развитие	2	25
117	это не	3	25
118	только не	2	25
119	мы уже	4	25
120	так что	6	24
121	мы знаем	10	24
122	тот же	3	24
123	целый ряд	4	24
124	что эта	4	24
125	в нем	3	24
126	зависимости от	2	24
127	в высшей	2	24
128	друг друга	2	23
129	бы в	3	23
130	этот вопрос	2	23
131	высшей степени	2	22
132	во всяком	2	22
133	и развитие	2	22
134	не могут	4	22
135	столь же	5	22
136	то время	2	22
137	отношение к	4	21
138	в истории	3	21
139	и более	2	21
140	в нашем	3	21
141	его в	5	21
142	представление о	3	21
143	к этому	5	21
144	и все	9	21
145	между ними	2	21
146	и ее	2	21
147	не имеет	2	21
148	в сознании	7	21
149	в такой	4	20
150	в котором	2	20
151	в виду	2	20
152	и других	3	20
153	по существу	7	20
154	а в	3	20
155	должно быть	5	20
156	из них	5	20
157	в другом	2	20
158	и их	5	20
159	на вопрос	4	20
160	на этом	2	20
161	не менее	7	20
162	из этих	8	20
163	в пользу	5	20
164	мы говорили	8	19
165	в данном	3	19
166	в себя	2	19
167	с ним	6	19
168	из которых	4	19
169	как на	6	19
170	но если	2	19
171	а с	4	19
172	и по	3	19
173	во всех	10	19
174	мы и	2	19
175	ступени развития	5	19
176	в связи	3	19
