N	2gram	Vygotskiy_	NovoeSre
1	а не	7	17
2	и в	38	16
3	не может	11	16
4	и не	16	11
5	что в	31	9
6	в том	59	8
7	он не	6	8
8	не будет	2	7
9	может быть	25	7
10	как и	20	7
11	в этом	35	7
12	никогда не	11	6
13	в высшей	11	6
14	ни в	12	6
15	не в	10	6
16	высшей степени	11	6
17	но это	7	6
18	с его	3	6
19	не только	16	5
20	в жизни	3	5
21	все это	8	5
22	в нем	4	5
23	с ее	5	5
24	в ней	3	5
25	и к	9	5
26	не во	2	4
27	должно быть	3	4
28	по своему	14	4
29	в них	3	4
30	и для	4	4
31	не имеет	3	4
32	прежде всего	6	4
33	не менее	8	4
34	и потому	2	4
35	и мы	2	4
36	то что	27	4
37	о том	6	4
38	это не	5	4
39	потому что	14	4
40	и все	5	4
41	быть может	2	4
42	значит что	6	4
43	смысле слова	5	3
44	в мире	2	3
45	тому как	2	3
46	но и	9	3
47	к жизни	2	3
48	с другой	11	3
49	к тому	8	3
50	в своей	9	3
51	еще не	6	3
52	в истории	9	3
53	человека и	6	3
54	эти формы	2	3
55	в новое	2	3
56	как в	14	3
57	не есть	5	3
58	сказать что	10	3
59	во всех	3	3
60	в наши	2	3
61	вопрос о	2	3
62	наряду с	3	3
63	не означает	2	3
64	в основе	32	3
65	с тем	18	3
66	время как	5	2
67	в себе	9	2
68	что она	7	2
69	все они	2	2
70	и с	5	2
71	одна из	2	2
72	том чтобы	2	2
73	формы и	3	2
74	для этого	3	2
75	но не	7	2
76	и т.п	3	2
77	что все	2	2
78	и от	5	2
79	не могли	3	2
80	роль в	5	2
81	того чтобы	15	2
82	и это	7	2
83	хотя бы	2	2
84	и заключается	2	2
85	когда мы	2	2
86	же как	10	2
87	а в	7	2
88	все время	6	2
89	но в	4	2
90	том что	44	2
91	и на	9	2
92	с этим	6	2
93	и что	15	2
94	все эти	9	2
95	мы не	14	2
96	в смысле	9	2
97	не имеют	2	2
98	можно было	10	2
99	к образованию	9	2
100	связаны с	4	2
101	у него	3	2
102	уже не	3	2
103	по существу	4	2
104	с их	3	2
105	как это	16	2
106	другой стороны	5	2
107	самый процесс	2	2
108	не хотим	2	2
109	так же	26	2
110	так и	11	2
111	такого рода	7	2
112	могут быть	9	2
113	но для	2	2
114	одной стороны	8	2
115	такой же	4	2
116	в то	5	2
117	который в	4	2
118	хотя и	2	2
119	связана с	3	2
120	этом смысле	7	2
121	с одной	8	2
122	место в	3	2
123	и даже	4	2
124	вместе с	18	2
