N	3gram	Losev_Dial	TeoriaLi
1	в том что	12	10
2	в то же	3	8
3	то же время	3	8
4	с другой стороны	3	6
5	того или иного	3	6
6	так или иначе	2	5
7	в данном случае	3	5
8	не может быть	12	5
9	тот или иной	2	3
10	с точки зрения	25	3
11	с одной стороны	3	3
12	тем не менее	10	3
13	подобно тому как	5	3
14	той или иной	2	3
15	тех или иных	2	3
16	в связи с	3	3
17	одно и то	2	2
18	бы то ни	2	2
19	коем случае не	4	2
20	не только не	7	2
21	в коем случае	4	2
22	и то же	2	2
23	в таком случае	11	2
24	в данный момент	2	2
25	этой точки зрения	4	2
26	в самом деле	6	2
27	к тому что	2	2
28	с этой точки	4	2
29	и в то	2	2
30	как и в	3	2
31	ни в коем	4	2
32	сама по себе	11	2
33	не могут быть	3	2
