N	2gram	Voloshinov	Sovremen
1	не может	30	17
2	точки зрения	31	12
3	может быть	28	12
4	таким образом	34	11
5	мы не	9	9
6	не можем	6	7
7	и в	28	7
8	в этом	28	7
9	и не	34	6
10	ничего не	5	6
11	как и	13	6
12	только одна	2	6
13	в результате	3	6
14	мы можем	20	6
15	что же	10	5
16	с точки	15	5
17	все эти	15	5
18	и наконец	12	5
19	в условиях	3	5
20	прежде всего	26	5
21	нет и	4	4
22	вопрос о	2	4
23	мы видели	12	4
24	зависимости от	4	4
25	это не	5	4
26	не только	10	4
27	в том	10	4
28	в зависимости	4	4
29	мы должны	9	4
30	как бы	19	4
31	их в	3	4
32	так как	15	4
33	точку зрения	12	4
34	если мы	7	4
35	в дальнейшем	2	4
36	в целом	4	4
37	в развитии	4	4
38	жизни и	7	4
39	вместе с	5	4
40	а в	8	4
41	из них	7	4
42	с помощью	20	4
43	для нас	2	3
44	целесообразности и	2	3
45	видели что	3	3
46	когда мы	2	3
47	и потому	12	3
48	на этой	3	3
49	но в	13	3
50	с самого	7	3
51	при этом	8	3
52	но мы	6	3
53	не в	10	3
54	все же	8	3
55	он в	2	3
56	было бы	8	3
57	в области	4	3
58	уже в	3	3
59	в себе	7	3
60	еще не	8	3
61	одна из	4	3
62	у нас	3	3
63	и все	13	3
64	все это	12	3
65	в нем	7	3
66	между собой	4	3
67	а не	9	3
68	в первом	2	3
69	и к	7	3
70	на две	3	3
71	что она	5	3
72	в этой	7	3
73	то же	12	3
74	мы называем	3	3
75	живого организма	4	3
76	в одном	3	3
77	отличается от	2	3
78	самого начала	5	3
79	отнюдь не	5	3
80	в конце	2	3
81	ясно что	2	3
82	ли мы	2	3
83	принципиально не	2	2
84	но все	2	2
85	на этот	3	2
86	и по	5	2
87	же самое	2	2
88	всяком случае	8	2
89	что все	7	2
90	конечно в	3	2
91	значение в	3	2
92	которой он	3	2
93	быть и	7	2
94	роль в	7	2
95	а на	2	2
96	не менее	6	2
97	той же	5	2
98	дает нам	4	2
99	первый период	5	2
100	не могут	7	2
101	для развития	2	2
102	носит название	2	2
103	мы видим	3	2
104	в его	25	2
105	только одну	2	2
106	он должен	2	2
107	с этим	8	2
108	и пр	29	2
109	говорить об	2	2
110	рот и	2	2
111	и что	6	2
112	во всяком	9	2
113	и во	2	2
114	что такое	6	2
115	помощью которых	4	2
116	в науке	2	2
117	такого рода	2	2
118	приводит к	3	2
119	что при	2	2
120	такие же	3	2
121	свою очередь	4	2
122	из этих	6	2
123	так сказать	7	2
124	в самом	12	2
125	и есть	3	2
126	или же	2	2
127	еще более	2	2
128	знаем что	8	2
129	что в	7	2
130	совершенно не	9	2
131	все те	10	2
132	в таком	6	2
133	в которой	5	2
134	у него	4	2
135	такой же	3	2
136	в некоторых	2	2
137	самом деле	14	2
138	со всеми	5	2
139	уже не	9	2
140	в свою	6	2
141	по мнению	8	2
142	то ни	4	2
143	если же	2	2
144	в нашем	3	2
145	не будем	3	2
146	и они	2	2
147	могут быть	9	2
148	в отличие	2	2
149	же мы	3	2
150	отличие от	2	2
151	тот же	10	2
152	с одной	2	2
153	на этом	8	2
154	как мы	18	2
155	говорить о	5	2
156	не дает	4	2
157	мы знаем	11	2
158	что это	5	2
159	этих двух	3	2
160	или иной	2	2
161	тем не	4	2
162	из которых	2	2
163	и даже	3	2
164	тем же	3	2
165	период развития	4	2
