N	3gram	Trubetskoy	Problemy
1	то же время	2	26
2	в то же	2	26
3	с точки зрения	8	25
4	по отношению к	11	18
5	на самом деле	7	15
6	не может быть	4	14
7	в конце концов	4	11
8	до сих пор	15	10
9	в самом деле	5	9
10	во всяком случае	2	9
11	с другой стороны	4	9
12	друг с другом	9	8
13	в том что	16	8
14	бы то ни	3	7
15	том что он	2	6
16	как и все	2	6
17	то ни было	3	6
18	к тому же	5	5
19	в высшей степени	2	5
20	но все же	2	5
21	тем не менее	4	4
22	более или менее	8	4
23	друг к другу	2	4
24	он не может	2	4
25	может быть и	4	4
26	о том что	4	4
27	как и в	2	4
28	а между тем	8	4
29	именно потому что	2	4
30	друг на друга	2	4
31	в то время	2	3
32	в данном случае	3	3
33	на то что	7	3
34	все же не	3	3
35	в настоящее время	3	3
36	в этом случае	4	3
37	в том и	2	3
38	и в том	2	2
39	только то что	2	2
40	рано или поздно	2	2
41	что же касается	2	2
42	друг от друга	6	2
43	а следовательно и	2	2
44	в том же	3	2
45	время от времени	2	2
46	между этими двумя	2	2
47	вместе с тем	3	2
48	для того чтобы	7	2
49	в целом ряде	3	2
50	в свою очередь	2	2
