N	2gram	Berdyaev_N	EvropaiC
1	в том	8	31
2	и в	16	24
3	том что	2	20
4	все эти	2	19
5	не может	16	18
6	то что	4	18
7	может быть	7	17
8	в этом	7	13
9	все это	5	13
10	с этим	2	12
11	но и	3	11
12	культуры и	7	11
13	не только	5	10
14	так и	2	10
15	во всех	3	10
16	как и	7	10
17	культуры в	5	10
18	и не	11	9
19	не в	6	9
20	что в	9	9
21	и все	4	9
22	потому что	4	9
23	и что	2	9
24	так же	2	8
25	к тому	3	8
26	того чтобы	2	8
27	для этого	2	7
28	не менее	4	7
29	о том	4	7
30	по существу	2	7
31	вместе с	2	7
32	в мире	3	6
33	все они	2	6
34	еще не	3	6
35	в то	2	6
36	должна быть	3	6
37	и для	4	6
38	с другой	3	6
39	и на	2	6
40	и от	2	5
41	в себе	2	5
42	должно быть	4	5
43	лишь в	6	5
44	по своему	4	5
45	у него	2	5
46	что все	2	5
47	но в	2	5
48	и с	2	5
49	и к	5	5
50	другой стороны	2	5
51	не будет	7	5
52	как будто	2	5
53	никогда не	6	4
54	в одну	2	4
55	хотя бы	2	4
56	с тем	3	4
57	и культуры	2	4
58	не есть	3	4
59	он не	8	4
60	это есть	7	4
61	хотя и	2	4
62	вопрос о	3	3
63	это не	4	3
64	и потому	4	3
65	конечно не	3	3
66	во имя	15	3
67	прежде всего	4	3
68	с одной	2	3
69	в жизни	5	3
70	но не	2	3
71	и это	2	3
72	а в	2	3
73	в нем	5	3
74	в ней	5	3
75	можно назвать	2	3
76	в истории	3	3
77	же как	2	3
78	приобщиться к	2	2
79	одна из	2	2
80	помнить что	2	2
81	к ним	3	2
82	что она	2	2
83	высшей степени	6	2
84	должен быть	5	2
85	как не	8	2
86	не будут	2	2
87	не было	4	2
88	такой же	2	2
89	не знает	6	2
90	в высшей	6	2
91	том и	2	2
92	есть в	2	2
93	том чтобы	2	2
94	не имеет	4	2
95	она не	3	2
96	и начало	3	2
97	одной стороны	2	2
98	но для	2	2
99	в них	4	2
100	общества и	2	2
101	истории все	2	2
102	жизни и	8	2
103	каждого человека	2	2
104	с ее	5	2
105	и весь	2	2
106	я не	2	2
107	в основе	3	2
