N	2gram	Bakhtin_Pr	Tvorches
1	у достоевского	35	91
2	и в	59	56
3	как бы	40	41
4	в его	44	37
5	в романе	12	34
6	романах достоевского	12	32
7	в романах	15	30
8	в то	15	30
9	достоевского в	21	27
10	то же	15	25
11	не только	26	24
12	но в	7	24
13	же время	10	24
14	то есть	64	23
15	и его	21	23
16	и не	66	23
17	а в	9	23
18	как и	21	23
19	достоевского не	18	22
20	в этом	40	22
21	в том	17	21
22	из подполья	14	21
23	что в	14	21
24	том что	15	19
25	он не	11	19
26	может быть	38	19
27	в преступлении	2	19
28	потому что	20	19
29	у него	9	18
30	то что	21	18
31	преступлении и	2	18
32	что он	16	17
33	все это	12	17
34	и на	15	17
35	и наказании	2	17
36	таким образом	22	17
37	никогда не	19	16
38	достоевский не	8	16
39	прежде всего	17	16
40	достоевского с	8	16
41	как в	10	16
42	при этом	5	16
43	не может	31	16
44	но и	22	16
45	в творчестве	6	16
46	в этой	5	15
47	с его	14	15
48	но это	7	15
49	в мире	10	15
50	и с	10	15
51	это не	13	14
52	и даже	4	14
53	достоевский в	10	14
54	времени в	2	13
55	преступление и	2	13
56	творчестве достоевского	6	13
57	о том	5	13
58	а не	30	13
59	тем самым	3	12
60	в целом	8	12
61	в котором	6	12
62	достоевского это	2	11
63	преступления и	2	11
64	все же	9	11
65	в своей	17	11
66	братьях карамазовых	3	11
67	для него	23	11
68	что достоевский	3	11
69	героев достоевского	5	11
70	иван карамазов	2	10
71	в конце	9	10
72	не в	10	10
73	в основном	2	10
74	так и	13	10
75	романа достоевского	14	10
76	уже в	9	10
77	в русской	3	10
78	мире достоевского	10	10
79	и наказание	2	10
80	герои достоевского	5	10
81	по нашему	5	10
82	и наказания	2	10
83	творческого процесса	5	10
84	достоевского как	17	10
85	но не	13	10
86	нашему мнению	3	10
87	в самом	19	10
88	и достоевский	3	10
89	он сам	9	10
90	только в	15	10
91	как будто	4	10
92	в братьях	3	9
93	по природе	4	9
94	в нем	38	9
95	один из	4	9
96	и от	3	9
97	человека в	8	9
98	жизни в	3	9
99	в изображении	2	9
100	для достоевского	9	9
101	в своих	5	9
102	даже в	7	8
103	так же	10	8
104	в себе	9	8
105	человека и	2	8
106	в духе	3	8
107	в их	5	8
108	не менее	3	8
109	ивана карамазова	9	8
110	на его	7	8
111	так как	11	8
112	вовсе не	13	8
113	к этому	6	8
114	об этом	4	8
115	достоевским в	3	8
116	еще не	11	8
117	одним из	11	8
118	именно в	8	8
119	романов достоевского	12	8
120	романе достоевского	11	8
121	вместе с	2	8
122	за собой	3	7
123	творчество достоевского	3	7
124	достоевского и	14	7
125	самом деле	9	7
126	достоевского к	5	7
127	в чем	2	7
128	например в	5	7
129	в дальнейшем	2	7
130	и он	3	7
131	что она	6	7
132	в которой	6	7
133	в этих	5	7
134	в рассказе	3	7
135	русской литературе	2	7
136	уже не	14	7
137	идей в	5	7
138	и сам	5	7
139	в книге	4	6
140	его в	6	6
141	но у	5	6
142	мира достоевского	4	6
143	приводит к	4	6
144	поэтики достоевского	8	6
145	героя в	9	6
146	так что	3	6
147	и все	4	6
148	место в	2	6
149	не столько	3	6
150	все эти	12	6
151	и ее	5	6
152	бедных людях	2	6
153	одна из	4	6
154	хотя бы	5	6
155	в бедных	2	6
156	достоевского нет	3	6
157	и как	10	6
158	записок из	4	6
159	если бы	12	6
160	достоевского но	10	6
161	в момент	4	6
162	его романов	5	6
163	с ним	13	6
164	своих героев	5	6
165	творчества достоевского	8	6
166	а потому	4	6
167	бы не	3	5
168	ничего не	8	5
169	до конца	11	5
170	в одной	9	5
171	по отношению	17	5
172	и у	6	5
173	но эта	4	5
174	и других	8	5
175	как он	5	5
176	это как	2	5
177	в образе	4	5
178	в своем	12	5
179	а с	4	5
180	не так	3	5
181	в них	5	5
182	и это	5	5
183	роман достоевского	11	5
184	всего романа	3	5
185	что не	6	5
186	что и	10	5
187	отметить что	2	5
188	в ее	4	5
189	мы не	3	5
190	и по	4	5
191	что они	3	5
192	в истории	3	5
193	во всей	2	5
194	тот же	4	5
195	все время	4	5
196	с этим	2	5
197	в первой	3	5
198	мысли и	5	5
199	на него	4	5
200	между тем	5	5
201	героя и	11	5
202	и другие	4	5
203	как у	4	5
204	отношению к	17	5
205	в литературе	7	5
206	что у	5	5
207	с другой	3	5
208	самого достоевского	8	5
209	что я	2	5
210	по достоевскому	5	5
211	романа и	5	5
212	если не	2	5
213	его романах	5	5
214	из них	8	5
215	я не	7	5
216	не было	5	5
217	в таком	2	5
218	достоевский как	2	5
219	но с	4	5
220	произведениях достоевского	9	4
221	перед нами	8	4
222	в плане	5	4
223	и потому	9	4
224	сливается с	6	4
225	крайней мере	3	4
226	в человеке	15	4
227	и через	2	4
228	в произведениях	5	4
229	роль в	2	4
230	это и	10	4
231	романы достоевского	3	4
232	в частности	2	4
233	как это	2	4
234	отличие от	3	4
235	не знает	5	4
236	самого начала	4	4
237	того что	4	4
238	что все	5	4
239	к нему	13	4
240	но только	3	4
241	он говорит	3	4
242	точки зрения	36	4
243	могут быть	5	4
244	сих пор	3	4
245	однако в	2	4
246	же как	5	4
247	для автора	6	4
248	с ними	3	4
249	мы видим	5	4
250	который в	2	4
251	в основе	6	4
252	но эти	2	4
253	х годов	2	4
254	так сказать	8	4
255	по преимуществу	3	4
256	в каждом	11	4
257	себя в	5	4
258	о достоевском	12	4
259	и одновременно	5	4
260	превращается в	4	4
261	тем что	5	4
262	него в	2	4
263	и наконец	5	4
264	он ни	2	4
265	и есть	6	4
266	героев и	7	4
267	его и	4	4
268	по крайней	3	4
269	в отличие	3	4
270	с самого	3	4
271	и более	2	4
