N	2gram	Kanaev_Sov	formyVre
1	и в	7	148
2	в этом	7	73
3	в нем	3	51
4	прежде всего	5	46
5	и не	6	37
6	в его	2	36
7	то же	3	32
8	не только	4	32
9	но в	3	31
10	жизни и	4	31
11	может быть	12	27
12	не в	3	26
13	как мы	2	26
14	как и	6	25
15	как бы	4	25
16	точки зрения	12	24
17	времени и	2	23
18	в том	4	22
19	все эти	5	21
20	у него	2	18
21	и все	3	18
22	еще не	3	18
23	таким образом	11	18
24	с этим	2	17
25	при этом	3	17
26	так как	4	17
27	все же	3	16
28	и во	2	16
29	не может	17	16
30	в условиях	5	16
31	так сказать	2	15
32	в дальнейшем	4	15
33	в одном	3	15
34	с точки	5	15
35	вместе с	4	15
36	все это	3	14
37	в конце	3	14
38	а не	3	14
39	роль в	2	13
40	а в	4	13
41	с другом	2	13
42	друг с	2	13
43	в самом	2	13
44	ничего не	6	12
45	отнюдь не	3	12
46	и наконец	5	12
47	что в	2	12
48	из них	4	11
49	уже в	3	11
50	тот же	2	10
51	уже не	2	10
52	могут быть	2	9
53	на этой	3	9
54	и даже	2	9
55	но все	2	9
56	их в	4	9
57	это не	4	8
58	или иной	2	8
59	и потому	3	8
60	в целом	4	8
61	во всяком	2	8
62	в результате	6	8
63	и по	2	8
64	со всеми	2	8
65	с одной	2	8
66	значение в	2	8
67	и к	3	8
68	в некоторых	2	8
69	в себе	3	7
70	отличие от	2	7
71	между собой	3	7
72	было бы	3	7
73	из этих	2	7
74	в которой	2	7
75	в отличие	2	7
76	еще более	2	7
77	не могут	2	6
78	мы видим	2	6
79	мы не	9	6
80	мы можем	6	6
81	нет и	4	6
82	в таком	2	6
83	с помощью	4	6
84	он должен	2	5
85	и пространства	2	5
86	что все	2	5
87	в этой	3	5
88	и они	2	5
89	он может	3	5
90	той же	2	5
91	мы должны	4	4
92	и т.д	3	4
93	как он	3	4
94	в один	2	4
95	на его	2	4
96	быть и	2	4
97	у нас	3	4
98	всяком случае	2	4
99	же самое	2	4
100	в нашем	2	4
101	вопрос о	4	3
102	но мы	3	3
103	а на	2	3
104	не будем	2	3
105	форма в	2	3
106	точку зрения	4	3
107	самого начала	3	3
108	для развития	2	3
109	в зависимости	4	3
110	на этом	2	3
111	конечно в	2	3
112	с самого	3	3
113	одна из	3	3
114	необходимо отметить	2	3
115	зависимости от	4	3
116	тот или	2	3
117	совершенно не	2	3
118	если мы	4	3
119	в свою	2	3
120	которой он	2	3
121	у всех	3	3
122	и есть	2	3
123	тем же	2	3
124	о жизни	2	2
125	в каждом	8	2
126	свою очередь	2	2
127	в наших	3	2
128	ведь это	3	2
129	самом деле	2	2
130	же мы	2	2
131	может иметь	2	2
132	с необходимостью	3	2
133	такие же	2	2
134	можно назвать	2	2
135	и пр	2	2
136	на котором	2	2
137	из одного	2	2
138	только один	2	2
139	его развития	3	2
140	мы видели	4	2
141	когда мы	3	2
142	то и	2	2
143	ее на	2	2
144	этой стадии	2	2
145	отличается от	3	2
146	для нас	3	2
147	не можем	7	2
148	этим мы	3	2
149	но очень	2	2
150	говорить о	2	2
151	если же	2	2
152	ясно что	3	2
