N	3gram	Vinokur_Vv	Russkaja
1	то же время	6	10
2	в то же	6	10
3	с точки зрения	4	9
4	в том что	15	7
5	для того чтобы	22	6
6	во всяком случае	5	6
7	до сих пор	7	5
8	а между тем	2	5
9	не может быть	10	4
10	вместе с тем	3	3
11	в этом случае	6	3
12	в конце концов	2	3
13	в данном случае	4	3
14	той или иной	3	3
15	и то что	3	3
16	можно было бы	4	3
17	не могут не	2	2
18	точно так же	2	2
19	и в том	4	2
20	чтобы понять что	3	2
21	только в том	2	2
22	в значительной мере	2	2
23	о том что	13	2
24	сама по себе	3	2
