N	3gram	Potebnia_M	formyVre
1	и т п	7	32
2	то же время	8	21
3	в то же	8	18
4	с точки зрения	2	15
5	для того чтобы	5	12
6	но и в	4	12
7	не только в	4	11
8	до сих пор	4	10
9	одного и того	2	9
10	и того же	2	9
11	в большинстве случаев	2	8
12	в этом отношении	2	7
13	и т д	5	7
14	не может быть	7	7
15	с одной стороны	4	6
16	друг от друга	2	6
17	в том же	2	6
18	одно и то	7	5
19	и то же	7	5
20	в том что	22	5
21	как и в	3	5
22	в то время	7	5
23	то есть не	4	5
24	то время как	3	4
25	в этом случае	2	4
26	с другой стороны	4	4
27	во всяком случае	3	4
28	по отношению к	10	4
29	равно как и	2	4
30	все то что	2	3
31	то же самое	3	3
32	и как бы	2	3
33	о том что	5	3
34	так и в	2	3
35	вместе с тем	5	3
36	как бы ни	4	3
37	может быть только	4	3
38	сами по себе	3	3
39	и та же	2	2
40	вместе с этим	4	2
41	со всех сторон	3	2
42	не было бы	2	2
43	к тому что	3	2
44	можно сказать что	3	2
45	что и в	4	2
46	в данном случае	3	2
47	одна и та	2	2
48	и в самом	3	2
49	в буквальном смысле	2	2
50	и проч и	2	2
51	в свою очередь	6	2
