N	2gram	Voloshinov	Stilisti
1	и в	28	42
2	как бы	19	30
3	не только	10	28
4	и т.п	4	25
5	прежде всего	26	22
6	хотя бы	7	18
7	внутренней речи	5	18
8	то же	12	16
9	но и	10	16
10	и не	34	14
11	социального общения	3	14
12	не может	30	13
13	может быть	28	13
14	как и	13	12
15	точки зрения	31	11
16	что мы	3	11
17	мы уже	10	11
18	в себе	7	10
19	и как	3	10
20	отнюдь не	5	10
21	мы должны	9	10
22	в этом	28	10
23	как мы	18	10
24	в то	7	9
25	для того	6	9
26	все же	8	9
27	то что	17	9
28	при этом	8	9
29	мы не	9	9
30	ничего не	5	8
31	так как	15	8
32	в ней	8	8
33	что же	10	8
34	таким образом	34	8
35	с его	9	8
36	никогда не	10	7
37	другими словами	5	7
38	и от	3	7
39	в которой	5	7
40	мы можем	20	7
41	зависимости от	4	7
42	и той	3	7
43	же время	6	7
44	так и	14	7
45	потому что	4	7
46	только в	11	7
47	а не	9	7
48	и на	9	7
49	того чтобы	5	7
50	в зависимости	4	7
51	было бы	8	7
52	и его	22	7
53	той же	5	7
54	и тем	2	7
55	или иной	2	6
56	когда мы	2	6
57	и так	2	6
58	бы в	2	6
59	во всех	13	6
60	не в	10	6
61	но ведь	4	6
62	в области	4	6
63	точку зрения	12	6
64	в конце	2	6
65	или как	3	6
66	речи и	2	6
67	в нем	7	6
68	в свою	6	6
69	в процессе	5	6
70	в его	25	6
71	в этой	7	6
72	с помощью	20	6
73	и то	3	5
74	все время	4	5
75	в сознании	3	5
76	независимо от	3	5
77	и следовательно	3	5
78	в нашем	3	5
79	связанных с	4	5
80	внутренняя речь	4	5
81	мы никогда	2	5
82	мы увидим	4	5
83	слова и	4	5
84	не является	7	5
85	и наконец	12	5
86	и их	2	5
87	самом деле	14	5
88	как это	5	5
89	же мы	3	5
90	а с	2	5
91	мы видели	12	5
92	но все	2	5
93	и является	3	5
94	тому что	5	5
95	а в	8	5
96	но в	13	5
97	те же	9	5
98	в самом	12	5
99	и с	10	5
100	обратное влияние	2	5
101	уже в	3	5
102	с точки	15	5
103	же самое	2	5
104	вместе с	5	5
105	да и	2	4
106	что это	5	4
107	в одном	3	4
108	так же	4	4
109	внешней речи	5	4
110	так сказать	7	4
111	словесное выражение	2	4
112	на это	3	4
113	его в	11	4
114	на него	4	4
115	если бы	4	4
116	то или	2	4
117	свою очередь	4	4
118	у нас	3	4
