N	3gram	Ircho_Kome	Istorich
1	с другой стороны	2	46
2	до сих пор	12	30
3	в этом случае	2	29
4	с одной стороны	4	28
5	в том что	15	25
6	тем не менее	3	23
7	вместе с тем	5	23
8	но все же	3	23
9	о том что	7	22
10	мы имеем в	2	19
11	в связи с	3	17
12	после того как	3	15
13	о том как	5	15
14	по отношению к	4	14
15	в то время	3	13
16	то время как	3	13
17	т е в	2	11
18	что и в	2	10
19	более или менее	2	9
20	друг с другом	3	9
21	то же самое	3	8
22	таким образом и	2	8
23	во всяком случае	3	7
24	наряду с этим	2	7
25	что он не	3	7
26	с самого начала	5	6
27	к тому же	9	6
28	так как он	2	6
29	для того чтобы	8	5
30	в том числе	2	5
31	в отличие от	3	5
32	в этой связи	3	4
33	состоит в том	2	4
34	о том чтобы	3	4
35	с точки зрения	6	4
36	обстоит дело с	3	4
37	к себе в	2	4
38	так или иначе	3	4
39	бы то ни	3	3
40	то ни было	3	3
41	сих пор не	2	3
42	по его мнению	2	3
43	но и здесь	2	3
44	и тот же	3	3
45	одной стороны и	2	3
46	в ответ на	4	3
47	один и тот	3	3
48	по сравнению с	3	3
49	в самом деле	13	2
50	в другой раз	3	2
51	в достаточной степени	3	2
52	хотя и не	2	2
53	не мешает ему	3	2
54	и тем более	2	2
55	и сам он	2	2
56	том что она	2	2
57	то обстоятельство что	3	2
58	лет тому назад	5	2
59	по тому что	3	2
60	и т п	4	2
61	иначе обстоит дело	3	2
62	берет на себя	2	2
63	том числе и	2	2
64	в свою очередь	10	2
65	в тех же	2	2
66	обращает на себя	3	2
67	равно как и	3	2
