N	2gram	Losev_Vlad	Tvorches
1	у достоевского	2	91
2	и в	56	56
3	как бы	5	41
4	в его	18	37
5	в то	15	30
6	м м	19	26
7	то же	10	25
8	не только	35	24
9	но в	19	24
10	в году	54	24
11	же время	7	24
12	то есть	5	23
13	и его	12	23
14	и не	33	23
15	а в	20	23
16	как и	7	23
17	и т	3	22
18	в этом	30	22
19	в том	26	21
20	что в	24	21
21	том что	22	19
22	он не	13	19
23	может быть	12	19
24	потому что	16	19
25	у него	28	18
26	то что	30	18
27	что он	22	17
28	все это	7	17
29	т д	3	17
30	и на	7	17
31	таким образом	6	17
32	никогда не	15	16
33	прежде всего	5	16
34	как в	6	16
35	при этом	5	16
36	не может	12	16
37	но и	26	16
38	м с	10	16
39	в этой	4	15
40	с его	15	15
41	но это	6	15
42	и с	27	15
43	это не	3	14
44	и даже	23	14
45	там же	24	13
46	времени в	2	13
47	о том	13	13
48	а не	5	13
49	тем самым	2	12
50	в целом	3	12
51	же с	22	12
52	в котором	10	12
53	все же	11	11
54	в своей	7	11
55	для него	16	11
56	отнюдь не	3	11
57	в конце	22	10
58	не в	12	10
59	в основном	5	10
60	так и	11	10
61	уже в	9	10
62	представление о	2	10
63	но не	5	10
64	в самом	3	10
65	когда он	6	10
66	он сам	3	10
67	только в	11	10
68	как будто	2	10
69	в свою	3	9
70	в нем	7	9
71	один из	4	9
72	и от	6	9
73	жизни в	3	9
74	в своих	7	9
75	во многом	3	9
76	даже в	4	8
77	так же	4	8
78	в себе	5	8
79	в их	2	8
80	одной из	2	8
81	не менее	9	8
82	на его	7	8
83	так как	11	8
84	вовсе не	8	8
85	к этому	11	8
86	об этом	13	8
87	еще не	2	8
88	одним из	3	8
89	именно в	4	8
90	хотя и	9	8
91	вместе с	9	8
92	в чем	4	7
93	в дальнейшем	10	7
94	и он	7	7
95	что она	2	7
96	в которой	8	7
97	в этих	5	7
98	во сне	2	7
99	уже не	6	7
100	года в	9	7
101	и сам	7	7
102	его в	3	6
103	так что	13	6
104	и все	8	6
105	на эту	3	6
106	место в	2	6
107	не столько	4	6
108	все эти	6	6
109	хотя бы	5	6
110	и как	7	6
111	если бы	2	6
112	еще более	3	6
113	достоевского но	2	6
114	в момент	2	6
115	с ним	10	6
116	начиная с	3	5
117	ничего не	4	5
118	до конца	8	5
119	и у	4	5
120	но эта	2	5
121	и других	2	5
122	том же	4	5
123	как он	4	5
124	в виде	4	5
125	в своем	10	5
126	а с	5	5
127	в них	5	5
128	и это	4	5
129	что этот	4	5
130	что не	3	5
131	что и	6	5
132	мы не	2	5
133	и по	10	5
134	что они	4	5
135	в истории	4	5
136	тот же	7	5
137	что это	2	5
138	в россии	7	5
139	с этим	3	5
140	дело не	3	5
141	мысли и	5	5
142	на него	3	5
143	и другие	2	5
144	как у	3	5
145	в петербурге	10	5
146	что у	4	5
147	с другой	3	5
148	что я	5	5
149	если не	4	5
150	из них	3	5
151	я не	8	5
152	не было	12	5
153	в таком	2	5
154	но его	4	5
155	января года	6	4
156	апреля года	2	4
157	и потому	8	4
158	и через	3	4
159	не был	6	4
160	он же	2	4
161	это и	2	4
162	только на	3	4
163	в частности	4	4
164	как это	11	4
165	марта года	7	4
166	того что	6	4
167	что все	2	4
168	в в	4	4
169	к нему	6	4
170	года и	3	4
171	но только	3	4
172	он говорит	2	4
173	точки зрения	4	4
174	№ с	3	4
175	что на	2	4
176	а а	7	4
177	с ними	2	4
178	о его	7	4
179	и я	7	4
180	как известно	2	4
181	и мы	6	4
182	тут же	7	4
183	так сказать	2	4
184	дело в	7	4
185	особенно в	2	4
186	себя в	6	4
187	говорит что	4	4
188	т ii	6	4
189	известно что	2	4
190	тем что	2	4
191	на земле	2	4
192	него в	4	4
193	и наконец	2	4
194	и есть	2	4
195	с этой	4	4
196	его и	2	4
197	что его	8	4
198	не мог	10	4
199	не вполне	3	4
200	письма к	6	4
201	личности и	2	4
202	еще в	5	4
203	этой книги	3	4
204	к жизни	2	4
205	это был	5	4
206	той же	6	4
207	и тут	2	4
208	но он	7	4
209	не есть	4	3
210	его к	3	3
211	от него	3	3
212	вплоть до	4	3
213	даже не	3	3
214	бога и	3	3
215	к себе	2	3
216	оба они	3	3
217	отношение к	7	3
218	как к	4	3
219	едва ли	3	3
220	для себя	6	3
221	друг друга	3	3
222	а ф	9	3
223	году он	5	3
224	на все	3	3
225	и тем	2	3
226	со стороны	5	3
227	в области	3	3
228	но что	5	3
229	мы знаем	5	3
230	мы находим	2	3
231	не по	2	3
232	так например	3	3
233	любви к	2	3
234	из письма	3	3
235	о котором	2	3
236	как уже	2	3
