N	2gram	Voloshinov	Mirosoze
1	и в	28	97
2	может быть	28	64
3	не только	10	63
4	это –	22	56
5	в этом	28	55
6	но и	10	54
7	он не	10	53
8	а не	9	53
9	в нем	7	49
10	не может	30	49
11	у него	4	47
12	и не	34	39
13	никогда не	10	38
14	потому что	4	37
15	в ней	8	37
16	не было	5	36
17	не в	10	34
18	и есть	3	33
19	для него	12	31
20	человека в	4	30
21	не есть	2	30
22	прежде всего	26	29
23	как и	13	29
24	но в	13	27
25	в мире	2	27
26	человека и	6	26
27	к человеку	3	26
28	в своей	14	25
29	он был	3	25
30	и все	13	24
31	у нас	3	24
32	он –	5	23
33	в своем	4	23
34	что в	7	23
35	что он	12	22
36	в самом	12	21
37	в себе	7	20
38	отношение к	7	20
39	до конца	7	19
40	как бы	19	19
41	человек не	2	19
42	в его	25	18
43	и потому	12	17
44	того что	7	17
45	в том	10	16
46	том что	12	16
47	то что	17	16
48	было бы	8	16
49	и его	22	16
50	в этой	7	15
51	не знает	5	15
52	в котором	4	15
53	в конце	2	14
54	она не	6	14
55	так как	15	14
56	в глубине	2	14
57	и вот	8	13
58	друг друга	2	13
59	и на	9	13
60	это не	5	12
61	в человеке	6	12
62	и у	7	12
63	к нему	9	12
64	смысле слова	4	12
65	в них	3	12
66	все это	12	12
67	– не	12	12
68	но не	7	12
69	он сам	5	12
70	но это	4	11
71	хотя бы	7	11
72	в которой	5	11
73	только в	11	11
74	как в	4	11
75	и для	7	11
76	уже не	9	11
77	и к	7	11
78	жизни и	7	11
79	не могут	7	10
80	так же	4	10
81	это и	4	10
82	один из	10	10
83	должна быть	2	10
84	то же	12	10
85	всю жизнь	2	10
86	связана с	2	10
87	человека к	4	10
88	не имеет	2	10
89	есть и	2	9
90	бы и	2	9
91	а в	8	9
92	к тому	6	9
93	человека на	2	9
94	что и	5	9
95	и во	2	9
96	я не	4	9
97	должно быть	2	9
98	все что	10	9
99	в свою	6	9
100	с ним	14	9
101	вместе с	5	9
102	вопрос о	2	8
103	ничего не	5	8
104	в этих	5	8
105	не так	3	8
106	они не	3	8
107	жизнь в	2	8
108	того чтобы	5	8
109	в отношении	2	8
110	– говорит	5	8
111	нет в	2	8
112	с его	9	8
113	себя в	3	8
114	– все	8	8
115	за пределы	10	8
116	для того	6	8
117	нет и	4	8
118	о том	3	8
119	и с	10	8
120	уже в	3	8
121	те же	9	7
122	высшей степени	6	7
123	но если	2	7
124	должен быть	2	7
125	что все	7	7
126	он в	2	7
127	мог бы	2	7
128	точки зрения	31	7
129	себя и	4	7
130	что она	5	7
131	на этом	8	7
132	в высшей	6	7
133	жизни в	3	7
134	в жизни	7	7
135	также и	2	7
136	не существует	4	7
137	в нашем	3	7
138	если он	6	7
139	отношения к	2	7
140	чтобы не	2	6
141	его в	11	6
142	когда человек	2	6
143	личности и	4	6
144	не как	2	6
145	влечет к	2	6
146	на все	3	6
147	– в	17	6
148	гармонии и	2	6
149	увидим что	5	6
150	и она	3	6
151	в ее	5	6
152	его не	2	6
153	и те	5	6
154	совсем не	6	6
155	это есть	2	6
156	быть и	7	6
157	самого себя	2	6
158	и от	3	6
159	что это	5	6
160	к ней	4	6
161	если бы	4	6
162	не к	2	6
163	оно не	3	5
164	в то	7	5
165	человека –	7	5
166	в их	2	5
167	так и	14	5
168	все время	4	5
169	они и	2	5
170	и этот	2	5
171	от этого	2	5
172	связано с	3	5
173	в более	5	5
174	должны быть	4	5
175	сказать что	11	5
176	тот же	10	5
177	во всяком	9	5
178	в основе	6	5
179	да и	2	5
180	в мир	4	5
181	одно из	6	5
182	с этим	8	5
183	– это	29	5
184	этот процесс	4	5
185	по преимуществу	2	5
186	мысли и	4	5
187	отличается от	2	5
188	и как	3	5
189	бы в	2	5
190	мы увидим	4	5
191	для этого	6	5
192	еще не	8	5
193	его и	2	5
194	сих пор	3	5
195	на протяжении	7	5
196	думать что	2	5
197	когда он	3	5
198	до сих	3	5
199	той же	5	5
200	социальной среды	3	4
201	в силах	3	4
202	по отношению	13	4
203	и через	2	4
204	к себе	3	4
205	от того	5	4
206	как к	2	4
207	конце концов	2	4
208	он должен	2	4
209	не всегда	4	4
210	в момент	2	4
211	в такой	2	4
212	а с	2	4
213	по своему	4	4
214	в чем	9	4
215	в него	2	4
216	только с	4	4
217	тому что	5	4
218	к этой	2	4
219	и этим	3	4
220	в центре	3	4
221	и тот	3	4
222	себе и	3	4
223	могут быть	9	4
224	тогда когда	2	4
225	его отношение	2	4
226	для них	3	4
227	мы видим	3	4
228	и до	5	4
229	все эти	15	4
230	мир в	3	4
231	в истории	4	4
232	– один	4	4
233	к которой	2	4
234	его с	2	4
235	сознания и	6	4
236	и даже	3	4
237	и по	5	4
238	ни в	12	4
239	века в	2	4
240	человека как	2	4
241	и их	2	4
242	и только	6	4
243	мы не	9	4
244	отношению к	11	4
245	человек может	2	4
246	нас в	2	4
247	еще более	2	4
248	в эпоху	3	4
249	в своих	5	4
250	и что	6	4
251	будто бы	2	4
252	в свой	3	3
253	к его	3	3
254	знает только	2	3
255	к этим	2	3
256	остается в	3	3
257	и сама	2	3
258	в состоянии	2	3
259	и поэтому	2	3
260	не остается	3	3
261	сознание и	5	3
262	человек на	3	3
263	для себя	2	3
264	одним из	3	3
265	и тем	2	3
266	все же	8	3
267	идеи и	2	3
268	одной и	3	3
269	можно ли	3	3
270	мы должны	9	3
271	это уже	3	3
272	все его	3	3
273	что же	10	3
274	между тем	3	3
275	в виду	4	3
276	что оно	4	3
277	же он	2	3
278	и та	2	3
279	же как	2	3
280	ли он	2	3
281	с таким	2	3
282	и то	3	3
283	из этой	2	3
284	в душе	13	3
285	к этому	9	3
286	конечно не	10	3
287	об этом	7	3
288	в этот	4	3
289	находится в	3	3
290	как не	3	3
291	и той	3	3
292	я и	7	3
293	и самое	2	3
294	превращается в	2	3
295	от всех	3	3
296	есть та	2	3
297	но ведь	4	3
298	для нас	2	3
299	со всеми	5	3
300	чем не	5	3
301	из него	3	3
302	в пределах	6	3
303	во всех	13	3
304	и религия	2	3
305	на этот	3	3
306	– к	3	3
307	в самых	3	3
308	выходит за	2	3
309	на почве	3	3
310	о себе	4	3
311	входит в	2	3
312	но для	3	3
313	приводит к	3	3
314	жизни а	2	3
315	в одном	3	3
316	всяком случае	8	3
317	роль в	7	3
318	но когда	2	3
319	каждого человека	2	3
320	он хотел	3	3
321	и за	4	3
322	учение о	6	3
323	душевной жизни	8	2
324	на самом	6	2
325	в каком	7	2
326	как ее	2	2
327	к личности	2	2
328	я –	2	2
329	или иной	2	2
330	его к	4	2
331	тому чтобы	3	2
332	и об	2	2
333	– очень	2	2
334	нисколько не	4	2
335	жизни к	3	2
336	есть только	3	2
337	он выводит	2	2
338	– и	7	2
339	для восприятия	2	2
340	для сознания	2	2
341	пишет он	2	2
342	этого не	3	2
343	а как	3	2
344	– есть	2	2
345	другого человека	2	2
346	были в	2	2
347	такого рода	2	2
348	к своему	2	2
349	истории –	2	2
350	самом деле	14	2
351	– с	7	2
352	сознание не	2	2
353	– как	6	2
354	о нем	2	2
355	не менее	6	2
356	того же	3	2
357	весь мир	2	2
358	могли бы	2	2
359	большую роль	2	2
360	личности не	2	2
361	а потому	4	2
362	и сам	3	2
363	этот мотив	3	2
364	я старался	2	2
365	между ними	5	2
366	любви в	2	2
367	вражда к	3	2
368	связаны с	2	2
369	и ее	7	2
370	во время	6	2
371	во всей	3	2
372	и они	2	2
373	как для	2	2
374	правда в	2	2
375	– лишь	3	2
376	их в	3	2
377	между двумя	3	2
378	до последнего	2	2
379	относится к	2	2
380	на всю	2	2
381	о своих	3	2
382	с которыми	4	2
383	в прошлом	2	2
384	когда мы	2	2
385	бы он	3	2
386	то в	2	2
387	протяжении всей	6	2
388	к учению	2	2
389	другой –	3	2
390	с их	5	2
391	это было	2	2
392	также в	2	2
393	этом отношении	4	2
394	и часто	2	2
395	потому и	5	2
396	в глаза	2	2
397	чтобы получить	2	2
398	мира в	2	2
399	и мысли	2	2
400	находятся в	2	2
401	сознания в	3	2
402	жизни то	2	2
403	только для	2	2
404	ее в	5	2
405	можно сделать	2	2
406	смысл и	2	2
407	и о	6	2
408	в какой	3	2
409	но нет	2	2
410	у других	2	2
411	– на	2	2
412	человека с	3	2
413	– одно	2	2
414	так называемый	4	2
415	вообще не	2	2
416	с другой	2	2
417	их не	2	2
418	ни один	3	2
419	что такое	6	2
420	освободиться от	3	2
421	– его	4	2
422	которой он	3	2
423	во втором	3	2
424	он и	2	2
425	что мы	3	2
426	по себе	4	2
427	ко всему	2	2
428	же что	2	2
429	к матери	13	2
430	сознание –	3	2
431	– пишет	3	2
432	сам по	4	2
433	и уже	2	2
434	в первых	2	2
435	у самого	2	2
436	одного только	2	2
