N	3gram	Potebnia_M	Narrotol
1	в том что	22	18
2	в данном случае	3	17
3	не только в	4	13
4	по отношению к	10	11
5	о том что	5	9
6	в то же	8	8
7	тем не менее	7	8
8	в этом отношении	2	8
9	то же время	8	8
10	не может быть	7	8
11	можно сказать что	3	6
12	с одной стороны	4	6
13	на самом деле	4	5
14	подобно тому как	3	5
15	для того чтобы	5	5
16	но и в	4	5
17	в свою очередь	6	5
18	к тому что	3	4
19	во всяком случае	3	4
20	то же самое	3	3
21	в первом случае	2	3
22	тогда как в	2	3
23	в том как	3	3
24	с точки зрения	2	3
25	заключает в себе	10	3
26	до сих пор	4	3
27	на то что	3	3
28	а в том	5	3
29	и то что	3	3
30	одно и то	7	2
31	все то что	2	2
32	и то же	7	2
33	не только не	4	2
34	в таком случае	2	2
35	в этом последнем	2	2
36	более или менее	6	2
37	не в том	6	2
38	одного и того	2	2
39	в том смысле	6	2
40	и т п	7	2
41	только потому что	5	2
42	может быть не	2	2
43	и того же	2	2
44	а между тем	6	2
45	сами по себе	3	2
46	что одно и	2	2
47	именно то что	2	2
