N	2gram	Tiupa_Teor	VLabPisa
1	таким образом	3	32
2	в этом	12	29
3	не только	24	26
4	и в	24	26
5	может быть	22	23
6	творческого воображения	3	21
7	и не	17	20
8	художественного творчества	5	19
9	не может	8	17
10	в том	20	15
11	в его	12	15
12	в силу	4	14
13	прежде всего	3	13
14	все это	2	13
15	в частности	23	12
16	как это	10	12
17	в качестве	33	12
18	что в	10	11
19	с другой	9	11
20	то же	12	10
21	не могут	2	10
22	но и	14	10
23	и др	3	10
24	о том	2	10
25	в художественном	5	10
26	об этом	2	9
27	для него	5	9
28	в своем	7	8
29	том что	11	8
30	не следует	4	8
31	говорит и	3	8
32	могут быть	5	8
33	другой стороны	6	8
34	все эти	3	8
35	только в	9	8
36	вместе с	2	8
37	это не	4	7
38	из этих	3	7
39	во всех	3	7
40	по отношению	10	7
41	художественное произведение	3	7
42	в году	2	7
43	то что	6	7
44	отношению к	10	7
45	тому что	2	7
46	как и	6	7
47	их в	3	7
48	в нем	7	7
49	в конечном	6	7
50	а не	14	7
51	не в	9	6
52	в то	9	6
53	в себе	14	6
54	художественного произведения	5	6
55	или менее	6	6
56	в порядке	3	6
57	это и	2	6
58	у него	2	6
59	в искусстве	9	6
60	так и	14	6
61	более или	6	6
62	приводит к	6	6
63	один из	2	6
64	и его	11	6
65	между тем	5	6
66	никогда не	4	5
67	даже в	3	5
68	сказать что	4	5
69	в одном	3	5
70	конечном счете	6	5
71	перед нами	3	5
72	как говорит	3	5
73	в пределах	5	5
74	в их	4	5
75	не является	5	5
76	одним из	3	5
77	к тому	4	5
78	как бы	8	5
79	в них	2	5
80	в целом	4	5
81	связи с	3	5
82	же время	8	5
83	на основе	2	5
84	и ее	4	4
85	роль в	3	4
86	в виду	5	4
87	ее в	2	4
88	что он	4	4
89	в романе	3	4
90	должен быть	2	4
91	отнюдь не	3	4
92	в самом	7	4
93	как раз	3	4
94	в ее	6	4
95	с ними	2	4
96	в своей	8	4
97	в связи	3	4
98	можно сказать	5	4
99	в этой	3	4
100	с его	6	4
101	например в	3	3
102	говорит в	2	3
103	и к	3	3
104	мы имеем	7	3
105	так же	2	3
106	но как	2	3
107	вслед за	3	3
108	в форме	4	3
109	в значительной	2	3
110	в конце	2	3
111	его в	4	3
112	и как	3	3
113	тому как	3	3
114	если бы	3	3
115	это делает	2	3
116	подобно тому	3	3
117	а всего	3	3
118	для того	5	3
119	у нас	2	3
120	говоря иначе	2	3
121	при всем	2	3
122	того что	5	3
123	далеко не	4	3
124	а в	15	3
125	всего лишь	8	3
126	именно в	3	3
127	точки зрения	11	3
128	мира и	4	3
129	между ними	6	3
130	человека и	2	3
131	того чтобы	5	3
132	что и	2	3
133	сводится к	12	3
134	и по	3	3
135	или в	3	3
136	что они	2	3
137	в слове	4	3
138	вовсе не	3	3
139	в противоположность	3	3
140	если в	2	2
141	чтобы не	2	2
142	на время	2	2
143	в воображении	4	2
144	или иной	7	2
145	и потому	3	2
146	того или	6	2
147	еще и	2	2
148	слова не	2	2
149	с другими	6	2
150	о чем	3	2
151	одной стороны	3	2
152	автора как	2	2
153	при всей	2	2
154	что она	2	2
155	о своем	2	2
156	отличается от	2	2
157	в другом	4	2
158	и даже	2	2
159	в стихотворении	4	2
160	не всегда	2	2
161	в области	7	2
162	по слову	2	2
163	еще не	6	2
164	в которой	3	2
165	а для	2	2
166	в чем	2	2
167	с одной	3	2
168	заключается в	2	2
169	не с	3	2
170	одной из	2	2
171	в жизни	3	2
172	но не	13	2
173	и для	3	2
174	искусства и	3	2
175	не менее	6	2
176	но в	12	2
177	что такое	2	2
178	даже самая	2	2
179	не вполне	2	2
180	на вопрос	2	2
181	к его	3	2
182	этой точки	2	2
183	на этом	2	2
184	из которых	2	2
185	художественной деятельности	17	2
186	он и	2	2
187	не столько	7	2
188	только не	3	2
189	по себе	2	2
190	и некоторые	2	2
191	а затем	2	2
192	о его	2	2
193	числе и	2	2
194	в противном	2	2
195	говорить о	4	2
196	только о	2	2
197	он не	5	2
198	и сам	4	2
199	во всей	3	2
200	анны карениной	2	2
201	который в	2	2
202	хотя и	4	2
203	лишь в	10	2
204	том числе	3	2
205	как способность	2	2
206	противном случае	2	2
207	в системе	2	2
