N	2gram	Losev_Prob	Narrotol
1	не только	28	62
2	и не	29	50
3	при этом	6	47
4	но и	21	45
5	а не	7	38
6	в качестве	9	35
7	в частности	5	31
8	может быть	11	30
9	и в	48	30
10	в том	25	29
11	том что	29	28
12	в этом	31	28
13	а в	8	27
14	такого рода	4	26
15	только в	21	25
16	в данном	6	24
17	как и	10	24
18	не в	16	23
19	то что	26	23
20	то есть	38	22
21	не может	6	20
22	в рассказе	2	18
23	данном случае	5	17
24	в себе	7	17
25	так и	15	17
26	а также	8	17
27	в его	19	16
28	но в	17	15
29	можно сказать	10	15
30	к тому	7	15
31	в жизни	4	14
32	и его	11	14
33	в своем	16	13
34	в своей	29	13
35	то же	6	13
36	у него	13	13
37	о том	17	13
38	уже не	12	13
39	перед нами	14	12
40	все же	12	12
41	прежде всего	15	12
42	как в	3	12
43	как бы	10	12
44	тем самым	2	11
45	по отношению	2	11
46	и тем	4	11
47	об этом	11	11
48	в нем	8	11
49	в этой	14	11
50	если бы	2	11
51	жизни в	7	11
52	отношению к	2	11
53	хотя и	10	11
54	никогда не	7	10
55	в то	6	10
56	ничего не	3	10
57	как это	5	10
58	один из	2	10
59	точки зрения	17	10
60	того что	8	10
61	не является	2	10
62	и все	12	10
63	но не	12	10
64	жизни и	7	10
65	тому же	5	10
66	между тем	2	10
67	с его	3	10
68	еще не	4	9
69	что он	12	9
70	что в	12	9
71	отнюдь не	14	9
72	тем не	8	9
73	той или	5	9
74	для него	2	9
75	далеко не	6	9
76	я в	4	9
77	потому что	21	9
78	с ним	4	9
79	как раз	7	9
80	или иной	4	8
81	о чем	2	8
82	самом деле	3	8
83	не менее	8	8
84	того чтобы	3	8
85	мы имеем	3	8
86	и он	5	8
87	мира в	3	8
88	этом отношении	4	8
89	по мысли	4	8
90	у нас	17	8
91	в литературе	5	8
92	и для	11	8
93	в самом	7	8
94	и к	9	8
95	внимание на	4	8
96	в той	5	8
97	в таком	4	8
98	он не	4	8
99	не мог	5	8
100	в свою	4	7
101	это не	8	7
102	вслед за	2	7
103	в конце	10	7
104	едва ли	13	7
105	в чем	3	7
106	в ней	4	7
107	на себя	2	7
108	в ее	6	7
109	человеческого я	4	7
110	же в	4	7
111	в силу	6	7
112	также и	21	7
113	с другой	8	7
114	в котором	5	7
115	и на	9	7
116	или в	7	7
117	одной стороны	5	6
118	вплоть до	2	6
119	в сознании	3	6
120	они не	3	6
121	во втором	2	6
122	однако в	4	6
123	в известном	2	6
124	что и	8	6
125	сказать что	13	6
126	никак не	10	6
127	то в	4	6
128	то и	7	6
129	из этих	2	6
130	здесь не	12	6
131	в результате	11	6
132	на него	3	6
133	с одной	5	6
134	что у	6	6
135	в нашем	5	6
136	на то	2	6
137	к его	5	6
138	все что	2	6
139	таким образом	20	6
140	на самом	2	5
141	том как	2	5
142	в другом	6	5
143	и у	8	5
144	не всегда	5	5
145	а именно	12	5
146	и о	9	5
147	о котором	4	5
148	к нему	3	5
149	свидетельствует о	4	5
150	мира и	5	5
151	человеческой жизни	5	5
152	было бы	12	5
153	мы не	7	5
154	свою очередь	2	5
155	я не	3	5
156	да и	5	5
157	и то	6	5
158	по поводу	2	5
159	и от	7	5
160	что это	4	5
161	в начале	6	5
162	тем более	2	5
163	и даже	24	5
164	только что	2	5
165	для того	4	5
166	в какой	5	5
167	именно в	11	5
168	в своих	3	5
169	в русской	4	5
170	но для	2	5
171	если не	6	5
172	еще в	6	5
173	из них	4	5
174	в одном	6	5
175	не было	4	5
176	он сам	3	5
177	и уже	2	5
178	и сам	5	5
179	как будто	9	5
180	начала и	2	5
181	даже в	2	4
182	не о	2	4
183	и ее	2	4
184	но именно	2	4
185	в виду	3	4
186	как он	2	4
187	в области	3	4
188	только на	2	4
189	по своему	3	4
190	в них	5	4
191	тому что	2	4
192	это уже	4	4
193	а то	2	4
194	ему в	3	4
195	не будет	4	4
196	что касается	5	4
197	не все	3	4
198	и по	2	4
199	что они	4	4
200	который в	10	4
201	как мы	5	4
202	хотя бы	11	4
203	к этому	2	4
204	это было	2	4
205	к ней	2	4
206	и как	10	4
207	не имеет	3	4
208	человека в	3	4
209	то у	2	4
210	со всеми	5	4
211	ли не	2	4
212	для себя	6	4
213	раз в	2	4
214	не вполне	2	4
215	и притом	8	4
216	и с	10	4
217	для нас	14	4
218	по себе	5	4
219	мог бы	2	4
220	несмотря на	7	4
221	всяком случае	6	4
222	по своей	3	4
223	во всяком	7	4
224	или даже	4	4
225	нового времени	4	4
226	не к	3	4
227	в обоих	2	4
228	вместе с	15	4
229	еще и	6	3
230	до конца	4	3
231	и потому	4	3
232	так же	7	3
233	но как	3	3
234	и сама	4	3
235	а потом	4	3
236	должен быть	2	3
237	с этой	4	3
238	подобного рода	9	3
239	а как	2	3
240	за ними	2	3
241	в виде	25	3
242	этого не	2	3
243	в романе	2	3
244	а его	5	3
245	его не	3	3
246	а с	4	3
247	здесь мы	2	3
248	одно из	2	3
249	одной из	5	3
250	к ним	3	3
251	и это	3	3
252	участие в	2	3
253	ли в	2	3
254	видит в	3	3
255	же не	4	3
256	точно так	4	3
257	что не	3	3
258	все эти	12	3
259	и самого	3	3
260	связи с	11	3
261	и тогда	4	3
262	в связи	11	3
263	и т	2	3
264	или иного	2	3
265	все время	5	3
266	того или	3	3
267	но это	7	3
268	можно было	4	3
269	в первой	2	3
270	о своем	2	3
271	дело в	4	3
272	на одном	2	3
273	что она	2	3
274	в которой	7	3
275	даже если	2	3
276	бы не	4	3
277	должен был	2	3
278	в этих	3	3
279	сих пор	3	3
280	всей своей	2	3
281	в роли	2	3
282	о себе	3	3
283	могли бы	2	3
284	он и	5	3
285	что мы	4	3
286	с точки	13	3
287	говорит о	9	3
288	и что	9	3
289	не просто	12	3
290	но еще	2	3
291	по его	2	3
292	она в	2	3
293	и только	4	3
294	что именно	2	3
295	же самое	2	3
296	на фоне	2	3
297	и после	4	3
298	наряду с	2	3
299	тем же	4	3
300	но он	5	3
301	до сих	3	3
302	бы с	2	2
303	видя в	2	2
304	в каждой	2	2
305	добра и	2	2
306	сливаются в	2	2
307	как именно	5	2
308	в это	3	2
309	всю свою	4	2
310	как показывает	2	2
311	в их	4	2
312	так называемая	2	2
313	иным как	3	2
314	это все	2	2
315	к своему	3	2
316	так что	18	2
317	простой и	2	2
318	людей и	13	2
319	никому не	2	2
320	они и	2	2
321	любви и	4	2
322	указывает на	4	2
323	он говорит	2	2
324	жизнь в	3	2
325	солнца и	5	2
326	теперь уже	3	2
327	не входит	2	2
328	могут быть	2	2
329	однако на	2	2
330	жизни это	2	2
331	в году	9	2
332	мы его	3	2
333	можно ли	2	2
334	мере в	4	2
335	для них	3	2
336	ли он	2	2
337	можно назвать	2	2
338	и во	2	2
339	но о	2	2
340	людей а	2	2
