N	2gram	Bakhtin_Pr	Poddanst
1	не только	9	17
2	и в	38	14
3	и не	42	12
4	в области	11	11
5	в этом	15	10
6	но в	4	9
7	то же	5	9
8	в том	8	9
9	хотя бы	4	8
10	в пределах	6	8
11	в то	4	7
12	только в	13	7
13	же время	3	7
14	но и	9	6
15	было бы	8	6
16	в ней	4	6
17	с другой	7	5
18	не в	7	5
19	и о	5	5
20	и пр	2	5
21	может быть	26	5
22	что в	7	4
23	если бы	3	4
24	и потому	4	4
25	в своем	5	4
26	том что	3	4
27	мы должны	2	4
28	в котором	2	4
29	и к	3	4
30	как бы	22	4
31	то что	8	4
32	не может	27	4
33	а в	6	4
34	и как	8	3
35	но не	12	3
36	тем самым	4	3
37	это не	5	3
38	с точки	6	3
39	в россии	2	3
40	столь же	2	3
41	для того	2	3
42	в себе	4	3
43	точки зрения	8	3
44	одной стороны	3	3
45	в нем	15	3
46	между тем	7	3
47	могут быть	5	3
48	прежде всего	13	3
49	и т	14	3
50	хотя и	3	3
51	с одной	3	3
52	с ними	4	3
53	должно быть	5	2
54	да и	3	2
55	в них	5	2
56	в мире	3	2
57	одна из	2	2
58	есть не	2	2
59	отношения к	6	2
60	не к	6	2
61	и это	3	2
62	творчества и	5	2
63	слова но	3	2
64	которую мы	3	2
65	помнить что	3	2
66	и тем	3	2
67	и других	2	2
68	в его	43	2
69	не менее	4	2
70	говорить о	3	2
71	в начале	2	2
72	в виде	2	2
73	все это	3	2
74	в частности	2	2
75	а не	5	2
76	не было	2	2
77	и есть	2	2
78	например в	3	2
79	из важнейших	3	2
80	и с	17	2
81	может и	4	2
82	не будем	3	2
83	во всех	11	2
84	в ее	4	2
85	не нужно	5	2
86	при посредстве	2	2
87	к чему	2	2
88	в значительной	2	2
89	того что	2	2
90	отнюдь не	19	2
