N	2gram	Potebnia_M	RusskieA
1	и в	58	79
2	в том	38	64
3	том что	21	59
4	что в	34	57
5	не только	32	41
6	во время	5	38
7	так как	29	34
8	в этом	18	33
9	как бы	12	31
10	но и	26	31
11	в других	6	30
12	как и	16	28
13	может быть	47	28
14	и на	8	28
15	одна из	4	24
16	и т	10	23
17	о том	6	23
18	с в	5	23
19	при этом	17	22
20	т д	6	21
21	это не	10	20
22	как мы	3	20
23	а в	11	20
24	там же	9	20
25	из них	2	19
26	все это	3	18
27	с тем	9	17
28	потому что	89	17
29	показывает что	3	17
30	то что	24	17
31	таким образом	21	17
32	вместе с	12	17
33	мы не	17	16
34	во многих	5	16
35	один из	2	15
36	у нас	3	14
37	мы видели	5	14
38	для нас	29	14
39	не менее	10	14
40	в них	7	14
41	тем не	11	14
42	и не	34	14
43	и с	3	14
44	и что	13	14
45	так что	23	13
46	и по	8	13
47	к этому	3	13
48	не может	30	13
49	еще не	9	13
50	как в	18	13
51	уже не	4	13
52	в которых	2	13
53	в некоторых	4	13
54	тем что	15	12
55	полагает что	3	12
56	что на	9	11
57	а на	2	11
58	но это	7	11
59	мы увидим	3	11
60	не имеет	9	11
61	далеко не	4	11
62	его в	3	10
63	и других	6	10
64	так и	17	10
65	так например	5	10
66	между тем	7	10
67	все же	11	10
68	что и	16	10
69	в течение	2	10
70	или в	4	10
71	том же	3	9
72	но в	12	9
73	и все	6	9
74	что они	6	9
75	того как	12	9
76	то же	13	9
77	в г	2	9
78	но не	19	9
79	видно что	2	9
80	так же	7	8
81	после этого	2	8
82	того что	15	8
83	одно из	5	8
84	того чтобы	4	8
85	их в	2	8
86	же в	7	8
87	связи с	6	8
88	что это	5	8
89	как например	4	8
90	не все	3	8
91	во всех	12	8
92	подобно тому	7	8
93	для того	8	8
94	в этих	10	8
95	что по	3	8
96	тому как	8	8
97	в своем	3	7
98	мы должны	4	7
99	а и	5	7
100	ничего не	2	7
101	начиная с	2	7
102	не в	23	7
103	главным образом	4	7
104	к нему	2	7
105	по этому	2	7
106	животных и	2	7
107	было бы	21	7
108	для этого	2	7
109	из этих	8	7
110	и как	11	7
111	не можем	5	7
112	не совсем	3	7
113	только в	36	7
114	связанные с	3	7
115	как будто	2	7
116	а не	38	7
117	в этой	3	6
118	должны были	2	6
119	и их	6	6
120	и у	3	6
121	друг друга	6	6
122	на этом	3	6
123	в их	3	6
124	не всегда	2	6
125	только на	4	6
126	тому что	4	6
127	она не	3	6
128	к тому	5	6
129	в нем	26	6
130	так в	4	6
131	с ними	2	6
132	все эти	3	6
133	чем в	2	6
134	многих случаях	2	6
135	но она	3	6
136	в одном	13	6
137	выше мы	2	6
138	что она	3	6
139	эти представления	2	6
140	и о	3	6
141	после того	3	6
142	и более	3	6
143	на нее	2	6
144	видели что	2	6
145	в разные	2	6
146	в таком	7	6
147	на самом	2	5
148	вопрос о	5	5
149	и потому	7	5
150	но если	4	5
151	или же	7	5
152	тогда когда	15	5
153	что он	5	5
154	прежде всего	8	5
155	в разных	2	5
156	к ним	3	5
157	в свою	8	5
158	с этим	11	5
159	заметить что	7	5
160	в то	6	5
161	в народе	2	5
162	в целом	3	5
163	для них	2	5
164	тогда как	10	5
165	в связи	2	5
166	там где	8	5
167	не было	7	5
168	например в	4	5
169	тот же	5	5
170	в его	7	5
171	по поводу	7	5
172	то и	15	5
173	его с	3	5
174	только для	7	5
175	ничего общего	3	5
176	не с	2	5
177	и для	8	5
178	с другой	13	5
179	то на	4	5
180	или даже	3	5
181	с ним	7	5
182	связь между	2	5
183	к таким	2	5
184	в таких	2	4
185	если в	3	4
186	иное как	2	4
187	не что	2	4
188	влияние на	4	4
189	и при	6	4
190	на две	2	4
191	таким же	3	4
192	только тогда	7	4
193	от них	2	4
194	но эти	4	4
195	или по	2	4
196	не столько	3	4
197	могут быть	17	4
198	нет но	4	4
199	и тогда	2	4
200	не на	3	4
201	этого слова	5	4
202	во всяком	9	4
203	и от	5	4
204	по всей	2	4
205	к ней	3	4
206	несмотря на	5	4
207	за ним	2	4
208	что иное	2	4
209	такой же	4	4
210	но все	4	4
211	переход от	2	4
212	что у	2	4
213	их не	2	4
214	что для	5	4
215	именно в	2	4
216	в котором	5	4
217	в своих	4	4
218	этот вопрос	2	4
219	уже в	5	4
220	в ней	9	4
221	всяком случае	7	4
222	вряд ли	2	4
223	то время	3	4
224	во всем	5	4
225	но он	3	4
226	никогда не	7	3
227	чтобы не	3	3
228	всех этих	2	3
229	очевидно что	5	3
230	его к	3	3
231	том как	6	3
232	в одной	2	3
233	и поэтому	2	3
234	то есть	69	3
235	не во	3	3
236	в виду	2	3
237	только по	5	3
238	на все	5	3
239	как он	5	3
240	в одно	5	3
241	или менее	6	3
242	и другое	7	3
243	мы знаем	2	3
