N	2gram	Medvedev_V	Literetu
1	а не	7	50
2	и не	20	47
3	не только	26	46
4	и в	26	44
5	может быть	23	43
6	но и	10	41
7	в том	15	39
8	в этом	29	38
9	том что	8	32
10	в частности	12	30
11	то что	7	29
12	в качестве	12	27
13	в году	7	26
14	то же	10	26
15	как и	7	23
16	в то	6	23
17	в стихотворении	2	23
18	не в	6	22
19	так и	6	22
20	того что	3	22
21	не может	17	22
22	же время	5	21
23	в себе	6	20
24	прежде всего	13	19
25	как бы	5	18
26	точки зрения	3	17
27	в его	15	17
28	с другой	11	17
29	в этой	4	16
30	в жизни	2	16
31	не менее	2	15
32	в целом	5	15
33	в стихах	2	15
34	только в	8	15
35	по отношению	7	14
36	что он	4	14
37	и даже	2	14
38	в своем	8	13
39	как это	12	13
40	с одной	2	13
41	но не	2	13
42	и его	6	13
43	всего лишь	3	12
44	в своей	4	12
45	еще не	2	12
46	одним из	5	12
47	отношению к	7	12
48	о том	10	12
49	одной стороны	2	12
50	никогда не	5	11
51	это не	7	11
52	в другом	2	11
53	с его	4	11
54	и сам	2	11
55	не столько	2	11
56	а в	3	11
57	в конечном	7	11
58	вместе с	8	11
59	даже в	5	10
60	этом отношении	14	10
61	в области	2	10
62	что в	11	10
63	отнюдь не	4	10
64	в ее	4	10
65	конечном счете	5	10
66	из них	11	10
67	жизни и	3	10
68	к тому	5	9
69	один из	6	9
70	же в	7	9
71	связи с	5	9
72	лишь в	2	9
73	искусства и	2	9
74	художественной деятельности	2	9
75	вплоть до	2	8
76	одна из	4	8
77	в конце	3	8
78	ли не	2	8
79	все же	6	8
80	в искусстве	6	8
81	по существу	4	8
82	но в	2	8
83	что не	3	8
84	для него	9	8
85	и как	3	8
86	в своих	2	8
87	как раз	4	8
88	художественного творчества	19	8
89	в их	5	7
90	в художественном	10	7
91	другой стороны	8	7
92	в противоположность	3	7
93	и для	2	7
94	человека в	2	7
95	у нас	3	7
96	именно в	3	7
97	в самом	4	7
98	в одном	5	7
99	он и	2	7
100	тому как	3	7
101	в нем	7	7
102	он не	2	7
103	в сфере	2	7
104	еще и	2	6
105	его в	3	6
106	при всей	2	6
107	в виду	4	6
108	и он	3	6
109	и др	10	6
110	а затем	2	6
111	при всем	3	6
112	было бы	8	6
113	не было	7	6
114	например в	3	6
115	во всех	7	6
116	в каждом	2	6
117	и наконец	2	6
118	как о	3	6
119	далеко не	3	6
120	подобно тому	3	6
121	в ней	2	6
122	том числе	2	6
123	у него	6	6
124	как на	3	6
125	в слове	3	6
126	или иной	2	5
127	вслед за	3	5
128	как он	3	5
129	одном из	4	5
130	он сам	2	5
131	в романе	4	5
132	между тем	6	5
133	этой точки	2	5
134	что и	3	5
135	в связи	4	5
136	самого себя	2	5
137	хотя бы	20	5
138	должно быть	2	5
139	в силу	14	5
140	как у	2	5
141	не с	2	5
142	том чтобы	2	5
143	и к	3	5
144	но с	2	5
145	очевидно что	7	4
146	себе и	2	4
147	не является	5	4
148	только для	2	4
149	не всегда	2	4
150	с тем	4	4
151	в творческом	3	4
152	ту же	2	4
153	могут быть	8	4
154	искусство как	2	4
155	в них	5	4
156	художественное творчество	6	4
