N	3gram	Trubetskoy	Problema
1	тем не менее	3	56
2	о том что	4	39
3	в том что	3	37
4	то же самое	2	30
5	в связи с	3	29
6	той или иной	2	26
7	по крайней мере	5	26
8	во всяком случае	6	25
9	с точки зрения	6	25
10	в конце концов	3	23
11	на то что	2	19
12	для того чтобы	5	17
13	в то же	2	17
14	точно так же	3	16
15	до сих пор	5	14
16	ничего общего с	2	13
17	можно сказать что	2	12
18	и в этом	2	12
19	так или иначе	3	12
20	бы то ни	2	11
21	с одной стороны	7	11
22	более или менее	5	10
23	вместе с тем	8	10
24	может быть и	2	9
25	с самого начала	2	7
26	к тому же	4	7
27	может быть даже	2	7
28	в значительной мере	2	7
29	то или иное	2	7
30	то ни было	2	6
31	в этом отношении	2	6
32	в том виде	2	5
33	так же как	3	5
34	в том числе	5	5
35	и вместе с	4	4
36	этой точки зрения	2	4
37	и потому что	2	4
38	а с другой	5	4
39	но все же	4	4
40	всяком случае не	3	4
41	том числе и	4	4
42	с этой точки	2	3
43	то что он	2	3
44	то ясно что	2	3
45	по сравнению с	2	3
46	потому что и	2	2
47	таким образом если	2	2
48	друг на друга	2	2
49	таким образом в	2	2
50	а так как	3	2
51	не только для	2	2
52	такое положение дела	2	2
