N	3gram	Vinokur_Ku	Psycholo
1	в том что	23	78
2	для того чтобы	21	70
3	на то что	3	55
4	в самом деле	14	51
5	и т п	39	37
6	заключается в том	2	36
7	о том что	6	34
8	с точки зрения	16	29
9	с одной стороны	2	28
10	до сих пор	5	23
11	не может быть	5	23
12	и в самом	4	22
13	и т д	21	22
14	к тому что	2	20
15	с другой стороны	12	20
16	в том чтобы	9	20
17	мы увидим что	2	19
18	на самом деле	3	17
19	в зависимости от	7	15
20	во всяком случае	8	14
21	так же как	3	14
22	в этом отношении	8	14
23	само по себе	6	14
24	можно было бы	11	13
25	в конце концов	3	12
26	этой точки зрения	4	12
27	в конечном счете	2	11
28	только в том	5	10
29	с этой точки	3	10
30	сами по себе	2	10
31	вместе с тем	3	10
32	к тому чтобы	2	10
33	том что он	4	10
34	не в том	5	10
35	в том случае	3	9
36	в том и	3	9
37	в отличие от	3	9
38	точно так же	4	9
39	мы знаем что	2	8
40	смысле этого слова	2	8
41	речь идет о	3	8
42	том случае если	3	7
43	на этот вопрос	3	7
44	а с другой	3	7
45	состоит в том	4	7
46	в свою очередь	4	7
47	можно сказать что	2	7
48	в этом смысле	8	7
49	потому что она	2	6
50	более или менее	3	6
51	тем не менее	9	6
52	не что иное	2	6
53	было бы сказать	2	6
54	и в том	2	6
55	что иное как	2	6
56	того или иного	5	6
57	не только в	4	6
58	сводится к тому	2	6
59	в силу того	2	5
60	ни в каком	2	5
61	чтобы показать что	2	5
62	в русском языке	13	5
63	о том как	3	5
64	в том смысле	2	5
65	ясно что в	2	4
66	в настоящее время	2	4
67	именно в том	2	4
68	силу того что	2	4
69	одного и того	2	4
70	таким образом в	2	4
71	в этой области	3	4
72	то или иное	2	4
73	только тогда когда	2	4
74	только потому что	11	4
75	внимание на то	2	4
76	те или иные	2	4
77	а в том	2	4
78	и того же	2	4
79	и там где	2	3
80	после того как	2	3
81	ничего общего с	2	3
82	что все это	2	3
83	не потому что	4	3
84	в этом случае	4	3
85	что все эти	2	3
86	в то же	4	3
87	то обстоятельство что	15	3
88	по отношению к	8	3
89	то же время	4	3
90	и в другом	2	3
91	обратить внимание на	2	3
92	в наше время	3	3
93	потому что оно	2	2
94	и есть в	2	2
95	потому что не	2	2
96	так и в	2	2
97	дело не в	3	2
98	к вопросу о	3	2
99	мы приходим к	2	2
100	этого слова и	2	2
101	д и т	3	2
102	т п в	2	2
103	в тех случаях	2	2
104	того что в	2	2
105	а следовательно и	2	2
106	в связи с	4	2
107	мере в какой	6	2
108	тогда когда он	2	2
109	в узком смысле	2	2
110	по крайней мере	11	2
111	что в них	2	2
112	в совершенно ином	2	2
113	том что оно	2	2
114	т п все	2	2
115	в сторону от	2	2
116	только для того	2	2
117	и тем не	4	2
118	т д и	3	2
119	именно в силу	2	2
120	что это только	2	2
121	так или иначе	3	2
122	может быть только	2	2
123	того что они	2	2
