N	2gram	Bakhtin_Fr	Sovremen
1	не может	9	17
2	точки зрения	10	12
3	может быть	11	12
4	таким образом	5	11
5	и в	105	7
6	в этом	22	7
7	и не	34	6
8	ничего не	3	6
9	как и	15	6
10	мы можем	2	6
11	с точки	6	5
12	все эти	15	5
13	и наконец	2	5
14	в условиях	15	5
15	прежде всего	26	5
16	в стадии	3	5
17	нет и	2	4
18	мы видели	3	4
19	это не	4	4
20	не только	24	4
21	в том	17	4
22	мы должны	2	4
23	как бы	33	4
24	их в	3	4
25	так как	11	4
26	точку зрения	2	4
27	в дальнейшем	10	4
28	в целом	3	4
29	жизни и	14	4
30	а в	4	4
31	из них	7	4
32	для нас	5	3
33	не подлежит	3	3
34	и т.д	2	3
35	и потому	14	3
36	на этой	5	3
37	но в	16	3
38	при этом	10	3
39	не в	4	3
40	все же	10	3
41	он в	2	3
42	было бы	4	3
43	в области	10	3
44	уже в	5	3
45	в себе	7	3
46	еще не	8	3
47	одна из	5	3
48	и все	7	3
49	все это	16	3
50	в нем	16	3
51	и к	7	3
52	в этой	11	3
53	при таком	2	3
54	то же	6	3
55	в одном	8	3
56	в конце	3	3
57	его развития	6	3
58	в системе	3	3
59	но все	5	2
60	на его	4	2
61	на этот	3	2
62	и по	3	2
63	всяком случае	2	2
64	конечно в	2	2
65	роль в	6	2
66	не менее	2	2
67	не могут	4	2
68	между всеми	3	2
69	мы видим	2	2
70	в его	24	2
71	и пр	5	2
72	во всяком	2	2
73	и во	6	2
74	с другом	2	2
75	приводит к	2	2
76	из этих	7	2
77	так сказать	5	2
78	в самом	7	2
79	еще более	6	2
80	что в	4	2
81	времени и	9	2
82	совершенно не	5	2
83	в таком	2	2
84	у него	2	2
85	в некоторых	2	2
86	самом деле	3	2
87	со всеми	2	2
88	уже не	3	2
89	в нашем	3	2
90	могут быть	4	2
91	в отличие	4	2
92	отличие от	5	2
93	тот же	4	2
94	с одной	2	2
95	на этом	2	2
96	как мы	12	2
97	этих двух	2	2
98	или иной	5	2
99	на котором	3	2
100	из которых	2	2
101	как известно	2	2
102	и даже	10	2
103	и именно	2	2
104	друг с	2	2
105	развития в	2	2
