N	2gram	Bakhtin_sl	Komedia
1	и в	69	77
2	и не	32	47
3	в том	7	44
4	том что	6	42
5	о том	5	33
6	но и	37	32
7	может быть	40	30
8	таким образом	16	29
9	из них	3	29
10	в то	17	28
11	и его	45	28
12	в этом	21	27
13	потому что	2	27
14	что он	2	26
15	к тому	3	26
16	не только	37	25
17	вместе с	3	25
18	так как	7	24
19	как и	8	23
20	ни в	4	23
21	что в	3	23
22	что и	2	22
23	в самом	6	22
24	так и	22	21
25	а в	10	21
26	то же	17	21
27	в его	19	20
28	к этому	3	19
29	и т	56	17
30	еще не	9	17
31	и здесь	5	17
32	в нем	44	17
33	же время	15	17
34	все же	10	16
35	у него	5	16
36	не менее	4	16
37	при этом	12	16
38	и сам	4	16
39	сих пор	4	16
40	действующих лиц	2	16
41	он не	5	16
42	до сих	4	16
43	его в	7	15
44	в своем	9	15
45	не в	14	15
46	точки зрения	24	15
47	между тем	5	15
48	прежде всего	14	15
49	один из	9	15
50	было бы	3	15
51	в которой	4	15
52	и на	17	15
53	к нему	7	14
54	все это	14	14
55	на протяжении	3	14
56	в свою	4	14
57	и с	10	14
58	столь же	2	14
59	то что	2	13
60	так что	2	13
61	но в	13	13
62	того же	7	13
63	в них	11	13
64	в двух	2	13
65	в одном	4	13
66	как раз	3	13
67	так же	2	12
68	с другой	8	12
69	для того	2	12
70	т п	49	12
71	как это	3	12
72	уже в	2	12
73	несмотря на	2	12
74	в качестве	4	12
75	в истории	6	12
76	хотя и	4	12
77	не может	27	12
78	как в	18	12
79	но не	7	12
80	в котором	2	12
81	по отношению	2	11
82	в их	6	11
83	в частности	3	11
84	одного из	2	11
85	как мы	15	11
86	то время	2	11
87	к ней	2	11
88	и даже	11	11
89	и для	7	11
90	с ним	12	11
91	в отношении	9	10
92	в целом	3	10
93	отношение к	8	10
94	ничего не	5	10
95	одной из	4	10
96	и все	9	10
97	в чем	2	10
98	на его	9	10
99	мы не	4	10
100	же в	2	10
101	свою очередь	3	10
102	с его	8	10
103	с этим	5	10
104	с одной	7	10
105	как бы	16	10
106	и что	2	10
107	отличие от	13	9
108	тому что	2	9
109	одной стороны	7	9
110	однако в	3	9
111	и особенно	2	9
112	и по	3	9
113	в своей	8	9
114	того как	2	9
115	а также	5	9
116	отношению к	2	9
117	время как	2	9
118	но все	2	9
119	друг друга	3	9
120	вовсе не	16	9
121	говорить о	2	9
122	только в	9	9
123	в ней	7	9
124	и ее	3	8
125	и других	5	8
126	как он	2	8
127	такого рода	2	8
128	по своему	2	8
129	место в	2	8
130	не знает	3	8
131	связи с	4	8
132	да и	2	8
133	другой стороны	5	8
134	можно было	2	8
135	с этой	3	8
136	при всем	3	8
137	не было	4	8
138	во всех	25	8
139	до конца	25	7
140	в себе	3	7
141	в другом	4	7
142	и у	2	7
143	со своим	13	7
144	и к	9	7
145	и о	3	7
146	в других	4	7
