N	2gram	Tiupa_Disk	formyVre
1	и в	27	148
2	в этом	29	73
3	то есть	29	70
4	в нем	16	51
5	прежде всего	17	46
6	и не	25	37
7	в его	9	36
8	и его	4	36
9	но и	22	33
10	то же	12	32
11	частной жизни	4	32
12	не только	36	32
13	в литературе	2	32
14	но в	15	31
15	жизни и	2	31
16	так и	14	29
17	времени в	3	27
18	может быть	29	27
19	не в	8	26
20	как мы	2	26
21	как и	27	25
22	как бы	9	25
23	человеческой жизни	2	24
24	точки зрения	6	24
25	в то	8	23
26	человека в	6	23
27	времени и	5	23
28	только в	9	23
29	то что	10	22
30	в том	29	22
31	жизни в	4	21
32	все эти	2	21
33	связи с	4	21
34	во всех	6	21
35	же время	9	21
36	в своем	11	19
37	и др	3	19
38	и на	8	19
39	и все	5	18
40	еще не	20	18
41	таким образом	4	18
42	с этим	3	17
43	при этом	22	17
44	в особенности	5	17
45	в пределах	4	17
46	все же	8	16
47	того же	5	16
48	и во	2	16
49	в основе	11	16
50	не может	17	16
51	никогда не	3	15
52	в них	6	15
53	лишь в	4	15
54	так сказать	3	15
55	в одном	5	15
56	с точки	3	15
57	с его	9	15
58	вместе с	3	15
59	все это	2	14
60	и как	9	14
61	и с	2	14
62	а не	35	14
63	роль в	10	13
64	в их	5	13
65	в частности	18	13
66	а в	5	13
67	здесь в	4	13
68	как в	16	13
69	в котором	7	13
70	в самом	4	13
71	отнюдь не	11	12
72	в истории	5	12
73	не было	9	12
74	и до	2	12
75	и наконец	2	12
76	но не	17	12
77	потому что	7	12
78	он не	4	12
79	что в	8	12
80	в ней	2	11
81	хотя и	3	11
82	ни в	7	11
83	из них	6	11
84	уже в	2	11
85	мира и	3	11
86	этом мире	2	10
87	в ее	4	10
88	также и	6	10
89	входит в	2	10
90	уже не	7	10
91	в большинстве	3	10
92	и того	6	10
93	могут быть	5	9
94	одного и	5	9
95	к себе	2	9
96	всего в	2	9
97	том что	27	9
98	жизненного пути	2	9
99	должно быть	2	9
100	и даже	4	9
101	мира в	6	9
102	и это	3	9
103	с другой	14	9
104	на протяжении	2	9
105	для него	9	9
106	но все	2	9
107	есть в	3	9
108	их в	2	9
109	оно не	2	9
110	отношения к	2	9
111	до конца	2	8
112	это не	5	8
113	или иной	8	8
114	для себя	6	8
115	и прежде	2	8
116	и потому	3	8
117	в произведении	3	8
118	к тому	6	8
119	отношение к	6	8
120	том числе	3	8
121	в целом	5	8
122	и т.п	18	8
123	большинстве случаев	2	8
124	один из	3	8
125	что и	5	8
126	во всяком	3	8
127	и то	4	8
128	а также	15	8
129	характер и	3	8
130	в результате	3	8
131	и по	2	8
132	образ человека	2	8
133	героя и	2	8
134	в этих	4	8
135	отношению к	13	8
136	с одной	12	8
137	в жизни	2	8
138	в мире	9	8
139	и к	4	8
140	в виду	2	8
141	жизни но	2	8
142	для всех	2	7
143	в процессе	6	7
144	в себе	22	7
145	не как	5	7
146	отличие от	13	7
147	не знает	4	7
148	картину мира	5	7
149	того что	4	7
150	между собой	2	7
151	в той	2	7
152	место в	2	7
153	себя и	2	7
154	например в	4	7
155	имеет место	4	7
156	к этому	4	7
157	из этих	3	7
158	и он	2	7
159	в которой	2	7
160	с ее	3	7
161	этом отношении	4	7
162	не могло	2	7
163	к ним	3	7
164	в отличие	13	7
165	в форме	2	7
166	в себя	7	7
167	не могут	2	6
168	и ее	5	6
169	литературы в	2	6
170	одной из	4	6
171	более того	2	6
172	одной стороны	12	6
173	в качестве	45	6
174	сказать что	4	6
175	до нас	2	6
176	в начале	2	6
177	за пределы	2	6
178	мы не	2	6
179	в сущности	3	6
180	не является	5	6
181	о том	12	6
182	именно в	5	6
183	время и	2	6
184	в эпоху	5	6
185	в которых	5	6
186	в различных	2	6
187	слова и	2	6
188	стороны и	3	5
189	не имеют	2	5
190	о чем	4	5
191	и вообще	2	5
192	по своей	15	5
193	здесь это	2	5
194	только на	2	5
195	мире и	2	5
196	и пространства	2	5
197	одно из	4	5
198	в едином	2	5
199	они не	2	5
200	но здесь	2	5
201	в ряду	4	5
202	той или	6	5
203	не на	3	5
204	в этой	5	5
205	одно и	2	5
206	и от	2	5
207	числе и	3	5
208	хотя бы	3	5
209	мы имеем	4	5
210	в своей	10	5
211	по преимуществу	2	5
212	об этом	3	5
213	тем что	4	5
214	с этой	2	5
