N	3gram	Vygotskiy_	Narrotol
1	в том что	24	18
2	в данном случае	5	17
3	не только в	2	13
4	по отношению к	9	11
5	в отличие от	4	11
6	о том что	4	9
7	в то же	2	8
8	той или иной	2	8
9	тем не менее	4	8
10	в этом отношении	7	8
11	не может быть	6	8
12	можно сказать что	7	6
13	и тем самым	8	6
14	с одной стороны	7	6
15	в известном смысле	2	6
16	состоит в том	3	6
17	мы имеем дело	2	6
18	на самом деле	2	5
19	подобно тому как	2	5
20	для того чтобы	24	5
21	в свою очередь	3	5
22	к тому что	10	4
23	в конечном счете	2	4
24	то же самое	11	3
25	в этом и	2	3
26	внимание на то	2	3
27	в первом случае	5	3
28	что у нее	3	3
29	и не может	2	3
30	точно так же	3	3
31	с точки зрения	31	3
32	заключает в себе	2	3
33	как раз в	3	3
34	едва ли не	3	3
35	в самом деле	4	3
36	до сих пор	6	3
37	в зависимости от	6	3
38	на то что	5	3
39	друг на друга	2	3
40	и то что	5	3
41	одно и то	3	2
42	и то же	3	2
43	не только не	11	2
44	чем иным как	2	2
45	известном смысле можно	2	2
46	одного и того	3	2
47	по своей природе	4	2
48	в той мере	2	2
49	можно было бы	5	2
50	мере в какой	2	2
51	так же как	13	2
52	так и по	2	2
53	в том смысле	2	2
54	только потому что	3	2
55	той мере в	2	2
56	смысле можно сказать	2	2
57	и того же	3	2
58	но и не	3	2
