N	2gram	Voloshinov	Istorich
1	и в	16	181
2	может быть	17	115
3	не только	7	114
4	что он	2	111
5	что в	3	90
6	но и	4	85
7	в этом	9	81
8	так как	4	75
9	то что	3	73
10	таким образом	9	72
11	вместе с	3	71
12	и не	4	67
13	мы видим	2	65
14	в этих	3	64
15	еще не	5	63
16	не может	8	61
17	так же	2	57
18	то же	2	56
19	никогда не	2	56
20	в том	3	53
21	том что	3	53
22	а в	3	52
23	что и	2	51
24	о том	2	48
25	его в	4	47
26	но в	4	44
27	и пр	12	44
28	и его	8	43
29	мы знаем	3	42
30	в нем	4	42
31	только в	4	42
32	в его	4	38
33	для нас	2	38
34	и на	4	38
35	так и	4	37
36	он не	2	37
37	как и	2	37
38	мы уже	2	37
39	мы можем	9	36
40	знаем что	2	36
41	все эти	5	35
42	мы не	2	35
43	во время	3	34
44	что это	2	34
45	у него	2	34
46	же как	2	33
47	сих пор	3	32
48	прежде всего	9	31
49	один из	2	31
50	с этим	2	30
51	до сих	3	30
52	как мы	4	29
53	но это	2	29
54	и с	8	28
55	могут быть	3	27
56	как это	3	26
57	и др	3	26
58	было бы	2	24
59	что мы	2	24
60	к этому	2	24
61	не менее	2	24
62	все это	4	23
63	в частности	2	23
64	в этой	4	23
65	их в	3	23
66	и это	6	23
67	как бы	5	23
68	при этом	6	22
69	и по	2	22
70	с ним	2	22
71	в одном	3	21
72	сказать что	7	21
73	ее в	2	21
74	они не	2	21
75	другими словами	2	20
76	из этих	2	20
77	и как	3	19
78	есть и	2	19
79	и только	9	17
80	и этим	2	17
81	в них	2	17
82	и она	3	16
83	и действительно	2	16
84	и все	4	16
85	во всех	3	16
86	в своей	2	15
87	в пределах	2	15
88	и даже	4	15
89	отношение к	5	14
90	но мы	4	14
91	с этой	2	14
92	в него	5	14
93	и есть	3	14
94	и ее	4	14
95	и наконец	4	14
96	находится в	2	14
97	и для	2	13
98	все что	4	13
99	на этом	3	13
100	с ними	4	13
101	и их	4	12
102	хотя бы	4	12
103	к себе	3	12
104	в основном	3	12
105	не знает	2	12
106	что не	2	12
107	и вот	3	11
108	связанные с	2	11
109	точки зрения	8	11
110	в этот	2	11
111	но оно	3	11
112	на этой	3	10
113	но как	2	10
114	связанных с	2	10
115	к ним	2	10
116	на основе	2	10
117	и других	2	10
118	ни в	5	10
119	а на	2	10
120	не можем	2	10
121	и к	6	10
122	в основе	3	9
123	не могут	2	9
124	жизни и	3	9
125	что на	2	9
126	не будет	2	9
127	на первый	2	9
128	только на	3	9
129	в чем	5	9
130	с его	7	9
131	и так	2	9
132	кажется что	2	8
133	для этого	2	8
134	вообще не	2	8
135	что такое	5	8
136	во всяком	3	8
137	здесь же	2	8
138	в жизни	2	8
139	большинстве случаев	3	8
140	и потому	3	8
141	ту же	2	8
142	можно сказать	4	8
143	с другими	3	8
144	во сне	2	8
145	конечно не	6	8
146	на самом	4	7
147	и о	2	7
148	с самого	4	7
149	тех же	3	7
150	в начале	2	7
151	по всему	2	7
152	того же	2	7
153	если мы	2	7
154	всяком случае	3	7
155	совершенно не	8	7
156	те же	3	7
157	между собой	2	7
158	не есть	2	7
159	в области	3	7
160	самом деле	6	7
161	что оно	2	7
162	на них	2	7
163	для него	6	7
164	в большинстве	3	7
165	нам кажется	2	6
166	почти не	2	6
167	между ними	3	6
168	не удается	2	6
169	самого начала	4	6
170	даже не	3	6
171	не на	2	6
172	сводится к	2	6
173	и оно	3	6
174	отношения к	3	6
175	в область	2	5
176	в каком	2	5
177	только как	3	5
178	только для	5	5
179	к отцу	6	5
180	художественного творчества	4	5
181	в одно	2	5
182	в свое	2	5
183	по своему	2	5
184	мира и	3	5
185	с ее	4	5
186	в один	4	5
187	может иметь	2	5
188	это делает	2	5
189	оно не	2	5
190	и может	4	5
191	и мы	2	5
192	можно назвать	2	5
193	и вообще	2	4
194	ранних ступенях	2	4
195	себя и	2	4
196	во всей	2	4
197	в мир	2	4
198	не существует	2	4
199	на друга	2	4
200	и этот	2	4
201	по сравнению	3	4
202	как не	2	4
203	путь к	2	4
204	отнюдь не	4	4
205	с точки	6	4
206	и через	2	4
207	матери и	3	4
208	войти в	2	4
209	нет никаких	2	4
210	только то	2	4
211	друг на	2	4
212	есть в	2	4
213	в самом	2	4
214	своей жизни	2	3
215	при всей	2	3
216	сравнению с	3	3
217	оно и	2	3
218	ребенка и	3	3
219	совсем не	2	3
220	всех других	2	3
221	все то	2	3
222	ни было	2	3
223	мифов и	4	3
224	смерти но	2	3
225	сделать это	2	3
226	что можно	2	3
227	но зато	2	3
228	для всех	4	3
229	в науке	2	3
230	едва ли	3	3
231	находится на	2	3
232	еще совершенно	2	3
233	момент в	2	3
234	образов и	2	2
235	к следующему	2	2
236	с помощью	2	2
237	в глубину	2	2
238	быть это	3	2
239	все остальные	2	2
240	нечего и	2	2
241	как с	2	2
242	в конечном	3	2
243	характерно для	2	2
244	к другим	2	2
245	и таким	2	2
246	всю жизнь	2	2
247	ступенях развития	3	2
248	а может	2	2
249	этих трех	2	2
250	так называемый	2	2
251	всех его	2	2
252	в развитии	2	2
253	за счет	2	2
254	и вся	2	2
255	его все	2	2
256	ту сторону	5	2
257	нет и	2	2
258	не имеющие	2	2
259	говорить о	2	2
260	учение о	3	2
