N	2gram	Propp_Isto	SlovoVZh
1	не может	10	16
2	точки зрения	3	14
3	может быть	31	14
4	и его	15	13
5	как бы	4	13
6	и в	44	12
7	таким образом	21	12
8	отношению к	2	11
9	по отношению	2	11
10	и не	19	10
11	так как	19	9
12	если бы	5	9
13	прежде всего	7	8
14	для нас	6	7
15	сказать что	2	7
16	при этом	4	6
17	в том	13	6
18	в нем	10	6
19	только в	8	6
20	в ней	8	6
21	никогда не	5	5
22	как в	11	5
23	что мы	4	5
24	можно сказать	2	5
25	но в	7	5
26	том что	12	5
27	то же	9	5
28	как и	12	5
29	героя и	3	5
30	должна быть	3	5
31	хотя бы	2	5
32	а не	5	5
33	то что	16	5
34	и др	6	5
35	в этом	20	4
36	не только	17	4
37	что не	3	4
38	его в	17	4
39	жизни и	4	4
40	не в	11	4
41	с другой	11	4
42	все же	17	4
43	к нему	5	4
44	и к	3	4
45	так и	9	4
46	и на	11	4
47	уже не	14	4
48	отношение к	3	4
49	в них	3	3
50	по себе	2	3
51	и вообще	3	3
52	о том	11	3
53	и для	3	3
54	ее и	3	3
55	и герой	2	3
56	он должен	2	3
57	из этого	3	3
58	и уже	2	3
59	ни в	2	3
60	все эти	11	3
61	в котором	2	3
62	и наконец	2	3
63	так же	14	3
64	в своей	3	3
65	мы не	6	3
66	еще не	16	3
67	здесь не	3	3
68	все это	4	3
69	только на	2	3
70	когда он	7	3
71	в некоторых	6	3
72	и с	8	3
73	этой точки	2	3
74	бы мы	4	3
75	но для	4	3
76	не менее	6	3
77	сих пор	7	3
78	с ним	9	3
79	до сих	7	3
80	в пределах	5	3
81	и по	3	3
82	формы и	3	3
83	самом деле	2	3
84	и пр	6	3
85	того что	3	3
86	тем не	6	3
87	и более	3	3
88	но и	16	3
89	для него	2	3
90	ясно что	5	3
91	в особенности	6	2
92	одно и	2	2
93	и то	5	2
94	в его	16	2
95	данном случае	2	2
96	к его	2	2
97	и здесь	12	2
98	что в	18	2
99	к ним	2	2
100	социальной жизни	3	2
101	же относится	2	2
102	ничего не	4	2
103	с его	3	2
104	что и	11	2
105	это не	8	2
106	и все	4	2
107	можно найти	4	2
108	там где	11	2
109	она не	7	2
110	но все	8	2
111	в своем	3	2
112	на все	2	2
113	в данном	3	2
114	его к	3	2
115	но мы	5	2
116	с другими	4	2
117	из него	3	2
118	зависит от	4	2
119	мы имеем	22	2
120	и что	13	2
121	в то	5	2
122	уже в	4	2
123	с этой	4	2
124	в этих	7	2
125	одной стороны	7	2
126	связь с	20	2
127	в основном	5	2
128	и другие	5	2
129	но это	10	2
130	он не	5	2
131	в формах	2	2
132	есть уже	2	2
133	такой же	3	2
134	как только	2	2
135	как на	3	2
136	и потому	2	2
137	имеем в	2	2
138	но не	8	2
139	как это	5	2
140	в себя	3	2
141	мы можем	6	2
142	могут быть	9	2
143	сливается с	2	2
144	в форме	5	2
145	с одной	7	2
146	относится к	3	2
147	к этому	5	2
148	между ними	2	2
149	тогда когда	3	2
150	другой стороны	10	2
151	находит в	3	2
152	вместе с	26	2
153	на него	10	2
