N	2gram	Voloshinov	Otkroven
1	у него	2	22
2	и в	32	19
3	но и	17	13
4	и не	42	13
5	в этом	27	12
6	не только	18	11
7	человека в	3	11
8	не в	13	11
9	а не	15	11
10	может быть	50	11
11	и все	8	10
12	в нем	17	10
13	вопрос о	6	10
14	никогда не	7	9
15	потому что	2	9
16	не было	6	9
17	прежде всего	19	9
18	и он	4	8
19	он был	2	8
20	лишь в	17	7
21	в его	10	7
22	до конца	6	7
23	нет ничего	4	7
24	от него	4	7
25	он не	5	7
26	как и	19	6
27	все это	4	6
28	для него	18	5
29	а в	5	5
30	в том	13	5
31	в самом	14	5
32	то что	12	5
33	в этой	3	5
34	и его	33	4
35	что в	5	4
36	есть лишь	2	4
37	того чтобы	9	4
38	все эти	8	4
39	не может	40	4
40	все в	2	4
41	что не	4	4
42	с его	6	4
43	в себе	5	3
44	и от	6	3
45	о том	4	3
46	это не	5	3
47	к нему	5	3
48	не могут	4	3
49	что он	5	3
50	и вот	2	3
51	было бы	8	3
52	различие между	5	3
53	для того	8	3
54	еще не	7	3
55	и есть	3	3
56	в этих	2	3
57	в своих	2	3
58	в русской	3	3
59	и ее	4	3
60	как бы	31	3
61	хотя бы	8	3
62	более всего	2	3
63	нем нет	4	3
64	могут быть	4	3
65	это было	2	3
66	мысли и	7	3
67	того что	5	3
68	как к	2	2
69	и то	4	2
70	сказать что	7	2
71	и на	8	2
72	уже в	3	2
73	что же	5	2
74	и для	15	2
75	совсем не	2	2
76	что все	3	2
77	из всего	3	2
78	не имеет	6	2
79	ничего не	9	2
80	и с	4	2
81	что и	5	2
82	ее в	2	2
83	и потому	7	2
84	и ни	2	2
85	в ее	9	2
86	в своем	3	2
87	тем что	3	2
88	но в	13	2
89	том что	12	2
90	к этой	2	2
91	то к	2	2
92	все же	13	2
93	него не	2	2
94	жизни в	5	2
95	в своей	5	2
96	так как	5	2
97	по себе	5	2
98	добро и	2	2
99	в истории	5	2
100	так что	2	2
101	даже и	2	2
102	не все	3	2
103	должно быть	4	2
104	не есть	6	2
105	в душе	3	2
106	к этому	10	2
107	и к	3	2
108	так и	21	2
109	в которой	4	2
110	его не	2	2
111	момент в	3	2
112	в единстве	5	2
113	учение о	3	2
114	в другом	5	2
115	подойти к	3	2
116	его в	7	2
