N	3gram	Bakhtin_fo	Psycholo
1	в том что	4	78
2	для того чтобы	11	70
3	и т п	18	37
4	о том что	2	34
5	с точки зрения	9	29
6	с одной стороны	3	28
7	все то что	2	23
8	до сих пор	4	23
9	не может быть	4	23
10	и т д	3	22
11	с самого начала	3	16
12	так же как	2	14
13	в этом отношении	5	14
14	в то время	3	14
15	то время как	2	13
16	и в этом	2	13
17	по сравнению с	3	11
18	сами по себе	2	10
19	вместе с тем	3	10
20	в данном случае	2	9
21	в отличие от	3	9
22	и то же	4	8
23	и как бы	2	8
24	друг с другом	5	8
25	с тем что	2	8
26	как и в	3	7
27	одно и то	4	7
28	друг к другу	2	6
29	и та же	2	6
30	не только в	6	6
31	как раз в	4	5
32	же как и	2	5
33	как если бы	2	5
34	о том как	2	5
35	и во всех	3	5
36	и в частности	2	5
37	все более и	2	4
38	лежит в основе	2	4
39	к тому же	2	4
40	то есть в	2	4
41	что в таком	2	4
42	мы уже говорили	6	4
43	таким образом и	2	4
44	более и более	2	4
45	прямо сказать что	2	4
46	одного и того	6	4
47	одна и та	2	4
48	не для того	3	4
49	и того же	6	4
50	и в сущности	3	4
51	во всех этих	2	3
52	и в поэзии	2	3
53	может быть и	4	3
54	в нем нет	2	3
55	но он не	2	3
56	в то же	10	3
57	по отношению к	3	3
58	то же время	13	3
59	друг от друга	2	3
60	в себя и	2	3
61	дело в том	2	3
62	мы имеем в	2	2
63	той или иной	3	2
64	то что было	2	2
65	то есть не	3	2
66	как и для	2	2
67	к вопросу о	2	2
68	мы уже указывали	4	2
69	и все другие	2	2
70	но в этом	2	2
71	но для того	2	2
72	в этом романе	2	2
73	все же в	2	2
74	а следовательно и	3	2
75	но и в	5	2
76	в связи с	12	2
77	так как он	2	2
78	и в особенности	5	2
79	имеем в виду	3	2
80	жизни но и	2	2
81	и как раз	6	2
82	на первый план	2	2
83	это значит что	2	2
84	и все его	2	2
85	как мы увидим	2	2
86	так сказать в	2	2
87	одной стороны и	2	2
88	в значительной мере	2	2
89	в точном смысле	3	2
90	может быть только	3	2
91	они не могут	2	2
92	равно как и	4	2
