N	3gram	Vinokur_St	Komedia
1	в том что	29	29
2	к тому же	2	21
3	до сих пор	12	16
4	то же время	5	16
5	в то же	5	16
6	о том что	19	13
7	в самом деле	7	13
8	для того чтобы	13	11
9	в то время	2	11
10	и т п	11	11
11	по отношению к	3	9
12	с одной стороны	2	9
13	вместе с тем	2	9
14	речь идет о	3	8
15	с другой стороны	8	8
16	и в самом	3	8
17	на этот раз	2	7
18	бы то ни	2	7
19	в первую очередь	2	7
20	в конце концов	2	7
21	во всяком случае	8	7
22	так или иначе	3	7
23	с самого начала	3	7
24	обращает на себя	2	7
25	говоря уже о	2	6
26	после того как	5	6
27	с точки зрения	10	6
28	в том числе	3	6
29	не говоря уже	2	6
30	что он не	5	5
31	и т д	25	5
32	в этом отношении	13	5
33	том что он	6	5
34	за то что	5	5
35	тем не менее	4	5
36	в это время	3	4
37	что и в	4	4
38	чуть ли не	2	4
39	т е в	3	4
40	к тому что	4	4
41	в этой области	5	4
42	можно было бы	8	4
43	в одном из	4	4
44	но все же	3	4
45	в обоих случаях	2	4
46	в той же	2	3
47	более или менее	2	3
48	в том же	3	3
49	но и в	2	3
50	то обстоятельство что	3	3
51	сомневаться в том	2	3
52	в политическом отношении	2	3
53	то что он	3	3
54	на то что	5	3
55	том числе и	2	3
56	по меньшей мере	3	3
57	только в том	3	2
58	я думаю что	4	2
59	ни в одном	2	2
60	в зависимости от	2	2
61	в одной из	3	2
62	точно так же	2	2
63	до того как	3	2
64	так и в	5	2
65	том что в	4	2
66	не только в	4	2
67	мере в какой	3	2
68	и в том	3	2
69	в этом случае	3	2
70	так же как	5	2
71	только потому что	2	2
72	у меня в	2	2
73	но столь же	2	2
74	в этом смысле	2	2
75	как и в	2	2
76	тем более что	2	2
77	еще в г	2	2
78	и даже не	2	2
79	но и здесь	2	2
