N	2gram	Savitsky_P	VrazhdaK
1	не только	17	9
2	и достоевского	2	9
3	в этом	10	8
4	и в	14	8
5	что в	4	7
6	но и	6	7
7	то что	4	7
8	но в	9	6
9	в котором	4	6
10	в начале	2	6
11	в нем	3	6
12	и с	2	6
13	и не	12	5
14	не было	2	5
15	в россии	3	5
16	то же	9	5
17	в то	7	5
18	же время	7	5
19	между тем	3	5
20	для нас	2	4
21	это не	3	4
22	все это	2	4
23	в ней	6	4
24	как бы	4	4
25	может быть	5	4
26	т е	3	3
27	в том	9	3
28	в своем	4	3
29	том что	4	3
30	в его	2	3
31	и о	5	3
32	и как	3	3
33	в русской	4	3
34	наряду с	3	3
35	и дети	2	2
36	в них	2	2
37	в мире	2	2
38	а н	5	2
39	одна из	2	2
40	и это	2	2
41	с точки	3	2
42	а в	4	2
43	а также	4	2
44	столь же	3	2
45	как раз	2	2
46	же в	4	2
47	в себе	3	2
48	точки зрения	3	2
49	тем более	2	2
50	россии в	5	2
51	отношения к	2	2
52	в эту	2	2
53	не может	4	2
54	из них	2	2
55	не менее	2	2
56	отнюдь не	2	2
