N	2gram	Ircho_Kome	KulturaY
1	и т	5	143
2	т е	18	102
3	т п	5	93
4	и в	37	84
5	в том	24	74
6	потому что	19	68
7	не только	13	60
8	точки зрения	8	59
9	в этом	18	57
10	было бы	7	53
11	и не	28	52
12	может быть	14	47
13	том что	22	44
14	того чтобы	9	44
15	что в	11	44
16	для того	9	41
17	в самом	17	41
18	самом деле	13	37
19	хотя бы	5	37
20	так как	16	36
21	с точки	6	36
22	в области	3	34
23	таким образом	16	33
24	а не	5	33
25	можно было	3	32
26	если бы	18	32
27	не в	7	30
28	прежде всего	7	30
29	в его	12	30
30	все же	9	29
31	не менее	9	28
32	в силу	2	26
33	не может	9	25
34	то что	5	25
35	вовсе не	6	25
36	вопрос о	2	24
37	еще не	10	24
38	с другой	5	24
39	так и	4	23
40	то же	14	23
41	только в	3	23
42	с помощью	4	23
43	тем не	3	21
44	во всяком	3	20
45	но и	18	20
46	и что	8	20
47	то обстоятельство	3	19
48	что он	15	19
49	но в	7	19
50	обстоятельство что	3	19
51	тем что	12	19
52	о том	21	19
53	всяком случае	3	19
54	что же	2	19
55	между тем	6	18
56	связи с	5	18
57	все это	7	18
58	в качестве	4	18
59	к тому	11	18
60	с тем	6	18
61	в сущности	3	18
62	как бы	7	18
63	и с	5	18
64	вместе с	16	18
65	это не	3	17
66	как раз	9	17
67	как это	5	17
68	другой стороны	2	17
69	в той	2	17
70	в виду	3	16
71	ничего не	6	16
72	что не	5	16
73	что и	12	16
74	тот же	11	16
75	но не	9	16
76	по отношению	6	15
77	и тем	4	15
78	один из	6	15
79	а в	12	15
80	при этом	11	15
81	того как	5	15
82	целый ряд	5	15
83	том чтобы	4	15
84	не было	6	15
85	в них	6	14
86	в связи	4	14
87	хотя и	6	14
88	я не	4	14
89	как мы	6	14
90	сказать что	4	14
91	мы имеем	4	14
92	отношению к	4	14
93	сих пор	12	14
94	если мы	2	14
95	и на	6	14
96	в ней	7	14
97	до сих	12	14
98	не могут	2	13
99	по существу	4	13
100	что она	10	13
101	в пределах	3	13
102	не случайно	3	13
103	в этой	7	13
104	в которых	7	13
105	для нас	7	13
106	и его	10	13
107	той же	2	13
108	этот вопрос	2	12
109	для этого	3	12
110	с этой	5	12
111	как в	4	12
112	того же	9	12
113	могут быть	3	12
114	в результате	2	12
115	говорить о	6	12
116	ясно что	12	12
117	должен быть	2	11
118	в их	5	11
119	в своем	9	11
120	на себе	2	11
121	из этих	2	11
122	должна быть	2	11
123	в нем	8	11
124	этом отношении	2	11
125	совершенно не	2	11
126	и здесь	11	11
127	в какой	4	11
128	и если	3	11
129	уже в	3	11
130	он не	11	11
131	так же	8	10
132	в то	14	10
133	к этому	11	10
134	со стороны	16	10
135	они не	2	10
136	как и	10	10
137	речь идет	5	10
138	тех же	3	10
139	с этим	5	10
140	тем более	9	10
141	бы в	5	10
142	несмотря на	7	10
143	от того	2	10
144	в первом	2	10
145	после того	3	10
146	на фоне	2	10
147	конечно не	4	10
148	ли не	6	9
149	то мы	2	9
150	в целом	4	9
151	здесь не	2	9
152	и для	7	9
153	в своей	6	9
154	а также	3	9
155	в которой	6	9
156	и вот	3	9
157	не имеет	6	9
158	на то	3	9
159	ни в	14	9
160	что мы	4	9
161	и есть	3	9
162	в первую	2	8
163	в частности	4	8
164	в своих	4	8
165	тех пор	5	8
166	состоит в	2	8
167	в чем	7	8
168	не говоря	2	8
169	с одной	5	8
170	и о	3	8
171	в тех	4	8
172	был бы	4	8
173	что они	3	8
174	этом случае	2	8
175	с его	6	8
176	да и	3	8
177	независимо от	4	8
178	и как	3	8
179	об этом	12	8
180	в этих	2	8
181	тому что	5	8
182	но все	5	8
183	далеко не	3	8
184	что я	5	8
185	может служить	2	8
186	отнюдь не	5	8
187	в таком	2	8
188	тому же	11	8
189	же в	3	8
190	до конца	4	7
191	в свою	12	7
192	идет о	3	7
