N	2gram	Vygotskiy_	Hudozhes
1	в качестве	2	31
2	то есть	16	26
3	и в	55	23
4	не только	24	20
5	состоит в	3	20
6	в том	50	20
7	может быть	34	19
8	при этом	11	19
9	в частности	6	18
10	и не	19	16
11	но и	16	14
12	а в	7	13
13	в себе	13	13
14	но не	9	13
15	а не	16	13
16	произведение искусства	10	12
17	то же	16	12
18	в этом	30	12
19	и его	10	12
20	так и	6	12
21	как бы	33	11
22	точки зрения	15	11
23	представляет собой	2	11
24	в его	8	11
25	сводится к	7	11
26	но в	7	10
27	по отношению	3	10
28	отношению к	2	10
29	не в	12	9
30	в душе	2	9
31	или иной	2	9
32	том что	46	9
33	не может	15	9
34	с другой	12	9
35	в искусстве	12	9
36	в то	6	8
37	себя в	4	8
38	в области	2	8
39	в самом	18	7
40	в своей	8	7
41	только в	12	7
42	же время	2	7
43	как это	16	7
44	что в	43	7
45	отличие от	3	7
46	в отличие	3	7
47	в основе	9	7
48	в состав	3	6
49	мы имеем	10	6
50	искусства в	7	6
51	другой стороны	8	6
52	приводит к	2	6
53	в нем	13	6
54	можно сказать	4	6
55	в ее	3	6
56	с его	6	6
57	ни в	5	5
58	той или	2	5
59	конечном счете	2	5
60	могут быть	8	5
61	в конечном	2	5
62	в художественном	4	5
63	между ними	2	5
64	для того	45	5
65	того чтобы	43	5
66	в виду	5	5
67	со стороны	3	5
68	в их	3	5
69	не является	3	5
70	героя и	9	5
71	что он	30	5
72	то что	69	5
73	прежде всего	6	5
74	того что	12	5
75	для него	5	5
76	и то	12	4
77	сказать что	14	4
78	в отношении	2	4
79	его в	2	4
80	в воображении	3	4
81	далеко не	4	4
82	это не	9	4
83	так в	4	4
84	к тому	12	4
85	эстетический объект	3	4
86	речи и	2	4
87	для читателя	2	4
88	между тем	4	4
89	во времени	2	4
90	в данном	4	4
91	искусства но	2	4
92	в форме	2	4
93	художественного произведения	3	4
94	в другом	3	4
95	не знает	2	4
96	произведения искусства	2	4
97	в силу	3	4
98	и как	10	4
99	еще не	6	4
100	и тем	6	4
101	и что	45	4
102	в этих	3	4
103	он не	10	4
104	и о	5	4
105	отношения к	2	4
106	например в	2	4
107	в себя	2	4
108	в своем	12	4
109	даже в	2	3
110	от себя	2	3
111	в жизни	2	3
112	и для	13	3
113	искусства и	8	3
114	одно и	3	3
115	в романе	2	3
116	как и	9	3
117	того же	5	3
118	их в	4	3
119	потому что	48	3
120	о чем	4	3
121	одной стороны	15	3
122	по преимуществу	2	3
123	в целом	7	3
124	области искусства	3	3
125	в противоположность	3	3
126	к его	2	3
127	в свою	3	3
128	и к	5	3
129	искусства как	5	3
130	во всех	6	3
131	одного и	2	3
132	из этих	4	3
133	связи с	2	3
134	и на	12	3
135	мог бы	3	3
136	тому как	3	3
137	на деле	9	3
138	если бы	21	3
139	в той	3	3
140	не будет	3	3
141	как раз	19	3
142	двоякого рода	3	3
143	с точки	5	3
144	и того	2	3
145	он должен	8	3
146	художественное произведение	5	3
147	себя и	3	3
148	как говорит	6	3
149	с этой	5	3
150	таким образом	35	3
151	в таком	4	3
152	в которой	4	3
153	никто не	4	3
154	в рассказе	2	3
155	и составляет	4	3
156	была бы	4	3
157	этом смысле	4	3
158	в пределах	3	3
159	в одном	5	3
160	с одной	15	3
161	но он	6	3
162	имеет место	3	3
163	никогда не	15	2
164	о том	24	2
165	одной из	2	2
166	для понимания	3	2
167	жизни но	3	2
168	в каком	7	2
169	вытекает из	2	2
170	одна из	6	2
171	как в	4	2
172	и др	2	2
173	не могли	4	2
174	и наоборот	2	2
175	искусства если	2	2
176	видим в	2	2
177	и это	13	2
178	еще один	2	2
179	ее в	2	2
180	могла бы	4	2
181	тому что	11	2
182	и потому	8	2
183	полагал что	2	2
184	могло быть	2	2
185	столь же	3	2
186	что такое	2	2
187	или в	6	2
188	строго говоря	2	2
189	именно в	9	2
190	но как	3	2
191	все эти	5	2
192	на наших	2	2
193	мы легко	5	2
194	не все	3	2
195	вслед за	3	2
196	времени и	5	2
197	образом и	3	2
198	оно не	2	2
199	что она	10	2
200	должен быть	3	2
201	быть и	2	2
202	говорит что	13	2
203	этой точки	3	2
204	не как	3	2
205	но она	3	2
206	в глаза	2	2
207	так же	19	2
208	отличается от	4	2
209	об этом	5	2
210	из которых	5	2
211	между собой	2	2
212	это может	2	2
213	всякий раз	6	2
214	в известном	2	2
215	один из	9	2
216	в них	7	2
217	по себе	13	2
218	сама по	3	2
219	не могло	2	2
220	несмотря на	5	2
221	в катарсисе	7	2
222	в комедии	3	2
223	с чем	3	2
224	есть как	2	2
225	к жизни	2	2
226	но во	2	2
227	на этом	11	2
228	это и	7	2
229	в последней	3	2
230	слова и	2	2
231	события в	3	2
232	все это	8	2
233	к другому	2	2
234	в сторону	2	2
235	которого он	2	2
236	из этого	7	2
237	что и	11	2
238	имеет дело	4	2
239	искусство есть	6	2
240	не просто	6	2
241	и может	3	2
242	и другие	3	2
243	только о	2	2
244	а затем	2	2
245	самом деле	17	2
246	в нашем	3	2
247	в этой	15	2
248	но только	3	2
249	а с	7	2
250	жизни а	2	2
251	с ним	4	2
252	что может	2	2
253	превращается в	2	2
254	этих двух	8	2
255	в какой	5	2
256	вовсе не	8	2
257	чем это	4	2
258	заключается в	13	2
259	если мы	24	2
260	том и	3	2
261	во внешнем	2	2
262	у него	9	2
263	не с	2	2
