N	3gram	Voloshinov	Dialekti
1	с точки зрения	5	46
2	не может быть	2	18
3	не что иное	2	18
4	что иное как	2	18
5	то же время	7	15
6	в то же	9	14
7	одно и то	5	12
8	и то же	5	12
9	о том что	2	12
10	есть не что	2	11
11	в самом деле	2	10
12	то или иное	4	9
13	и не только	2	9
14	той или иной	4	7
15	можно сказать что	2	7
16	в связи с	2	7
17	для того чтобы	7	6
18	то что мы	4	6
19	в зависимости от	7	6
20	только потому что	2	6
21	и в то	2	6
22	на самом деле	3	5
23	в конце концов	3	5
24	одной и той	4	5
25	и той же	4	5
26	к тому что	2	5
27	то же самое	4	4
28	в этом отношении	2	4
29	связи с этим	2	4
30	равно как и	2	4
31	и как бы	2	3
32	что же такое	2	3
33	но в то	2	3
34	с самого начала	4	3
35	не только в	3	3
36	не было бы	2	3
37	ту или иную	4	3
38	но все же	3	3
39	того или иного	5	3
40	тех или иных	3	3
41	не должно быть	2	2
42	не забудем что	3	2
43	мы никогда не	5	2
44	та же самая	2	2
45	к чему не	2	2
46	или хотя бы	2	2
47	мы не имеем	2	2
48	тот или иной	2	2
49	мы будем говорить	2	2
50	на первый взгляд	2	2
51	ни к чему	2	2
52	мы видим что	2	2
53	в свою очередь	4	2
