N	3gram	Vygotskiy_	Morfolog
1	в этом случае	15	10
2	не может быть	6	9
3	таким образом мы	2	7
4	по отношению к	9	7
5	с точки зрения	31	6
6	тем не менее	4	6
7	подобно тому как	2	5
8	с другой стороны	3	5
9	на самом деле	2	4
10	в том что	24	4
11	к тому что	10	4
12	не могут быть	3	4
13	о том что	4	3
14	то время как	7	3
15	состоит в том	3	3
16	в то время	8	3
17	как и в	4	3
18	для того чтобы	24	3
19	в большинстве случаев	2	3
20	в первом случае	5	3
21	на то что	5	3
22	в собственном смысле	4	3
23	в данном случае	5	2
24	в этом отношении	7	2
25	друг к другу	3	2
26	точно так же	3	2
27	можно было бы	5	2
28	друг на друга	2	2
29	с одной стороны	7	2
