N	2gram	Vinokur_Ku	VerxiiNi
1	и в	44	26
2	таким образом	17	22
3	с тем	5	18
4	в этом	31	15
5	вместе с	8	15
6	точки зрения	25	13
7	как бы	11	12
8	в том	47	11
9	не только	29	10
10	из этих	5	10
11	и с	11	10
12	может быть	25	10
13	что в	25	9
14	так как	16	9
15	в области	15	9
16	связи с	8	9
17	но и	13	9
18	но не	11	8
19	с другой	14	8
20	в общем	4	8
21	главным образом	3	8
22	и у	3	8
23	и не	23	8
24	как на	4	8
25	но все	5	7
26	потому что	40	7
27	связанные с	3	7
28	одной стороны	2	7
29	из них	4	7
30	то что	14	7
31	с одной	3	7
32	но в	11	7
33	том что	30	7
34	а с	3	7
35	представление о	3	6
36	в отношении	2	6
37	все же	17	6
38	к тому	8	6
39	о том	10	6
40	мы должны	2	6
41	того же	6	6
42	в себе	4	6
43	в конце	5	6
44	несмотря на	6	6
45	всяком случае	8	6
46	что и	5	6
47	с точки	16	6
48	все эти	17	6
49	все это	10	6
50	и потому	6	6
51	так и	10	6
52	во всяком	8	6
53	никогда не	2	5
54	и для	3	5
55	не имеет	6	5
56	более или	3	5
57	так же	8	5
58	в силу	16	5
59	отношение к	2	5
60	к жизни	2	5
61	того чтобы	25	5
62	лишь в	6	5
63	в его	16	5
64	крайней мере	11	5
65	для того	23	5
66	а не	17	5
67	тому же	2	5
68	по крайней	11	5
69	образом в	3	5
70	сих пор	5	5
71	до сих	5	5
72	или менее	3	5
73	на этот	4	4
74	и от	2	4
75	что все	6	4
76	далеко не	2	4
77	а в	7	4
78	в котором	4	4
79	в самом	20	4
80	в нем	7	4
81	не может	13	4
82	в смысле	2	4
83	и тогда	4	4
84	в которых	8	4
85	что оно	6	4
86	из которых	3	4
87	целый ряд	8	4
88	то же	12	4
89	и что	11	4
90	и по	4	4
91	в этих	5	4
92	только в	15	4
93	что он	7	4
94	и только	2	4
95	он не	4	4
96	в этой	8	4
97	в то	4	4
98	учение о	4	4
99	что это	11	3
100	в рамках	5	3
101	духовной культуры	2	3
102	в своем	4	3
103	так или	3	3
104	но с	2	3
105	если в	2	3
106	к ним	2	3
107	точно так	4	3
108	или иначе	4	3
109	и если	4	3
110	уже не	13	3
111	течением времени	2	3
112	хотя бы	19	3
113	к этому	4	3
114	в результате	8	3
115	в которой	7	3
116	тем не	10	3
117	и даже	5	3
118	и как	3	3
119	что эти	4	3
120	за собой	2	3
121	если бы	21	3
122	же как	3	3
123	при этом	6	3
124	с течением	2	3
125	конце концов	3	3
126	не менее	12	3
127	как о	2	3
128	когда он	4	3
129	в качестве	12	3
130	и при	3	3
131	с этой	4	3
132	в связи	4	3
133	подойти к	3	3
134	в таком	3	3
135	так что	5	3
136	ясно что	7	3
137	и о	3	3
138	можно сказать	6	3
139	отношению к	9	3
140	к сожалению	2	3
141	в одном	4	3
142	того что	11	3
143	так называемые	5	3
144	для него	2	3
145	мы видели	3	2
146	одно из	3	2
147	сказать что	5	2
148	так например	3	2
149	связан с	2	2
150	которые в	2	2
151	для этого	6	2
152	этой точки	4	2
153	о котором	4	2
154	и является	4	2
155	по сравнению	3	2
156	общего с	2	2
157	учиться у	3	2
158	и это	3	2
159	или иной	3	2
160	не могут	5	2
161	а также	3	2
162	на то	6	2
163	утверждать что	2	2
164	в самой	6	2
165	относится к	3	2
166	ли это	4	2
167	и сейчас	3	2
168	тех пор	2	2
169	состоит в	4	2
170	выход из	2	2
171	бы например	2	2
172	мы имеем	11	2
173	мы можем	2	2
174	свидетельствует о	3	2
175	между тем	11	2
176	не потому	6	2
177	одним из	2	2
178	только что	2	2
179	в свою	4	2
180	не как	2	2
181	связанных с	2	2
182	именно в	7	2
183	конечно не	3	2
184	отличается от	2	2
185	если не	4	2
186	приводит к	3	2
187	тогда когда	7	2
188	поэтому что	2	2
189	но если	2	2
190	что мы	6	2
191	в них	10	2
192	очень много	3	2
193	и на	8	2
194	в русском	14	2
195	и здесь	8	2
196	уже в	5	2
197	еще не	10	2
198	к которому	3	2
199	образом если	2	2
200	то или	3	2
201	иной раз	2	2
202	что именно	2	2
203	не было	6	2
204	по своим	2	2
205	превращается в	4	2
206	так называемой	2	2
207	этом отношении	8	2
208	не в	18	2
209	не всегда	4	2
210	только для	3	2
211	то ни	2	2
212	ничего общего	2	2
213	в одно	2	2
214	на все	3	2
215	и все	4	2
216	же время	4	2
217	один из	8	2
218	в виду	7	2
219	связано с	3	2
220	прежде всего	14	2
221	или иное	2	2
222	тот же	7	2
223	с его	4	2
224	в разных	2	2
225	и сами	2	2
226	не с	4	2
227	по существу	9	2
