N	3gram	Berdyaev_V	Mirosoze
1	о великом инквизиторе	4	13
2	добра и зла	2	10
3	в том что	2	9
4	во имя счастья	2	6
5	но и в	2	5
6	хлеба земного и	4	4
7	во имя свободы	3	4
8	в нем нет	2	4
9	не в силах	2	4
10	поступил как бы	2	4
11	том что он	2	3
12	как песок морской	2	3
13	в смысл мира	2	3
14	к тому что	3	3
15	великого инквизитора в	3	3
16	легенда о великом	2	2
17	не было еще	2	2
18	тысяч великих и	2	2
19	уж конечно не	2	2
20	мира сего и	2	2
21	великий инквизитор говорит	3	2
22	и хлеба небесного	2	2
23	необычайного гадательного и	3	2
24	великого инквизитора это	3	2
25	миллионов счастливых младенцев	2	2
26	а с ним	2	2
27	дух великого инквизитора	13	2
28	песок морской слабых	2	2
29	не будет уже	2	2
30	великих и сильных	2	2
31	познания добра и	2	2
32	бы и не	2	2
33	гадательного и неопределенного	2	2
