N	3gram	Bakhtin_Pr	Freidism
1	с точки зрения	13	15
2	не может быть	8	14
3	по отношению к	5	11
4	в том что	6	9
5	и прежде всего	5	7
6	в то же	8	6
7	может быть и	2	6
8	то же время	8	6
9	в большинстве случаев	9	5
10	можно сказать что	6	5
11	как мы уже	5	5
12	с самого начала	4	5
13	тем не менее	2	4
14	в зависимости от	3	4
15	все то что	2	3
16	нам уже приходилось	2	3
17	на этом мы	3	3
18	но в то	3	3
19	о том что	3	3
20	в собственном смысле	3	3
21	так и в	2	3
22	и не может	6	3
23	до сих пор	8	3
24	нет и не	3	3
25	мы видели что	2	3
26	теперь мы должны	2	3
27	а следовательно и	2	2
28	в подходе к	2	2
29	единство и непрерывность	2	2
30	хотя бы и	2	2
31	на самом же	2	2
32	а также и	3	2
33	самом же деле	2	2
34	в этом смысле	5	2
