N	2gram	Propp_Isto	VerxiiNi
1	и в	40	26
2	таким образом	13	22
3	с тем	13	18
4	в этом	13	15
5	вместе с	13	15
6	как бы	6	12
7	в том	12	11
8	не только	28	10
9	из этих	2	10
10	и с	5	10
11	может быть	37	10
12	что в	19	9
13	так как	20	9
14	в области	2	9
15	связи с	10	9
16	магической силы	3	9
17	но и	21	9
18	но не	7	8
19	с другой	8	8
20	главным образом	2	8
21	и не	19	8
22	но все	9	7
23	в эпоху	2	7
24	к нему	3	7
25	потому что	12	7
26	связанные с	3	7
27	одной стороны	7	7
28	из них	5	7
29	то что	17	7
30	с одной	8	7
31	но в	13	7
32	том что	11	7
33	а с	4	7
34	представление о	3	6
35	все же	17	6
36	к тому	6	6
37	о том	12	6
38	мы должны	17	6
39	в себе	6	6
40	что и	9	6
41	все эти	6	6
42	все это	6	6
43	и потому	3	6
44	так и	13	6
45	никогда не	25	5
46	одной из	6	5
47	и для	5	5
48	более или	5	5
49	так же	18	5
50	в силу	7	5
51	друг с	4	5
52	к жизни	2	5
53	того чтобы	3	5
54	в его	10	5
55	с другом	3	5
56	а не	18	5
57	образом в	2	5
58	сих пор	12	5
59	до сих	11	5
60	или менее	5	5
61	на этот	2	4
62	и от	2	4
63	очень мало	2	4
64	а в	15	4
65	с другими	2	4
66	в котором	5	4
67	в нем	8	4
68	не может	19	4
69	и тогда	3	4
70	в которых	2	4
71	попадает в	8	4
72	и вместе	2	4
73	из которых	3	4
74	в виде	2	4
75	то же	21	4
76	должен был	6	4
77	и что	14	4
78	и по	4	4
79	в этих	17	4
80	только в	16	4
81	что он	32	4
82	и только	4	4
83	он не	10	4
84	ничем не	2	4
85	во время	5	4
86	в этой	9	4
87	в то	4	4
88	что это	12	3
89	в рамках	2	3
90	на нее	3	3
91	в своем	5	3
92	из всех	2	3
93	с самого	4	3
94	но с	3	3
95	не вполне	3	3
96	к ним	4	3
97	большей частью	2	3
98	точно так	8	3
99	и если	4	3
100	уже не	3	3
101	хотя бы	5	3
102	к этому	2	3
103	путь к	2	3
104	в результате	2	3
105	с ней	2	3
106	в которой	2	3
107	тем не	7	3
108	представляет собой	7	3
109	и даже	4	3
110	и как	3	3
111	что эти	5	3
112	за собой	3	3
113	если бы	8	3
114	уже с	2	3
115	же как	7	3
116	в других	3	3
117	при этом	6	3
118	не менее	7	3
119	как о	2	3
120	а так	2	3
121	у них	2	3
122	когда он	9	3
123	в качестве	8	3
124	в связи	7	3
125	и другие	7	3
126	подойти к	2	3
127	так что	9	3
128	ясно что	2	3
129	но по	3	3
130	отношению к	6	3
131	к сожалению	3	3
132	в одном	8	3
133	того что	6	3
134	для него	2	3
135	мы видели	4	2
136	одно из	2	2
137	сказать что	7	2
138	так например	7	2
139	связан с	4	2
140	которые в	3	2
141	для этого	3	2
142	в эту	3	2
143	из этого	3	2
144	и это	2	2
145	не могут	3	2
146	а также	2	2
147	на то	6	2
148	утверждать что	3	2
149	для всех	2	2
150	относится к	2	2
151	он в	5	2
152	мы имеем	25	2
153	ни один	8	2
154	мы можем	7	2
155	в начале	3	2
156	с того	3	2
157	связь с	8	2
158	в тело	2	2
159	ему в	3	2
160	вплоть до	2	2
161	между тем	2	2
162	одним из	2	2
163	при таком	2	2
164	не как	3	2
165	связанных с	2	2
166	не могла	2	2
167	должно было	4	2
168	именно в	5	2
169	конечно не	2	2
170	приводит к	3	2
171	с одним	4	2
172	тогда когда	2	2
173	в образе	3	2
174	но если	4	2
175	что мы	9	2
176	в них	2	2
177	очень много	10	2
178	и на	6	2
179	в русском	2	2
180	и здесь	15	2
181	уже в	2	2
182	с целью	2	2
183	еще не	14	2
184	мысль о	2	2
185	к которому	5	2
186	по своей	2	2
187	так чтобы	3	2
188	влечет за	2	2
189	не было	3	2
190	превращается в	4	2
191	самого начала	4	2
192	можно назвать	3	2
193	на пути	2	2
194	не в	11	2
195	не всегда	9	2
196	только для	3	2
197	и наконец	5	2
198	то ни	2	2
199	ни было	2	2
200	один из	10	2
201	в виду	2	2
202	в русских	4	2
203	связано с	2	2
204	них не	2	2
205	в пользу	2	2
206	прежде всего	15	2
207	его не	3	2
208	бы то	2	2
209	и из	2	2
210	тот же	3	2
211	связана с	7	2
212	во всех	3	2
213	в разных	2	2
214	же самое	3	2
215	вслед за	7	2
216	то ясно	2	2
217	не с	3	2
218	по существу	7	2
219	эти действия	2	2
