N	3gram	Tiupa_Teor	Myslijsy
1	в том что	10	47
2	по отношению к	10	26
3	не может быть	5	19
4	тем не менее	3	18
5	в свою очередь	3	14
6	то же время	8	13
7	в то же	8	13
8	с другой стороны	6	12
9	более или менее	6	12
10	подобно тому как	3	11
11	для того чтобы	5	11
12	с одной стороны	3	10
13	одного и того	4	9
14	и того же	4	9
15	в таком случае	2	9
16	не могут быть	2	9
17	и то же	2	7
18	можно сказать что	3	7
19	как и в	2	7
20	одно и то	2	7
21	не только не	2	7
22	с точки зрения	3	7
23	может быть названо	2	7
24	сама по себе	2	7
25	в этом смысле	3	7
26	к тому что	2	5
27	в данном случае	5	4
28	и в самом	2	4
29	в противном случае	2	4
30	с этой точки	2	4
31	бы то ни	2	3
32	этой точки зрения	2	3
33	тогда как в	2	3
34	том что он	2	3
35	и тем самым	2	3
36	в связи с	3	3
37	до известной степени	2	3
38	так или иначе	5	3
39	то ни было	2	2
40	состоит в том	6	2
41	мы имеем дело	2	2
