N	2gram	Savitsky_E	Tragedij
1	и в	37	18
2	в этом	12	9
3	не только	18	8
4	и не	14	7
5	он сам	2	7
6	и на	6	7
7	как бы	6	7
8	и с	2	7
9	может быть	6	7
10	же время	14	6
11	но в	14	6
12	несмотря на	4	5
13	что это	2	5
14	то же	15	5
15	как и	7	5
16	так и	10	5
17	не может	9	5
18	в то	16	5
19	что в	21	4
20	но и	14	4
21	прежде всего	9	4
22	том что	6	4
23	в этой	2	4
24	и что	2	4
25	так же	9	4
26	и все	2	4
27	то что	6	4
28	и даже	6	4
29	в себе	9	4
30	и как	2	3
31	в мире	2	3
32	тем самым	5	3
33	к нему	2	3
34	в своем	14	3
35	в его	2	3
36	мог бы	2	3
37	отнюдь не	9	3
38	как будто	2	3
39	как в	3	3
40	как это	4	3
41	то есть	6	3
42	никогда не	3	2
43	в самом	4	2
44	и то	2	2
45	данном случае	2	2
46	с тем	3	2
47	тем что	3	2
48	вопрос о	4	2
49	в одном	2	2
50	не имеет	4	2
51	в виде	5	2
52	имеет в	2	2
53	в данном	3	2
54	не могут	2	2
55	как же	2	2
56	в ее	8	2
57	что все	2	2
58	к тому	8	2
59	говорит о	3	2
60	о том	3	2
61	что и	3	2
62	не в	5	2
63	столь же	5	2
64	потому что	3	2
65	на всем	4	2
66	одном из	2	2
67	в известной	3	2
68	в частности	5	2
69	в таком	3	2
70	он не	2	2
71	бы и	3	2
72	только к	2	2
73	что эти	2	2
74	в том	11	2
