N	3gram	Tiupa_Anal	Dialekti
1	с точки зрения	6	46
2	по крайней мере	4	26
3	в том что	13	25
4	не может быть	17	18
5	не что иное	5	18
6	что иное как	6	18
7	тем не менее	3	16
8	то же время	7	15
9	в то же	9	14
10	в таком случае	5	14
11	одно и то	2	12
12	и то же	2	12
13	о том что	8	12
14	с другой стороны	2	12
15	на то что	2	11
16	есть не что	4	11
17	в самом деле	3	10
18	подобно тому как	5	9
19	содержит в себе	3	9
20	и в этом	4	9
21	не только не	2	8
22	внутреннего и внешнего	2	8
23	в этом смысле	3	8
24	той или иной	8	7
25	сами по себе	3	7
26	не в том	3	7
27	в связи с	2	7
28	коем случае не	2	6
29	в коем случае	2	6
30	более или менее	2	6
31	для того чтобы	3	6
32	ни в коем	2	6
33	с одной стороны	6	6
34	к тому что	2	5
35	а не только	2	4
36	как раз и	2	4
37	то же самое	3	4
38	из того что	3	4
39	в данном случае	3	4
40	и т п	3	4
41	есть в сущности	2	4
42	этой точки зрения	2	4
43	с этой точки	2	4
44	того и другого	2	4
45	к тому же	6	4
46	в этом отношении	5	4
47	с той или	2	4
48	не могут быть	2	4
49	бы то ни	3	3
50	но в то	2	3
51	как и в	2	3
52	не только в	3	3
53	в данный момент	2	3
54	и не может	4	3
55	того или иного	3	3
56	тех или иных	3	3
57	в той или	3	3
58	в широком смысле	2	2
59	вместе с ним	2	2
60	друг с другом	2	2
61	дело не в	2	2
62	в силу своей	3	2
63	и не в	4	2
64	в обоих случаях	2	2
65	но о том	3	2
66	далеко не всегда	2	2
67	мы имеем дело	7	2
