N	2gram	Potebnia_M	Komedia
1	и в	58	77
2	и не	34	47
3	в том	38	44
4	том что	21	42
5	в г	2	33
6	о том	6	33
7	но и	26	32
8	может быть	47	30
9	таким образом	21	29
10	из них	2	29
11	в то	6	28
12	и его	7	28
13	в этом	18	27
14	потому что	89	27
15	что он	5	26
16	к тому	5	26
17	не только	32	25
18	вместе с	12	25
19	так как	29	24
20	как и	16	23
21	ни в	2	23
22	что в	34	23
23	что и	16	22
24	если бы	23	22
25	в самом	5	22
26	так и	17	21
27	а в	11	21
28	то же	13	21
29	в его	7	20
30	со стороны	11	19
31	во время	5	19
32	к этому	3	19
33	в этой	3	18
34	и т	10	17
35	тем что	15	17
36	еще не	9	17
37	в нем	26	17
38	же время	4	17
39	все же	11	16
40	у него	3	16
41	не менее	10	16
42	при этом	17	16
43	тот же	5	16
44	сих пор	5	16
45	он не	4	16
46	до сих	5	16
47	его в	3	15
48	в своем	3	15
49	не в	23	15
50	точки зрения	8	15
51	между тем	7	15
52	прежде всего	8	15
53	один из	2	15
54	было бы	21	15
55	в которой	5	15
56	и на	8	15
57	к нему	2	14
58	все это	3	14
59	в свою	8	14
60	и с	3	14
61	столь же	6	14
62	то что	24	13
63	так что	23	13
64	самом деле	2	13
65	но в	12	13
66	того же	13	13
67	в них	7	13
68	того чтобы	4	13
69	что она	3	13
70	мы можем	10	13
71	только что	4	13
72	в одном	13	13
73	так же	7	12
74	с другой	13	12
75	для того	8	12
76	т п	6	12
77	уже в	5	12
78	несмотря на	5	12
79	не по	4	12
80	в истории	8	12
81	хотя и	6	12
82	в начале	2	12
83	не может	30	12
84	как в	18	12
85	но не	19	12
86	в котором	5	12
87	по отношению	15	11
88	должны были	2	11
89	в их	3	11
90	с тем	9	11
91	одного из	3	11
92	что его	2	11
93	как мы	3	11
94	то время	3	11
95	к ней	3	11
96	и даже	4	11
97	на этот	2	11
98	и для	8	11
99	с ним	7	11
100	в целом	3	10
101	ничего не	2	10
102	на основании	3	10
103	и все	6	10
104	в чем	6	10
105	что касается	2	10
106	в глазах	4	10
107	мы не	17	10
108	же в	7	10
109	свою очередь	8	10
110	с его	3	10
111	с этим	11	10
112	тем более	2	10
113	на него	6	10
114	с одной	7	10
115	как бы	12	10
116	и что	13	10
117	тому что	4	9
118	одной стороны	6	9
119	однако в	4	9
120	ответ на	2	9
121	о его	2	9
122	и по	8	9
123	в своей	3	9
124	того как	12	9
125	независимо от	15	9
126	судя по	5	9
127	отношению к	13	9
128	время как	2	9
129	но все	4	9
130	все что	5	9
131	друг друга	6	9
132	вовсе не	13	9
133	только в	36	9
134	в ней	9	9
135	тех пор	2	8
136	и других	6	8
137	как он	5	8
138	то ни	3	8
139	с самого	5	8
140	место в	3	8
141	то это	8	8
142	связи с	6	8
143	по поводу	7	8
144	что ни	2	8
145	другой стороны	7	8
146	бы в	6	8
147	с этой	3	8
148	в течение	2	8
149	что у	2	8
150	что для	5	8
151	в которых	2	8
152	если не	5	8
153	не было	7	8
154	во всех	12	8
155	вопрос о	5	7
156	в себе	22	7
157	и поэтому	2	7
158	в другом	3	7
159	и у	3	7
160	скорее всего	2	7
161	мы знаем	2	7
162	самого начала	5	7
163	себе в	2	7
164	и о	3	7
165	в других	6	7
166	но если	4	7
167	и это	3	7
168	и во	6	7
169	в связи	2	7
170	что они	6	7
171	во всяком	9	7
172	бы то	2	7
173	если в	3	7
174	из этих	8	7
175	хотя бы	4	7
176	дело с	2	7
177	ни было	4	7
178	в этих	10	7
179	не имеет	9	7
180	по которым	2	7
181	для нас	29	7
182	всяком случае	7	7
183	когда же	2	6
184	в виду	2	6
185	и тем	5	6
186	на вопрос	3	6
187	его от	2	6
188	так в	4	6
189	о которых	5	6
190	могут быть	17	6
191	что не	15	6
192	в сущности	2	6
193	до того	2	6
194	никто не	3	6
195	не зная	3	6
196	на это	2	6
197	это было	3	6
198	тем не	11	6
199	и как	11	6
200	что к	2	6
201	человека в	3	6
202	как будто	2	6
203	с и	3	6
204	в какой	2	6
205	после того	3	6
206	на то	5	6
207	в своих	4	6
208	еще более	2	6
209	в другой	4	6
210	там же	9	6
211	на этом	3	6
212	главным образом	4	6
213	с точки	4	6
214	или в	4	6
215	а не	38	6
216	не дает	2	6
217	не мог	3	6
218	никогда не	7	5
219	и если	6	5
220	это не	10	5
221	из того	3	5
222	для всех	6	5
223	его на	3	5
224	том как	6	5
225	вслед за	2	5
226	в каждом	6	5
227	что из	2	5
228	одним из	2	5
229	после этого	2	5
230	в развитии	2	5
231	одном из	3	5
232	от них	2	5
233	к ним	3	5
234	не так	6	5
235	представить себе	3	5
236	и без	4	5
237	что на	9	5
238	не могла	2	5
239	же не	2	5
240	в ее	2	5
241	в первом	5	5
242	только один	3	5
243	в действительности	6	5
244	все остальные	9	5
245	сказать что	5	5
246	и от	5	5
247	для этого	2	5
248	что это	5	5
249	в сознании	8	5
250	в мире	3	5
251	ни малейшего	3	5
252	за пределы	4	5
253	за ним	2	5
254	т д	6	5
255	известно что	3	5
256	от того	9	5
257	что по	3	5
258	именно в	2	5
259	что я	2	5
260	жизни и	3	5
261	от нее	6	5
262	а на	2	5
263	друг другу	4	5
264	той же	3	5
265	тем же	4	5
266	но он	3	5
267	чем в	2	5
268	все более	3	4
269	чтобы не	3	4
270	что ему	2	4
271	к этим	2	4
272	нуждается в	2	4
273	по мнению	4	4
274	не столько	3	4
275	видеть в	3	4
276	к которому	5	4
277	по своей	2	4
278	не всегда	2	4
279	ничем не	2	4
280	тем как	3	4
281	видно из	3	4
282	или менее	6	4
283	образом в	5	4
284	может служить	2	4
285	в более	4	4
286	все его	2	4
287	его не	3	4
288	между ними	2	4
289	что же	3	4
290	когда в	3	4
291	что с	3	4
292	того времени	2	4
293	не на	3	4
294	например в	4	4
295	в состоянии	5	4
296	одна из	4	4
297	хотя в	3	4
298	из этого	2	4
299	одно из	5	4
300	то и	15	4
301	нет ничего	2	4
302	стороны и	3	4
303	бы не	11	4
304	и их	6	4
305	у нас	3	4
306	времени и	3	4
307	такой же	4	4
308	нас в	2	4
309	б и	2	4
310	далеко не	4	4
311	прежде чем	4	4
312	их в	2	4
313	из себя	6	4
314	что мы	11	4
315	мог бы	5	4
316	к их	2	4
317	нам по	3	4
318	по его	7	4
319	не следует	6	4
320	в себя	2	4
321	если мы	5	3
322	при виде	3	3
323	и потому	7	3
324	не могут	10	3
325	было только	2	3
326	указывает на	2	3
327	от него	8	3
328	нисколько не	2	3
329	в одной	2	3
330	и притом	6	3
331	их к	2	3
332	для себя	4	3
333	должен быть	2	3
334	что именно	2	3
335	не без	2	3
336	в отношениях	2	3
337	на все	5	3
338	а как	3	3
339	том же	3	3
340	от своего	2	3
341	друг от	3	3
342	только на	4	3
343	такое же	3	3
344	а его	3	3
345	видно что	2	3
346	на две	2	3
347	мы в	2	3
