N	2gram	Vinokur_Vv	Sotsiolo
1	истории литературы	3	10
2	все это	6	7
3	в том	38	5
4	в этом	35	5
5	не только	26	3
6	в его	12	3
7	но ведь	4	3
8	не в	10	3
9	и в	35	3
10	о литературе	3	3
11	литературы и	2	2
12	дело не	5	2
13	должна быть	2	2
14	отношению к	4	2
15	по отношению	4	2
16	еще не	4	2
17	только в	16	2
18	что в	13	2
19	тем более	2	2
20	в частности	3	2
21	том что	30	2
22	было бы	7	2
23	таким образом	21	2
24	то же	11	2
25	только как	7	2
26	как будто	3	2
27	и что	6	2
28	конце концов	2	2
29	как только	2	2
30	то что	19	2
31	и заключается	4	2
32	как бы	7	2
33	одно дело	2	2
34	но и	7	2
35	в конце	3	2
36	может быть	30	2
37	по существу	2	2
38	в результате	4	2
