N	3gram	Bakhtin_Fr	Vvedenie
1	в том что	4	15
2	о том что	4	13
3	до сих пор	3	7
4	в то же	12	6
5	в самом деле	3	6
6	то же время	12	6
7	с другой стороны	2	5
8	в этом отношении	3	4
9	с одной стороны	3	4
10	по отношению к	3	4
11	с точки зрения	4	4
12	можно было бы	2	4
13	как мы видели	4	3
14	большей или меньшей	2	3
15	в чем же	2	3
16	в свое время	2	3
17	дело в том	2	3
18	но в то	3	3
19	том или ином	2	2
20	как мы уже	4	2
21	в том или	2	2
22	сам по себе	2	2
23	а также и	3	2
24	в конце концов	5	2
25	в другом месте	3	2
26	до наших дней	2	2
27	после того как	6	2
28	в связи с	2	2
29	в свою очередь	3	2
