N	3gram	Berdyaev_M	KulturaY
1	для того чтобы	4	38
2	в том что	3	33
3	до сих пор	5	14
4	по отношению к	4	13
5	и в самом	3	11
6	не может быть	22	11
7	о том что	3	10
8	вместе с тем	5	9
9	не только в	2	8
10	после того как	2	7
11	хотя бы и	2	6
12	потому что он	3	5
13	но также и	2	4
14	от того что	4	3
15	не могут быть	2	3
16	в то время	2	3
17	с тем что	3	3
18	в конце концов	3	3
19	что и в	3	3
20	мы увидим что	4	3
21	и вместе с	4	3
22	в том смысле	2	3
23	к тому чтобы	2	3
24	уже не только	2	3
25	между тем как	2	2
26	что он не	3	2
27	не что иное	4	2
28	но для этого	2	2
29	так и не	2	2
30	прежде всего в	2	2
31	и той же	2	2
32	но он не	3	2
33	потому что в	4	2
34	нельзя было бы	2	2
35	потому что она	2	2
36	может быть и	2	2
37	это не значит	2	2
38	одной и той	2	2
39	что иное как	4	2
40	не до конца	2	2
41	также и в	2	2
42	по природе своей	2	2
43	не может уже	3	2
44	тем что он	2	2
45	по сравнению с	2	2
